date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,CHA,False,False,L,22,14.0,5.0,2.0,1.0,0.0,2.0,4.0,6.0,0.667,4.0,6.0,0.667,2.0,2.0,1.0,12.1,-6.0
2025-10-24,CLE,True,False,L,25,9.0,6.0,4.0,0.0,0.0,3.0,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,7.1,4.0
2025-10-26,SAS,False,False,L,19,3.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,-1.0,-6.0
2025-10-29,ATL,True,False,L,16,4.0,1.0,3.0,1.0,0.0,1.0,1.0,6.0,0.167,1.0,6.0,0.167,1.0,2.0,0.5,2.2,-18.0
2025-11-02,PHI,True,False,L,15,5.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.4,-15.0
2025-11-03,MIN,True,True,L,21,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,3.3,-7.0
2025-11-05,IND,False,False,W,13,0.0,3.0,2.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.8,-2.0
2025-11-07,DET,True,False,L,23,8.0,3.0,7.0,1.0,0.0,1.0,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,8.2,-9.0
2025-11-09,NYK,False,False,L,25,10.0,4.0,3.0,0.0,0.0,3.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,7.7,-17.0
2025-11-11,TOR,True,False,L,28,16.0,4.0,5.0,1.0,0.0,1.0,5.0,11.0,0.455,4.0,8.0,0.5,2.0,2.0,1.0,14.2,-4.0
2025-11-14,ORL,False,False,L,18,8.0,3.0,2.0,0.0,0.0,1.0,2.0,9.0,0.222,1.0,5.0,0.2,3.0,3.0,1.0,3.8,-6.0
2025-11-16,WAS,False,False,W,20,5.0,1.0,5.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,5.7,-3.0
2025-11-18,BOS,True,False,L,23,12.0,3.0,4.0,1.0,0.0,4.0,4.0,10.0,0.4,4.0,7.0,0.571,0.0,0.0,0.0,7.3,-6.0
2025-11-21,BOS,False,False,W,29,12.0,6.0,5.0,1.0,1.0,1.0,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,12.2,9.0
2025-11-23,TOR,False,False,L,28,5.0,3.0,4.0,0.0,0.0,2.0,2.0,10.0,0.2,1.0,6.0,0.167,0.0,0.0,0.0,0.1,-2.0
2025-11-24,NYK,True,True,L,28,9.0,6.0,2.0,1.0,0.0,1.0,4.0,11.0,0.364,1.0,8.0,0.125,0.0,1.0,0.0,5.3,1.0
2025-11-28,PHI,True,False,L,30,23.0,9.0,5.0,1.0,2.0,3.0,8.0,18.0,0.444,5.0,14.0,0.357,2.0,2.0,1.0,19.6,-10.0
2025-12-01,CHA,True,False,W,27,9.0,1.0,4.0,1.0,2.0,0.0,4.0,12.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,6.5,15.0
2025-12-03,CHI,False,False,W,25,10.0,0.0,4.0,2.0,0.0,4.0,3.0,8.0,0.375,2.0,5.0,0.4,2.0,2.0,1.0,5.2,2.0
2025-12-04,UTA,True,True,L,20,3.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.7,-12.0
2025-12-06,NOP,True,False,W,25,8.0,4.0,7.0,0.0,0.0,3.0,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,8.0,12.0
2025-12-12,DAL,False,False,L,18,3.0,1.0,1.0,2.0,0.0,2.0,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,0.0,-0.9,0.0
