date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,MEM,False,False,L,38,17.0,9.0,6.0,1.0,1.0,0.0,7.0,13.0,0.538,1.0,2.0,0.5,2.0,3.0,0.667,18.1,-18.0
2021-10-22,CHA,True,False,L,32,13.0,5.0,2.0,2.0,2.0,4.0,4.0,7.0,0.571,0.0,0.0,0.0,5.0,6.0,0.833,11.2,-7.0
2021-10-23,ATL,True,True,W,35,17.0,11.0,1.0,2.0,4.0,1.0,7.0,12.0,0.583,0.0,2.0,0.0,3.0,3.0,1.0,18.8,6.0
2021-10-25,DEN,False,False,W,26,10.0,8.0,2.0,0.0,1.0,3.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,7.5,16.0
2021-10-27,LAC,False,False,W,34,12.0,10.0,0.0,1.0,2.0,0.0,3.0,10.0,0.3,0.0,0.0,0.0,6.0,6.0,1.0,11.2,11.0
2021-10-29,LAL,False,False,L,36,23.0,6.0,3.0,2.0,0.0,0.0,10.0,16.0,0.625,1.0,2.0,0.5,2.0,5.0,0.4,21.3,0.0
2021-10-30,PHX,False,True,L,21,2.0,4.0,4.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,2.2,-6.0
2021-11-01,CHA,False,False,W,40,15.0,10.0,3.0,2.0,1.0,4.0,7.0,15.0,0.467,0.0,2.0,0.0,1.0,2.0,0.5,10.7,-2.0
2021-11-03,POR,True,False,W,40,11.0,11.0,0.0,0.0,1.0,4.0,5.0,11.0,0.455,0.0,1.0,0.0,1.0,2.0,0.5,4.9,-10.0
2021-11-05,TOR,False,False,W,38,18.0,5.0,2.0,0.0,1.0,2.0,7.0,14.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,11.8,-7.0
2021-11-07,NYK,False,False,W,36,26.0,9.0,5.0,1.0,1.0,1.0,11.0,15.0,0.733,2.0,4.0,0.5,2.0,2.0,1.0,27.6,26.0
2021-11-10,WAS,True,False,L,25,19.0,7.0,2.0,0.0,1.0,2.0,7.0,15.0,0.467,1.0,3.0,0.333,4.0,5.0,0.8,11.9,-11.0
2021-11-12,DET,True,False,W,35,16.0,7.0,1.0,2.0,4.0,3.0,6.0,10.0,0.6,2.0,2.0,1.0,2.0,4.0,0.5,15.2,29.0
2021-11-13,BOS,True,True,W,40,19.0,9.0,1.0,2.0,3.0,0.0,8.0,13.0,0.615,1.0,2.0,0.5,2.0,2.0,1.0,20.6,16.0
2021-11-15,BOS,True,False,L,29,1.0,9.0,5.0,0.0,2.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-1.7,-8.0
2021-11-27,ORL,True,False,W,33,13.0,9.0,3.0,0.0,4.0,1.0,5.0,12.0,0.417,2.0,4.0,0.5,1.0,2.0,0.5,13.2,3.0
2021-11-29,DAL,False,False,W,35,12.0,7.0,2.0,1.0,2.0,5.0,5.0,10.0,0.5,0.0,2.0,0.0,2.0,3.0,0.667,6.3,5.0
2021-12-01,MIA,False,False,W,32,17.0,11.0,4.0,1.0,4.0,2.0,5.0,10.0,0.5,2.0,3.0,0.667,5.0,5.0,1.0,18.7,1.0
2021-12-03,WAS,False,False,W,36,6.0,7.0,4.0,0.0,3.0,1.0,3.0,12.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,4.8,21.0
2021-12-05,UTA,True,False,L,37,14.0,11.0,3.0,1.0,1.0,0.0,6.0,15.0,0.4,1.0,2.0,0.5,1.0,1.0,1.0,14.2,0.0
