date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,SAS,False,False,L,32,12.0,4.0,2.0,1.0,2.0,0.0,6.0,9.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,13.1,-4.0
2021-10-22,NYK,True,False,L,34,16.0,4.0,0.0,0.0,0.0,3.0,6.0,12.0,0.5,4.0,5.0,0.8,0.0,0.0,0.0,8.2,-8.0
2021-10-24,NYK,False,False,W,39,10.0,7.0,2.0,2.0,0.0,1.0,4.0,11.0,0.364,1.0,6.0,0.167,1.0,2.0,0.5,7.2,10.0
2021-10-25,MIA,False,True,L,27,15.0,2.0,4.0,1.0,1.0,0.0,6.0,13.0,0.462,2.0,7.0,0.286,1.0,2.0,0.5,12.2,-5.0
2021-10-27,CHA,True,False,L,32,15.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,0.714,3.0,4.0,0.75,2.0,2.0,1.0,12.6,6.0
2021-10-29,TOR,False,False,L,34,10.0,4.0,2.0,1.0,0.0,2.0,4.0,12.0,0.333,1.0,2.0,0.5,1.0,1.0,1.0,4.4,1.0
2021-10-30,DET,False,True,L,28,19.0,3.0,2.0,1.0,0.0,1.0,8.0,15.0,0.533,3.0,6.0,0.5,0.0,0.0,0.0,14.0,-6.0
2021-11-01,MIN,False,False,W,31,28.0,4.0,2.0,2.0,1.0,0.0,10.0,18.0,0.556,5.0,9.0,0.556,3.0,5.0,0.6,24.7,14.0
2021-11-03,BOS,True,False,L,32,9.0,3.0,0.0,1.0,0.0,0.0,4.0,10.0,0.4,1.0,7.0,0.143,0.0,0.0,0.0,3.9,-15.0
2021-11-05,SAS,True,False,L,29,7.0,3.0,4.0,1.0,1.0,1.0,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,0.0,4.5,-7.0
2021-11-07,UTA,True,False,W,32,10.0,4.0,4.0,1.0,0.0,0.0,4.0,10.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,8.4,4.0
2021-11-10,BKN,True,False,L,32,10.0,7.0,1.0,6.0,0.0,4.0,4.0,11.0,0.364,0.0,4.0,0.0,2.0,2.0,1.0,9.1,-25.0
2021-11-13,WAS,True,False,L,35,8.0,4.0,0.0,1.0,1.0,0.0,2.0,11.0,0.182,0.0,1.0,0.0,4.0,4.0,1.0,3.2,8.0
2021-11-15,ATL,False,False,L,35,19.0,5.0,3.0,0.0,1.0,3.0,7.0,14.0,0.5,2.0,3.0,0.667,3.0,5.0,0.6,11.7,-19.0
2021-11-17,NYK,False,False,W,34,16.0,9.0,1.0,0.0,0.0,2.0,6.0,11.0,0.545,1.0,2.0,0.5,3.0,3.0,1.0,11.7,8.0
2021-11-19,BKN,False,False,L,29,17.0,2.0,5.0,1.0,1.0,1.0,5.0,13.0,0.385,2.0,6.0,0.333,5.0,6.0,0.833,12.3,-5.0
2021-11-20,MIL,False,True,L,21,3.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.6,-20.0
2021-11-22,MIL,False,False,L,24,0.0,4.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-5.0,-38.0
2021-11-24,CHA,True,False,L,33,16.0,7.0,4.0,0.0,0.0,0.0,7.0,12.0,0.583,2.0,2.0,1.0,0.0,0.0,0.0,15.3,2.0
2021-11-26,CHI,True,False,L,29,15.0,5.0,4.0,0.0,1.0,2.0,6.0,14.0,0.429,0.0,3.0,0.0,3.0,4.0,0.75,9.8,-4.0
2021-11-27,CLE,False,True,L,34,12.0,8.0,4.0,1.0,1.0,0.0,4.0,13.0,0.308,1.0,3.0,0.333,3.0,4.0,0.75,11.4,1.0
2021-11-29,PHI,False,False,L,38,27.0,6.0,5.0,1.0,0.0,2.0,11.0,24.0,0.458,1.0,5.0,0.2,4.0,6.0,0.667,17.7,4.0
2021-12-01,DEN,True,False,W,33,15.0,3.0,5.0,3.0,1.0,3.0,6.0,9.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,15.4,8.0
2021-12-03,HOU,False,False,L,33,17.0,5.0,5.0,2.0,0.0,2.0,6.0,14.0,0.429,2.0,4.0,0.5,3.0,3.0,1.0,13.4,-1.0
2021-12-06,GSW,False,False,L,31,15.0,4.0,6.0,3.0,0.0,1.0,7.0,13.0,0.538,1.0,3.0,0.333,0.0,0.0,0.0,17.3,-19.0
