date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-01-27,ORL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2020-02-05,LAC,False,False,L,17,9.0,1.0,1.0,1.0,0.0,0.0,3.0,11.0,0.273,3.0,9.0,0.333,0.0,0.0,0.0,4.1,7.0
2020-02-07,SAC,False,False,L,21,3.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.143,1.0,6.0,0.167,0.0,0.0,0.0,0.1,-5.0
2020-02-10,GSW,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2020-03-02,MIL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,WAS,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2020-08-08,PHX,True,False,L,20,4.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,-0.3,-13.0
2020-08-10,IND,True,False,W,4,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.6,1.0
2020-08-12,OKC,False,False,L,18,3.0,0.0,1.0,3.0,0.0,1.0,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,0.0,0.8,-13.0
2020-12-30,MIL,True,False,W,15,7.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,1.0,1.0,1.0,4.0,10.0
2021-01-12,PHI,False,False,L,36,24.0,2.0,3.0,2.0,0.0,2.0,9.0,20.0,0.45,4.0,12.0,0.333,2.0,3.0,0.667,14.7,9.0
2021-01-14,PHI,False,False,L,35,21.0,2.0,8.0,0.0,0.0,5.0,6.0,17.0,0.353,4.0,11.0,0.364,5.0,6.0,0.833,11.1,-9.0
2021-01-16,DET,True,False,L,16,4.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,0.222,0.0,4.0,0.0,0.0,0.0,0.0,-3.3,-11.0
2021-01-18,DET,True,False,W,9,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.3,9.0
2021-01-20,TOR,False,False,W,28,3.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,0.125,1.0,8.0,0.125,0.0,0.0,0.0,-1.3,6.0
2021-01-22,TOR,False,False,L,24,8.0,2.0,0.0,1.0,1.0,4.0,4.0,10.0,0.4,0.0,5.0,0.0,0.0,0.0,0.0,0.9,-9.0
