date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2010-02-09,MIA,False,False,L,14,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-0.3,-10.0
2010-02-16,UTA,True,False,L,17,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,2.8,4.0
2010-02-17,MIL,False,True,W,19,11.0,3.0,1.0,0.0,1.0,2.0,3.0,5.0,0.6,0.0,1.0,0.0,5.0,7.0,0.714,8.6,-1.0
2010-02-20,IND,True,False,L,8,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,1.0,4.0,0.25,5.2,-1.0
2010-02-21,NOH,False,True,L,12,2.0,1.0,0.0,0.0,1.0,4.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-3.8,-6.0
2010-02-24,ORL,True,False,L,8,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2010-02-26,SAS,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-10.0
2010-02-27,UTA,False,True,L,18,11.0,1.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,0.0,3.0,0.0,5.0,7.0,0.714,6.6,-1.0
2010-03-01,TOR,True,False,W,18,7.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,4.7,-7.0
2010-03-03,HOU,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2010-03-05,DAL,False,False,L,8,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0
2010-03-09,POR,False,False,L,7,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.0,-9.0
2010-03-10,TOR,True,True,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2010-03-12,POR,True,False,L,6,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,3.6,2.0
2010-03-17,ORL,False,False,L,13,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-8.0
2010-03-19,GSW,True,False,W,20,9.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0,0.375,1.0,2.0,0.5,2.0,3.0,0.667,5.9,10.0
2010-03-24,LAL,True,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.3,2.0
2010-03-28,BOS,False,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-2.0
2010-03-29,NJN,False,True,L,12,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.3,0.0
2010-03-31,HOU,True,False,W,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-3.0
2010-04-04,LAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2010-04-06,SAC,False,False,W,27,15.0,3.0,4.0,0.0,0.0,1.0,5.0,8.0,0.625,1.0,2.0,0.5,4.0,4.0,1.0,12.5,9.0
2010-04-07,PHX,False,True,L,23,11.0,2.0,0.0,1.0,0.0,3.0,4.0,9.0,0.444,1.0,3.0,0.333,2.0,4.0,0.5,2.9,6.0
2010-04-09,MEM,True,False,L,26,8.0,4.0,2.0,2.0,0.0,2.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,6.9,10.0
2010-04-10,DEN,False,True,W,20,11.0,4.0,0.0,2.0,0.0,1.0,3.0,5.0,0.6,3.0,4.0,0.75,2.0,4.0,0.5,8.9,13.0
2010-04-12,MIN,True,False,W,12,5.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.9,-2.0
2010-04-14,DAL,False,False,L,25,14.0,0.0,3.0,1.0,2.0,2.0,6.0,13.0,0.462,1.0,6.0,0.167,1.0,2.0,0.5,7.0,-3.0
2010-10-27,IND,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2010-11-01,LAC,False,False,W,5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2010-11-03,PHX,False,False,W,14,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.8,-12.0
2011-01-26,ATL,True,False,W,18,8.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,2.0,0.0,7.1,11.0
2011-01-28,TOR,False,False,W,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-8.0
2011-01-29,NJN,True,True,W,26,2.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,-4.1,8.0
2011-01-31,LAC,False,False,L,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-15.0
