date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-26,CLE,False,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0
2019-10-30,BKN,False,False,W,9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-16.0
2019-11-01,CLE,True,False,W,25,10.0,10.0,0.0,0.0,4.0,3.0,3.0,7.0,0.429,1.0,3.0,0.333,3.0,4.0,0.75,9.1,15.0
2019-11-03,CHI,True,False,W,19,9.0,4.0,3.0,0.0,4.0,1.0,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,8.4,3.0
2019-11-05,CHA,False,False,L,32,6.0,11.0,4.0,0.0,4.0,3.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,7.4,15.0
2019-11-06,WAS,True,True,W,20,13.0,3.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,6.0,8.0,0.75,9.4,-9.0
2019-11-15,HOU,False,False,L,18,6.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,6.2,19.0
2019-11-16,MIL,True,True,L,12,7.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,4.0,-3.0
2019-11-18,BKN,False,False,W,16,4.0,5.0,2.0,1.0,2.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,5.8,22.0
2019-11-23,ORL,True,False,W,15,6.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.3,15.0
2019-11-25,MEM,True,False,W,7,4.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.9,-9.0
2019-11-27,UTA,True,False,W,12,3.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,3.6,-1.0
2019-11-29,ATL,True,False,W,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-6.0
2019-11-30,PHI,False,True,L,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-1.0
2019-12-02,MEM,False,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-15.0
2019-12-06,DET,False,False,L,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2019-12-07,NYK,False,True,W,9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-7.0
2019-12-09,LAC,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
2019-12-11,BOS,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2019-12-13,ATL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2019-12-15,CHA,True,False,W,8,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0
2019-12-20,SAC,True,False,W,6,4.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,-2.0
2019-12-22,MIL,False,False,L,8,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.6,-5.0
2019-12-27,MIA,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-28,NOP,False,True,L,8,3.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,3.2,0.0
2019-12-31,PHI,True,False,W,8,6.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,5.3,-9.0
2020-01-02,DEN,True,False,L,9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.5,-4.0
2020-01-06,CHA,False,False,W,3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0
2020-01-08,MIA,True,False,L,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.3,7.0
2020-01-10,CHI,False,False,W,15,4.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.3,11.0
2020-01-13,PHI,True,False,W,4,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.6,5.0
2020-01-15,MIN,False,False,W,4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-1.0
2020-01-17,MIN,True,False,W,10,5.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,3.2,6.0
2020-01-19,DEN,False,False,W,6,4.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.6,-4.0
2020-01-20,UTA,False,True,L,10,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,2.2,-5.0
2020-01-22,PHX,False,False,W,4,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4.0
2020-01-26,POR,False,False,L,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
2020-01-29,CHI,True,False,W,15,10.0,4.0,0.0,0.0,1.0,3.0,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,3.8,-7.0
2020-02-01,NYK,True,False,L,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
2020-02-05,TOR,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-5.0
2020-02-07,TOR,True,False,L,2,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.7,-7.0
2020-02-08,NOP,True,True,L,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-4.0
2020-02-23,TOR,False,False,L,9,4.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.4,-8.0
2020-02-25,CHA,True,False,W,12,5.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,2.3,-4.0
2020-02-27,POR,True,False,W,7,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.9,2.0
2020-02-29,CLE,False,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2020-03-04,MIL,False,False,L,8,9.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,6.0,17.0
2020-03-06,CHI,False,False,W,7,4.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.9,6.0
2020-03-08,DAL,False,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0
