date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,MIN,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
2023-10-27,CHI,False,False,L,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2023-10-28,PHI,True,True,L,28,16.0,2.0,1.0,0.0,0.0,1.0,5.0,8.0,0.625,4.0,6.0,0.667,2.0,2.0,1.0,11.5,1.0
2023-10-30,POR,True,False,L,21,4.0,6.0,0.0,2.0,0.0,0.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,2.9,-9.0
2023-11-01,MIL,True,False,W,21,5.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.2,1.0,8.0,0.125,0.0,0.0,0.0,-1.3,-3.0
2023-11-02,PHI,False,True,L,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-17.0
2023-11-05,SAS,False,False,W,14,0.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.3,0.0
2023-11-08,DAL,False,False,W,7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,0.0
2023-11-11,BOS,False,False,L,15,4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.2,-4.0
2023-11-13,WAS,True,False,W,24,8.0,4.0,2.0,0.0,0.0,2.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,7.4,2.0
2023-11-15,MIL,True,False,L,26,11.0,0.0,2.0,1.0,0.0,1.0,2.0,10.0,0.2,1.0,6.0,0.167,6.0,6.0,1.0,4.6,-29.0
2023-11-17,BOS,True,False,L,10,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.5,-10.0
2023-11-19,DET,True,False,W,12,5.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,3.5,-3.0
2023-11-21,ORL,False,False,L,12,3.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,2.6,-2.0
2023-11-24,CHI,True,False,W,9,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.9,2.0
2023-12-11,NYK,False,False,L,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-6.0
2023-12-15,ATL,True,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.3,1.0
2023-12-22,PHI,False,False,L,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
2023-12-27,WAS,False,False,W,5,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.7,4.0
2024-01-12,UTA,False,False,L,12,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.8,-8.0
2024-01-17,MIA,True,False,W,12,6.0,0.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.4,14.0
2024-01-20,NYK,False,False,L,16,11.0,2.0,1.0,1.0,0.0,0.0,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,0.0,9.6,-2.0
2024-01-22,MEM,True,False,L,15,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,5.0
2024-01-26,LAC,True,False,L,21,6.0,4.0,2.0,1.0,0.0,0.0,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,5.1,-3.0
2024-01-28,ATL,False,False,L,25,15.0,5.0,3.0,1.0,0.0,2.0,5.0,12.0,0.417,3.0,5.0,0.6,2.0,3.0,0.667,10.8,19.0
2024-01-30,CHI,False,False,W,20,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2,2.0
2024-02-02,HOU,False,False,L,24,3.0,7.0,0.0,3.0,0.0,1.0,1.0,8.0,0.125,0.0,4.0,0.0,1.0,2.0,0.5,1.5,-19.0
2024-02-04,OKC,False,False,L,10,6.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,6.1,4.0
2024-02-05,NOP,False,True,L,30,22.0,4.0,2.0,1.0,0.0,0.0,9.0,16.0,0.563,4.0,8.0,0.5,0.0,0.0,0.0,17.2,-24.0
2024-02-07,CHA,False,False,W,15,6.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,6.1,9.0
2024-02-09,HOU,True,False,W,20,6.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,4.1,-7.0
2024-02-10,CLE,True,True,L,22,14.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.5,3.0,6.0,0.5,3.0,3.0,1.0,8.9,-22.0
2024-02-12,SAS,True,False,L,22,18.0,2.0,0.0,0.0,0.0,1.0,7.0,10.0,0.7,4.0,5.0,0.8,0.0,0.0,0.0,13.4,-12.0
2024-02-14,IND,True,False,L,21,7.0,1.0,1.0,1.0,0.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,3.5,1.0
2024-02-22,BKN,True,False,W,17,7.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,5.6,15.0
2024-02-23,ATL,False,True,W,22,18.0,2.0,1.0,0.0,0.0,0.0,8.0,13.0,0.615,2.0,5.0,0.4,0.0,0.0,0.0,13.0,-7.0
2024-02-26,IND,False,False,W,23,18.0,5.0,2.0,1.0,0.0,0.0,7.0,9.0,0.778,4.0,4.0,1.0,0.0,0.0,0.0,19.2,3.0
2024-02-28,DAL,True,False,L,19,7.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.1,-14.0
2024-03-01,GSW,True,False,L,27,12.0,2.0,3.0,1.0,0.0,0.0,5.0,11.0,0.455,2.0,6.0,0.333,0.0,0.0,0.0,9.6,-6.0
2024-03-03,CHA,True,False,W,24,11.0,4.0,0.0,1.0,0.0,0.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,9.1,-2.0
