date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-23,PHI,False,False,L,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0
2019-10-25,TOR,True,False,W,22,4.0,7.0,4.0,1.0,0.0,1.0,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,0.0,4.6,5.0
2019-10-26,NYK,False,True,W,19,7.0,1.0,1.0,2.0,3.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,3.0,0.333,9.3,16.0
2019-10-30,MIL,True,False,W,15,2.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,3.0
2019-11-01,NYK,True,False,W,27,10.0,4.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,6.0,6.0,1.0,8.5,-5.0
2019-11-05,CLE,False,False,W,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-5.0
2019-11-07,CHA,False,False,W,15,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,13.0
2019-11-09,SAS,False,False,W,18,0.0,4.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.3,-2.0
2019-11-11,DAL,True,False,W,8,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.2,-7.0
2019-11-13,WAS,True,False,W,11,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.4,-6.0
2019-11-15,GSW,False,False,W,16,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2019-11-18,PHX,False,False,W,18,4.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.7,18.0
2019-11-20,LAC,False,False,L,20,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,2.7,7.0
2019-11-22,DEN,False,False,L,17,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.2,8.0
2019-11-25,SAC,True,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-4.0
2019-11-27,BKN,True,False,W,7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2019-11-29,BKN,False,False,L,9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,6.0
2019-12-01,NYK,False,False,W,22,4.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.4,17.0
2019-12-04,MIA,True,False,W,18,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.7,1.0
2019-12-06,DEN,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.8,-4.0
2019-12-09,CLE,True,False,W,13,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.3,12.0
2019-12-11,IND,False,False,L,8,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-13.0
2019-12-18,DAL,False,False,W,24,7.0,2.0,1.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,4.8,2.0
2019-12-20,DET,True,False,W,30,18.0,3.0,0.0,0.0,1.0,1.0,8.0,10.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,14.8,14.0
2019-12-22,CHA,True,False,W,22,12.0,4.0,2.0,1.0,1.0,1.0,5.0,6.0,0.833,1.0,2.0,0.5,1.0,2.0,0.5,11.9,23.0
2019-12-25,TOR,False,False,W,12,4.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,1.6,13.0
