date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-22,MEM,True,False,L,11,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.6,6.0
2018-10-24,HOU,False,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.1,-2.0
2018-10-27,NOP,False,False,W,5,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,1.2,-5.0
2018-10-28,DAL,False,True,W,13,11.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,9.4,17.0
2018-10-31,MIN,False,False,L,8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2018-11-02,MEM,True,False,L,27,9.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,0.375,2.0,7.0,0.286,1.0,2.0,0.5,3.3,-18.0
2018-11-03,DEN,False,True,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,4.0
2018-11-05,TOR,True,False,L,16,9.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.375,2.0,6.0,0.333,1.0,3.0,0.333,3.8,13.0
2018-11-14,DAL,False,False,L,21,5.0,0.0,1.0,0.0,0.0,4.0,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,0.0,-5.8,-26.0
2018-11-17,BOS,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,-6.0
2018-11-19,IND,False,False,L,5,5.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.9,-3.0
2018-11-23,LAL,False,False,L,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-2.0
2018-11-25,SAC,False,False,W,13,9.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,2.0,5.0,0.4,3.0,6.0,0.5,5.1,14.0
2018-11-26,IND,True,True,L,13,5.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,1.9,-19.0
2018-12-06,HOU,True,False,W,8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.8,-4.0
2018-12-09,SAS,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-12,MIA,True,False,W,9,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.2,-13.0
2019-01-12,CHI,True,False,W,14,7.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,5.0,-10.0
2019-01-14,DET,True,False,W,20,8.0,1.0,1.0,0.0,1.0,0.0,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,4.1,-3.0
2019-01-16,LAC,False,False,W,15,6.0,0.0,4.0,1.0,0.0,2.0,2.0,7.0,0.286,1.0,2.0,0.5,1.0,1.0,1.0,3.3,1.0
2019-01-18,CLE,True,False,W,24,7.0,0.0,3.0,0.0,0.0,1.0,2.0,9.0,0.222,1.0,6.0,0.167,2.0,2.0,1.0,0.6,-9.0
2019-01-23,DEN,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2019-01-27,MIN,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2019-01-30,POR,False,False,L,17,10.0,1.0,1.0,2.0,0.0,1.0,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,0.0,5.1,-9.0
2019-02-01,ATL,True,False,W,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.8,-8.0
2019-02-02,HOU,True,True,L,3,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.5,-10.0
2019-02-06,PHX,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,3.0
2019-02-09,SAS,True,False,W,3,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,4.0,0.0
2019-02-28,DEN,False,False,W,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-2.3,5.0
