date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2012-10-31,PHX,False,False,W,14,6.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,5.3,-2.0
2012-11-02,MEM,True,False,L,23,8.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,1.0,-11.0
2012-11-03,LAC,False,True,W,20,10.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,6.4,3.0
2012-11-05,SAC,False,False,L,30,6.0,2.0,4.0,1.0,0.0,1.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,4.2,2.0
2012-11-07,CLE,True,False,W,30,14.0,2.0,1.0,1.0,0.0,2.0,5.0,9.0,0.556,1.0,2.0,0.5,3.0,5.0,0.6,8.4,-6.0
2012-11-09,LAL,False,False,L,29,7.0,4.0,0.0,1.0,0.0,3.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,0.2,-19.0
2012-11-10,DEN,True,True,L,19,7.0,5.0,1.0,0.0,1.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,2.0,4.0,0.5,5.4,-1.0
2012-11-14,ATL,True,False,W,40,19.0,13.0,1.0,1.0,0.0,3.0,6.0,11.0,0.545,1.0,2.0,0.5,6.0,8.0,0.75,15.9,-5.0
2012-11-16,MIN,False,False,W,35,18.0,9.0,1.0,0.0,0.0,1.0,8.0,15.0,0.533,0.0,2.0,0.0,2.0,2.0,1.0,13.1,11.0
2012-11-18,OKC,False,False,L,30,12.0,1.0,3.0,2.0,0.0,2.0,5.0,11.0,0.455,0.0,2.0,0.0,2.0,2.0,1.0,8.7,-24.0
2012-11-19,DAL,False,True,W,40,20.0,12.0,0.0,1.0,0.0,2.0,8.0,16.0,0.5,4.0,6.0,0.667,0.0,2.0,0.0,14.2,8.0
2012-11-21,BKN,True,False,W,28,9.0,5.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,1.0,2.0,0.5,2.0,3.0,0.667,5.3,5.0
2012-11-23,DEN,False,False,L,15,4.0,2.0,1.0,1.0,0.0,2.0,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,-0.8,0.0
2012-11-24,MIN,True,True,W,39,10.0,11.0,2.0,0.0,0.0,1.0,4.0,7.0,0.571,0.0,1.0,0.0,2.0,4.0,0.5,9.2,17.0
2012-11-29,DEN,True,False,W,17,2.0,2.0,2.0,1.0,0.0,0.0,1.0,7.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-5.0
2012-12-01,IND,True,False,W,29,6.0,5.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,4.8,-2.0
