date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,PHI,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2021-10-22,CHI,False,False,L,29,6.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.3,17.0
2021-10-23,MIN,False,True,L,29,2.0,8.0,2.0,0.0,1.0,3.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,1.3,4.0
2021-10-25,MIN,False,False,W,32,0.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.0
2021-10-27,ATL,True,False,L,22,8.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,0.75,1.0,1.0,1.0,1.0,2.0,0.5,5.1,-6.0
2021-10-29,SAC,True,False,L,25,12.0,1.0,0.0,2.0,0.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,2.0,1.0,7.3,-4.0
2021-10-30,NYK,True,True,L,36,12.0,3.0,5.0,3.0,0.0,1.0,6.0,13.0,0.462,0.0,3.0,0.0,0.0,1.0,0.0,10.1,7.0
2021-11-02,PHX,False,False,L,19,8.0,2.0,1.0,1.0,0.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.2,5.0
2021-11-10,OKC,True,False,L,32,4.0,6.0,4.0,2.0,1.0,3.0,1.0,7.0,0.143,0.0,1.0,0.0,2.0,3.0,0.667,3.4,8.0
2021-11-12,BKN,True,False,L,23,11.0,4.0,1.0,2.0,0.0,3.0,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,5.9,0.0
2021-11-13,MEM,True,True,W,29,17.0,6.0,0.0,0.0,1.0,1.0,5.0,10.0,0.5,3.0,4.0,0.75,4.0,4.0,1.0,14.3,0.0
2021-11-15,WAS,False,False,L,19,4.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.3,-11.0
2021-11-17,MIA,False,False,L,24,4.0,5.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-10.0
2021-11-19,LAC,True,False,W,27,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,17.0
2021-11-20,IND,False,True,L,17,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-6.0
2021-11-22,MIN,True,False,L,31,6.0,5.0,3.0,0.0,1.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,5.1,1.0
2021-11-24,WAS,True,False,W,30,4.0,7.0,3.0,4.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.0
2021-11-26,UTA,False,False,W,35,8.0,2.0,2.0,3.0,1.0,2.0,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,5.4,-2.0
2021-11-27,UTA,False,True,L,26,3.0,3.0,2.0,4.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,6.9,-23.0
2021-11-29,LAC,False,False,W,34,16.0,4.0,1.0,2.0,1.0,0.0,6.0,10.0,0.6,0.0,1.0,0.0,4.0,4.0,1.0,15.2,14.0
2021-12-01,DAL,True,False,L,26,3.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,0.125,0.0,1.0,0.0,1.0,1.0,1.0,0.8,-32.0
2021-12-03,DAL,False,False,W,36,13.0,2.0,4.0,1.0,1.0,0.0,5.0,11.0,0.455,2.0,3.0,0.667,1.0,2.0,0.5,10.4,5.0
2021-12-05,HOU,False,False,L,22,5.0,1.0,0.0,1.0,3.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.4,-3.0
2021-12-08,DEN,True,False,L,39,19.0,7.0,3.0,1.0,2.0,2.0,8.0,11.0,0.727,2.0,2.0,1.0,1.0,2.0,0.5,18.7,-7.0
2021-12-10,DET,True,False,W,30,10.0,5.0,4.0,0.0,1.0,0.0,3.0,9.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,8.3,21.0
2021-12-12,SAS,False,False,L,24,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-9.0
2021-12-15,OKC,False,False,W,33,8.0,2.0,2.0,0.0,1.0,0.0,3.0,7.0,0.429,0.0,3.0,0.0,2.0,2.0,1.0,5.0,1.0
2021-12-17,MIL,True,False,W,33,17.0,9.0,4.0,1.0,1.0,2.0,6.0,9.0,0.667,0.0,0.0,0.0,5.0,8.0,0.625,16.7,17.0
2021-12-21,POR,True,False,W,26,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,-1.0
2021-12-23,ORL,False,False,W,29,8.0,6.0,1.0,1.0,1.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,7.2,6.0
2021-12-26,OKC,False,False,L,37,15.0,6.0,1.0,1.0,1.0,0.0,5.0,12.0,0.417,2.0,5.0,0.4,3.0,3.0,1.0,12.8,1.0
2021-12-28,CLE,True,False,W,36,26.0,7.0,3.0,0.0,3.0,0.0,10.0,18.0,0.556,2.0,4.0,0.5,4.0,4.0,1.0,21.7,0.0
2022-01-01,MIL,False,False,L,35,14.0,6.0,3.0,3.0,3.0,3.0,6.0,13.0,0.462,2.0,6.0,0.333,0.0,0.0,0.0,13.3,-18.0
2022-01-03,UTA,True,False,L,30,11.0,5.0,1.0,4.0,1.0,2.0,4.0,8.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,12.7,0.0
2022-01-04,PHX,True,True,L,34,9.0,4.0,5.0,1.0,2.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,12.0,-22.0
