date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,IND,False,False,L,12,5.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,5.3,5.0
2021-01-02,IND,False,False,W,15,9.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,4.9,-4.0
2021-01-04,ATL,False,False,W,19,16.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0,0.571,2.0,3.0,0.667,6.0,6.0,1.0,13.9,17.0
2021-01-06,UTA,True,False,W,6,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-13.0
2021-01-08,OKC,True,False,L,17,3.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,0.111,1.0,3.0,0.333,0.0,0.0,0.0,0.5,-13.0
2021-01-10,DEN,True,False,L,13,4.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,0.4,-18.0
2021-01-11,CHA,False,True,L,29,3.0,4.0,3.0,0.0,0.0,1.0,1.0,10.0,0.1,0.0,6.0,0.0,1.0,1.0,1.0,-2.5,-2.0
2021-01-13,BKN,True,False,L,22,19.0,2.0,3.0,1.0,0.0,1.0,7.0,15.0,0.467,3.0,6.0,0.5,2.0,3.0,0.667,12.8,-10.0
2021-01-15,CLE,False,False,L,28,23.0,5.0,4.0,1.0,1.0,1.0,9.0,17.0,0.529,3.0,7.0,0.429,2.0,2.0,1.0,18.9,11.0
2021-01-17,BOS,False,False,W,21,17.0,0.0,8.0,1.0,1.0,2.0,7.0,12.0,0.583,2.0,4.0,0.5,1.0,1.0,1.0,15.1,20.0
2021-01-18,ORL,True,True,W,15,11.0,1.0,2.0,0.0,0.0,0.0,4.0,10.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,6.5,-13.0
2021-01-21,GSW,False,False,W,11,5.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,1.7,0.0
2021-01-22,SAC,False,True,L,17,8.0,1.0,2.0,0.0,3.0,2.0,3.0,9.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,3.5,6.0
2021-01-24,POR,False,False,L,24,31.0,3.0,4.0,0.0,0.0,1.0,9.0,18.0,0.5,5.0,8.0,0.625,8.0,8.0,1.0,23.9,2.0
2021-01-26,UTA,False,False,L,23,6.0,4.0,1.0,1.0,0.0,2.0,1.0,11.0,0.091,0.0,4.0,0.0,4.0,4.0,1.0,-0.8,-5.0
2021-01-29,CLE,True,False,W,25,25.0,5.0,3.0,0.0,0.0,2.0,9.0,17.0,0.529,5.0,8.0,0.625,2.0,2.0,1.0,17.9,16.0
2021-01-31,LAC,True,False,L,27,25.0,3.0,3.0,0.0,1.0,0.0,9.0,16.0,0.563,2.0,8.0,0.25,5.0,6.0,0.833,19.9,-8.0
2021-02-01,CHI,False,True,L,30,16.0,6.0,7.0,0.0,0.0,1.0,5.0,13.0,0.385,2.0,7.0,0.286,4.0,4.0,1.0,14.2,-3.0
2021-02-03,CHI,False,False,W,13,9.0,1.0,1.0,0.0,0.0,2.0,3.0,7.0,0.429,2.0,3.0,0.667,1.0,2.0,0.5,3.5,-3.0
2021-02-06,POR,True,False,W,13,12.0,2.0,3.0,1.0,0.0,2.0,4.0,8.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,9.3,5.0
2021-02-07,MIA,True,True,L,17,5.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,3.0,3.0,1.0,4.8,3.0
2021-02-09,MIA,False,False,L,21,7.0,2.0,3.0,1.0,0.0,0.0,2.0,9.0,0.222,1.0,4.0,0.25,2.0,2.0,1.0,4.4,7.0
2021-02-12,WAS,False,False,W,22,16.0,2.0,1.0,0.0,0.0,0.0,5.0,15.0,0.333,2.0,7.0,0.286,4.0,4.0,1.0,9.2,16.0
2021-02-13,HOU,True,True,W,21,22.0,4.0,2.0,0.0,0.0,1.0,7.0,9.0,0.778,4.0,6.0,0.667,4.0,4.0,1.0,18.5,17.0
2021-02-15,ATL,True,False,W,22,16.0,2.0,5.0,0.0,0.0,0.0,4.0,11.0,0.364,4.0,8.0,0.5,4.0,4.0,1.0,13.6,8.0
2021-02-17,ORL,False,False,L,21,9.0,2.0,1.0,1.0,1.0,0.0,1.0,12.0,0.083,0.0,4.0,0.0,7.0,7.0,1.0,3.6,-19.0
2021-02-21,MIN,True,False,W,9,5.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,2.0,0.5,2.0,4.0,0.5,-0.4,-10.0
2021-02-23,GSW,True,False,L,13,3.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,-1.0,12.0
