date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-27,CLE,False,False,L,7,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0
2020-12-31,ORL,False,False,W,7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.9,-10.0
2021-01-04,CHA,True,False,W,6,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-7.0
2021-01-07,BKN,False,False,L,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,0.0
2021-01-09,DEN,True,False,L,45,13.0,4.0,2.0,1.0,0.0,1.0,4.0,18.0,0.222,3.0,11.0,0.273,2.0,2.0,1.0,5.0,-14.0
2021-01-11,ATL,False,False,L,28,18.0,2.0,4.0,2.0,0.0,1.0,6.0,9.0,0.667,4.0,7.0,0.571,2.0,2.0,1.0,16.5,4.0
2021-01-12,MIA,True,True,W,37,13.0,5.0,1.0,0.0,2.0,0.0,4.0,10.0,0.4,4.0,10.0,0.4,1.0,1.0,1.0,10.4,6.0
2021-01-14,MIA,True,False,W,19,12.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,0.5,4.0,8.0,0.5,0.0,0.0,0.0,8.3,16.0
2021-01-16,MEM,False,False,L,16,6.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,2.9,-12.0
2021-01-25,DET,False,False,L,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.1,-4.0
2021-01-29,MIN,False,False,W,4,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-2.0
2021-02-04,POR,True,False,L,8,6.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,4.0,9.0
2021-02-06,BKN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-02-13,PHX,False,False,L,2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.4,3.0
2021-02-15,UTA,False,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,5.0
2021-02-17,HOU,True,False,W,12,3.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,1.5,3.0
2021-02-19,CHI,True,False,W,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-2.0
2021-02-21,TOR,False,False,L,12,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.6,-9.0
2021-02-23,TOR,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2021-02-25,DAL,True,False,W,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,-7.0
2021-03-14,SAS,True,False,W,7,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,2.6,-2.0
2021-03-20,SAC,True,False,W,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,-3.0
2021-03-27,LAC,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-03-30,DEN,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,6.0
2021-04-01,CLE,False,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2021-04-04,MEM,True,False,L,10,6.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,4.5,10.0
2021-04-09,NOP,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-04-10,OKC,False,True,W,9,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.9,4.0
2021-04-12,DAL,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2021-04-19,GSW,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,MIL,False,False,L,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.2,8.0
2021-04-24,MIL,False,False,L,6,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.2,-11.0
2021-04-26,OKC,True,False,W,10,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,-1.8,0.0
2021-04-28,ATL,True,False,W,6,6.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.7,9.0
2021-04-30,ATL,True,False,W,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.1,-2.0
2021-05-05,HOU,False,False,W,7,6.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,4.6,-4.0
2021-05-08,DET,True,False,W,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-8.0
2021-05-11,IND,False,False,L,11,5.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.6,9.0
2021-05-13,MIA,False,False,L,6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.6,6.0
2021-05-14,ORL,True,True,W,7,11.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,7.0,-2.0
2021-05-16,ORL,True,False,W,33,17.0,3.0,2.0,2.0,0.0,1.0,4.0,12.0,0.333,4.0,10.0,0.4,5.0,6.0,0.833,11.9,-2.0
2021-10-20,NOP,False,False,W,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-4.1,-7.0
2021-10-22,BKN,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2021-10-24,OKC,False,False,W,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,10.0
2021-10-26,NYK,False,False,L,7,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.3,4.0
2021-10-30,ATL,True,False,W,5,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.7,1.0
2021-11-01,POR,True,False,W,11,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6,1.0
2021-11-03,CHI,True,False,W,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.6,-4.0
2021-11-16,UTA,False,False,L,24,8.0,8.0,2.0,0.0,0.0,1.0,3.0,11.0,0.273,1.0,8.0,0.125,1.0,1.0,1.0,2.7,-12.0
2021-11-18,DEN,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,-5.0
2021-11-20,POR,False,False,L,5,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.4,5.0
2021-11-22,SAC,False,False,W,17,11.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,0.375,2.0,6.0,0.333,3.0,3.0,1.0,7.5,-2.0
2021-11-24,GSW,False,False,L,15,8.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,5.7,-17.0
