date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-12-16,IND,False,False,L,5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.1,-2.0
2022-02-27,CHA,False,False,W,13,6.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,4.3,-3.0
2022-03-01,WAS,False,False,L,10,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-1.0
2022-03-03,TOR,False,False,W,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2022-03-04,IND,True,True,W,6,5.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.7,-4.0
2022-03-07,ATL,True,False,W,25,9.0,2.0,2.0,3.0,0.0,2.0,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,8.2,0.0
2022-03-09,CHI,True,False,L,16,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.1,1.0
2022-03-11,BOS,False,False,L,14,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,2.0
2022-03-13,LAC,True,False,L,27,9.0,5.0,1.0,0.0,1.0,0.0,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,0.0,9.6,-10.0
2022-03-15,MIA,False,False,L,32,16.0,6.0,2.0,1.0,0.0,0.0,6.0,7.0,0.857,4.0,5.0,0.8,0.0,0.0,0.0,16.5,15.0
2022-03-17,ORL,False,False,W,20,5.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,2.6,12.0
2022-03-19,CLE,False,False,L,19,4.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,3.2,-9.0
2022-03-21,POR,True,False,L,25,5.0,5.0,2.0,0.0,0.0,2.0,1.0,7.0,0.143,1.0,7.0,0.143,2.0,3.0,0.667,-0.6,4.0
