date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-28,ATL,False,False,L,14,2.0,8.0,2.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-4.0
2020-12-29,GSW,True,True,L,23,6.0,7.0,1.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.7,10.0
2021-01-01,BOS,True,False,W,18,8.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,5.8,-5.0
2021-01-03,BOS,True,False,L,15,2.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0
2021-01-04,MIL,False,True,L,20,4.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-2.0
2021-01-06,MIL,False,False,L,20,5.0,7.0,0.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.1,5.0
2021-01-08,PHX,True,False,W,9,0.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-15.0
2021-01-10,UTA,True,False,L,14,2.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.8,7.0
2021-01-13,MIL,True,False,L,17,9.0,7.0,1.0,0.0,0.0,0.0,4.0,7.0,0.571,0.0,1.0,0.0,1.0,2.0,0.5,9.3,-1.0
2021-01-16,MIA,False,False,W,19,10.0,11.0,2.0,1.0,0.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,12.5,16.0
2021-01-18,MIA,False,False,L,12,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-14.0
2021-01-20,ATL,False,False,L,16,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
2021-01-22,HOU,True,False,L,23,7.0,10.0,0.0,0.0,2.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,8.3,3.0
2021-01-23,PHI,True,True,L,19,8.0,5.0,1.0,1.0,2.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,7.3,-2.0
2021-01-25,PHI,True,False,W,20,4.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.1,-3.0
2021-01-27,CLE,False,False,L,15,0.0,6.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-1.0
