date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-11-02,ATL,False,False,W,19,6.0,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.8,10.0
2016-11-04,GSW,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-13,MIN,False,False,L,8,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-2.0,-4.0
2016-12-07,HOU,False,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6,-1.0
2016-12-12,SAC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-5.0
2016-12-20,CHA,False,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2016-12-23,ORL,False,False,L,17,6.0,2.0,1.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,2.2,-10.0
2017-01-12,SAS,False,False,L,15,8.0,4.0,1.0,2.0,1.0,1.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,8.7,-12.0
2017-01-14,LAC,False,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2017-01-15,DET,True,True,L,9,4.0,5.0,1.0,0.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
2017-01-17,DEN,True,False,L,26,11.0,13.0,1.0,1.0,3.0,1.0,5.0,11.0,0.455,0.0,0.0,0.0,1.0,2.0,0.5,12.8,8.0
2017-01-20,IND,True,False,W,6,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-5.0
2017-01-22,DAL,False,False,L,19,2.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-29.0
2017-01-25,POR,False,False,L,28,12.0,10.0,2.0,0.0,3.0,4.0,5.0,15.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,6.8,13.0
