date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-11-01,LAL,True,False,L,22,5.0,6.0,1.0,0.0,1.0,0.0,1.0,8.0,0.125,0.0,3.0,0.0,3.0,3.0,1.0,2.6,7.0
2024-11-02,SAC,True,True,W,10,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.6,-6.0
2024-11-04,DEN,False,False,L,9,3.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.1,10.0
2024-11-06,SAC,False,False,L,8,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.6,8.0
2024-11-27,NOP,False,False,W,28,14.0,11.0,5.0,2.0,0.0,3.0,6.0,14.0,0.429,2.0,10.0,0.2,0.0,1.0,0.0,12.8,31.0
2024-11-29,MIA,False,False,L,26,6.0,3.0,2.0,1.0,1.0,1.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,3.8,-12.0
2024-12-01,MIA,True,False,W,17,12.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,6.7,-12.0
2024-12-03,IND,True,False,W,17,2.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-2.7,15.0
2024-12-05,OKC,True,False,L,23,6.0,6.0,2.0,0.0,0.0,3.0,2.0,8.0,0.25,0.0,4.0,0.0,2.0,2.0,1.0,2.2,-27.0
2024-12-07,DAL,True,False,L,21,8.0,0.0,3.0,2.0,0.0,1.0,4.0,10.0,0.4,0.0,4.0,0.0,0.0,0.0,0.0,4.5,6.0
2024-12-09,NYK,True,False,L,22,19.0,1.0,2.0,0.0,0.0,2.0,6.0,12.0,0.5,3.0,7.0,0.429,4.0,5.0,0.8,11.9,-10.0
2024-12-12,MIA,False,False,L,26,9.0,2.0,1.0,1.0,1.0,1.0,3.0,8.0,0.375,2.0,5.0,0.4,1.0,1.0,1.0,7.0,-7.0
2024-12-16,CHI,True,False,L,24,6.0,3.0,2.0,2.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.9,-6.0
2024-12-19,BKN,True,False,L,24,7.0,4.0,2.0,0.0,0.0,0.0,3.0,10.0,0.3,1.0,3.0,0.333,0.0,1.0,0.0,2.6,-9.0
2024-12-22,HOU,True,False,L,28,27.0,2.0,3.0,0.0,0.0,1.0,9.0,18.0,0.5,6.0,11.0,0.545,3.0,4.0,0.75,17.7,-14.0
2024-12-23,NYK,False,True,L,25,16.0,1.0,0.0,0.0,2.0,1.0,4.0,5.0,0.8,0.0,1.0,0.0,8.0,10.0,0.8,12.4,-19.0
2024-12-29,ATL,True,False,L,16,5.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.0,-6.0
2024-12-31,BOS,False,False,L,22,3.0,2.0,2.0,0.0,1.0,1.0,1.0,10.0,0.1,0.0,4.0,0.0,1.0,2.0,0.5,-2.3,-26.0
2025-01-01,BKN,True,True,W,18,11.0,3.0,3.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,4.0,0.5,1.0,2.0,0.5,11.0,-4.0
2025-01-03,ORL,True,False,L,18,5.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.3,-3.0
2025-01-06,MIL,True,False,L,11,8.0,2.0,1.0,0.0,0.0,3.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,1.0,0.0,4.0,3.0
2025-01-08,NYK,False,False,L,22,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.5,-4.0
2025-01-09,CLE,False,True,L,15,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,2.5,5.0
2025-01-11,DET,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-1.0
2025-01-21,ORL,True,False,W,18,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,3.6,12.0
2025-01-23,ATL,False,False,W,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.7,-5.0
2025-01-25,ATL,False,False,W,16,7.0,3.0,3.0,2.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,1.0,0.0,8.2,5.0
2025-01-29,WAS,False,False,W,22,4.0,0.0,2.0,1.0,0.0,0.0,2.0,9.0,0.222,0.0,4.0,0.0,0.0,0.0,0.0,0.1,-1.0
2025-01-31,CHI,True,False,L,18,14.0,4.0,2.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,7.0,8.0,0.875,13.9,-8.0
2025-02-02,LAC,True,False,W,21,10.0,4.0,2.0,1.0,0.0,1.0,4.0,11.0,0.364,2.0,6.0,0.333,0.0,0.0,0.0,6.1,-3.0
2025-02-04,NYK,True,False,L,29,13.0,1.0,0.0,2.0,0.0,2.0,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,0.0,9.2,-8.0
2025-02-05,MEM,True,True,L,28,14.0,3.0,3.0,2.0,0.0,1.0,5.0,11.0,0.455,1.0,4.0,0.25,3.0,3.0,1.0,11.1,-18.0
2025-02-07,OKC,False,False,L,23,12.0,2.0,1.0,1.0,1.0,1.0,5.0,9.0,0.556,2.0,5.0,0.4,0.0,1.0,0.0,8.9,6.0
2025-02-09,HOU,False,False,L,25,10.0,3.0,0.0,1.0,0.0,1.0,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,5.5,-2.0
2025-02-11,PHI,False,False,W,20,5.0,5.0,1.0,1.0,0.0,1.0,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,3.6,-6.0
2025-02-12,CLE,True,True,L,22,6.0,4.0,2.0,1.0,0.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.0
2025-02-21,MIA,True,False,L,17,8.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,5.9,-2.0
2025-02-23,PHX,True,False,W,18,6.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,4.4,9.0
2025-02-25,BOS,True,False,L,16,6.0,3.0,0.0,1.0,0.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,3.9,6.0
2025-02-26,IND,False,True,L,23,3.0,8.0,1.0,1.0,0.0,2.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,0.5,1.3,-4.0
2025-02-28,CHI,False,False,L,22,7.0,4.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,1.0,1.0,1.0,4.2,2.0
2025-03-02,ORL,False,False,W,31,7.0,4.0,1.0,1.0,0.0,2.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,5.5,-1.0
2025-03-04,ORL,False,False,W,28,17.0,3.0,0.0,1.0,1.0,4.0,4.0,10.0,0.4,2.0,4.0,0.5,7.0,8.0,0.875,9.8,4.0
2025-03-07,UTA,True,False,W,18,14.0,5.0,2.0,1.0,0.0,0.0,5.0,12.0,0.417,2.0,6.0,0.333,2.0,2.0,1.0,11.5,11.0
2025-03-23,SAS,True,False,L,25,10.0,3.0,4.0,0.0,0.0,1.0,3.0,12.0,0.25,2.0,6.0,0.333,2.0,2.0,1.0,6.7,-29.0
2025-03-26,BKN,False,False,W,30,11.0,2.0,6.0,0.0,0.0,0.0,4.0,14.0,0.286,1.0,5.0,0.2,2.0,2.0,1.0,6.8,16.0
2025-03-28,CHA,True,False,W,30,11.0,2.0,1.0,2.0,0.0,1.0,3.0,8.0,0.375,3.0,7.0,0.429,2.0,2.0,1.0,8.9,8.0
2025-03-30,PHI,False,False,W,34,17.0,8.0,4.0,3.0,1.0,1.0,5.0,11.0,0.455,3.0,5.0,0.6,4.0,4.0,1.0,20.0,1.0
2025-04-01,CHI,False,False,L,27,17.0,4.0,4.0,1.0,0.0,2.0,6.0,10.0,0.6,5.0,5.0,1.0,0.0,0.0,0.0,15.8,-12.0
2025-04-03,POR,True,False,L,30,9.0,7.0,3.0,1.0,0.0,1.0,3.0,9.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,8.1,6.0
2025-04-04,DET,True,True,L,32,22.0,3.0,1.0,3.0,0.0,2.0,8.0,14.0,0.571,4.0,7.0,0.571,2.0,2.0,1.0,17.6,0.0
2025-04-06,BKN,False,False,W,18,8.0,5.0,2.0,2.0,1.0,2.0,2.0,6.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,7.8,8.0
2025-10-27,SAS,False,False,L,10,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.5,-10.0
2025-10-29,HOU,True,False,L,16,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,3.9,7.0
2025-10-31,CLE,False,False,W,10,3.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.3,-9.0
2025-11-02,MEM,True,False,W,11,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.6,-5.0
2025-11-04,MIL,True,False,W,11,8.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,3.0,3.0,1.0,6.2,14.0
2025-11-07,ATL,False,False,W,6,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-9.0
2025-11-08,PHI,False,True,L,11,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,-1.2,-16.0
2025-11-11,BKN,False,False,W,15,6.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.7,2.0
2025-11-13,CLE,False,False,W,13,4.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,6.0,-16.0
2025-11-15,IND,False,False,W,15,3.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,2.2,6.0
2025-11-17,CHA,True,False,W,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,2.0
