date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,ATL,False,False,L,33,17.0,7.0,1.0,0.0,0.0,0.0,6.0,17.0,0.353,3.0,11.0,0.273,2.0,2.0,1.0,9.1,-9.0
2022-10-21,MEM,True,False,L,35,10.0,1.0,1.0,0.0,2.0,0.0,3.0,14.0,0.214,2.0,8.0,0.25,2.0,2.0,1.0,2.2,-31.0
2022-10-22,MIL,False,True,L,28,13.0,11.0,1.0,0.0,2.0,0.0,5.0,15.0,0.333,3.0,7.0,0.429,0.0,0.0,0.0,9.5,-11.0
2022-10-24,UTA,True,False,W,34,21.0,9.0,2.0,0.0,3.0,1.0,6.0,10.0,0.6,3.0,5.0,0.6,6.0,6.0,1.0,20.8,2.0
2022-10-26,UTA,False,False,L,32,10.0,9.0,0.0,1.0,0.0,2.0,3.0,10.0,0.3,2.0,6.0,0.333,2.0,4.0,0.5,3.9,-3.0
2022-10-28,POR,False,False,L,32,12.0,2.0,1.0,1.0,1.0,1.0,4.0,13.0,0.308,2.0,5.0,0.4,2.0,2.0,1.0,4.9,-10.0
2022-10-30,PHX,False,False,L,25,8.0,7.0,0.0,0.0,1.0,2.0,2.0,8.0,0.25,2.0,6.0,0.333,2.0,2.0,1.0,2.8,-13.0
2022-10-31,LAC,False,True,L,30,4.0,5.0,1.0,0.0,1.0,2.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-0.3,-2.0
2022-11-02,LAC,True,False,L,27,2.0,4.0,0.0,0.0,1.0,2.0,1.0,10.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,-5.1,-6.0
2022-11-07,ORL,False,False,W,22,3.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,-3.0,-4.0
2022-11-09,TOR,False,False,L,31,15.0,10.0,0.0,0.0,0.0,1.0,4.0,11.0,0.364,2.0,8.0,0.25,5.0,6.0,0.833,9.7,-19.0
2022-11-12,NOP,False,False,L,28,9.0,15.0,2.0,0.0,2.0,1.0,4.0,10.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,10.3,-21.0
2022-11-14,LAC,True,False,L,29,7.0,6.0,1.0,3.0,0.0,0.0,2.0,6.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,7.9,-14.0
2022-11-16,DAL,False,False,W,30,10.0,9.0,0.0,0.0,2.0,0.0,3.0,10.0,0.3,2.0,5.0,0.4,2.0,2.0,1.0,7.1,-3.0
2022-11-18,IND,True,False,L,36,12.0,8.0,1.0,0.0,2.0,2.0,4.0,14.0,0.286,2.0,8.0,0.25,2.0,2.0,1.0,5.1,-2.0
2022-11-20,GSW,True,False,L,32,22.0,7.0,1.0,0.0,0.0,2.0,8.0,14.0,0.571,3.0,9.0,0.333,3.0,4.0,0.75,15.4,-15.0
2022-11-25,ATL,True,False,W,38,21.0,9.0,1.0,1.0,1.0,0.0,6.0,17.0,0.353,5.0,11.0,0.455,4.0,4.0,1.0,16.2,14.0
2022-11-26,OKC,True,True,W,31,15.0,13.0,0.0,0.0,1.0,1.0,5.0,11.0,0.455,3.0,8.0,0.375,2.0,2.0,1.0,13.3,23.0
