date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-22,MEM,True,False,W,6,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.8,3.0
2022-10-29,OKC,True,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1.0
2022-11-10,WAS,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,NYK,False,False,W,7,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,2.2,-8.0
2022-12-05,PHX,True,False,W,2,10.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,7.3,-2.0
2022-12-10,CHI,False,False,L,23,15.0,1.0,1.0,1.0,1.0,1.0,5.0,13.0,0.385,0.0,4.0,0.0,5.0,5.0,1.0,8.8,-19.0
2022-12-14,CLE,True,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,4.0
2022-12-16,POR,True,False,W,7,6.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,3.6,-5.0
2022-12-17,CLE,False,True,L,13,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.1,-11.0
2022-12-25,LAL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2022-12-29,HOU,True,False,W,12,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,-7.0
2023-01-05,BOS,True,False,L,15,15.0,2.0,2.0,0.0,0.0,0.0,5.0,8.0,0.625,3.0,3.0,1.0,2.0,2.0,1.0,13.0,-7.0
2023-01-07,NOP,True,False,W,21,15.0,1.0,0.0,2.0,0.0,0.0,7.0,9.0,0.778,1.0,2.0,0.5,0.0,0.0,0.0,12.6,-4.0
2023-01-08,OKC,False,True,L,27,9.0,2.0,3.0,0.0,0.0,2.0,2.0,8.0,0.25,1.0,5.0,0.2,4.0,6.0,0.667,2.1,3.0
2023-01-10,LAC,False,False,L,17,2.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-2.2,15.0
2023-01-12,LAL,False,False,W,6,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,-0.5,0.0
2023-01-14,POR,False,False,L,10,7.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,4.2,4.0
2023-01-15,POR,False,True,L,27,25.0,2.0,2.0,1.0,0.0,0.0,8.0,17.0,0.471,3.0,10.0,0.3,6.0,9.0,0.667,18.1,-11.0
2023-01-18,ATL,True,False,L,4,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.7,3.0
2023-01-20,MIA,True,False,W,8,2.0,2.0,1.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,-9.0
2023-01-26,PHX,False,False,W,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.0
2023-01-28,UTA,False,False,L,5,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,1.0
2023-01-30,DET,True,False,W,6,3.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,1.9,-6.0
2023-02-02,NOP,True,False,W,10,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-0.2,-1.0
2023-02-04,GSW,False,False,L,13,11.0,1.0,1.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,5.0,0.2,4.0,4.0,1.0,5.8,-7.0
2023-02-06,UTA,False,False,W,26,29.0,4.0,4.0,2.0,0.0,2.0,8.0,12.0,0.667,4.0,6.0,0.667,9.0,9.0,1.0,26.6,23.0
2023-02-08,LAC,False,False,W,12,8.0,3.0,0.0,0.0,0.0,5.0,3.0,5.0,0.6,0.0,1.0,0.0,2.0,3.0,0.667,0.4,0.0
2023-02-10,SAC,False,False,W,20,12.0,2.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,4.0,5.0,0.8,0.0,0.0,0.0,8.6,15.0
2023-02-11,SAC,False,True,L,17,3.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,4.0,-15.0
