date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-26,POR,False,False,L,37,13.0,4.0,2.0,1.0,0.0,1.0,5.0,9.0,0.556,1.0,4.0,0.25,2.0,2.0,1.0,10.1,14.0
2020-12-28,DEN,False,False,L,25,5.0,7.0,2.0,0.0,1.0,3.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.6,-15.0
2020-12-31,SAC,True,False,W,21,4.0,6.0,1.0,1.0,0.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,3.4,-4.0
2021-01-02,SAC,True,False,W,20,5.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,6.2,7.0
2021-01-04,DAL,True,False,L,25,8.0,6.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5.4,5.0
2021-01-06,IND,False,False,L,24,8.0,2.0,2.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,4.0,-12.0
2021-01-08,ORL,True,False,W,15,10.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,20.0
2021-01-10,LAL,True,False,L,20,9.0,6.0,1.0,2.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,11.6,-3.0
2021-01-12,LAL,True,False,L,25,9.0,3.0,0.0,1.0,1.0,0.0,4.0,9.0,0.444,0.0,2.0,0.0,1.0,1.0,1.0,5.7,2.0
2021-01-14,SAS,False,False,W,33,13.0,5.0,10.0,0.0,2.0,2.0,6.0,12.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,14.9,17.0
2021-01-16,SAS,False,False,L,26,7.0,5.0,5.0,0.0,3.0,2.0,2.0,11.0,0.182,0.0,1.0,0.0,3.0,5.0,0.6,3.2,-24.0
2021-01-18,CHI,False,False,L,30,11.0,6.0,0.0,0.0,1.0,1.0,4.0,8.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,6.9,-12.0
2021-01-20,PHX,True,False,L,37,9.0,6.0,0.0,0.0,0.0,2.0,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,5.3,5.0
2021-01-22,DET,False,False,W,32,13.0,3.0,1.0,3.0,3.0,1.0,5.0,8.0,0.625,2.0,4.0,0.5,1.0,2.0,0.5,13.1,6.0
2021-01-23,DAL,False,True,W,20,6.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,18.0
2021-01-26,WAS,True,False,W,28,3.0,7.0,0.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,0.5,3.1,8.0
2021-01-28,POR,True,False,W,17,2.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.9,-13.0
2021-01-30,NOP,False,False,W,24,13.0,9.0,0.0,3.0,0.0,0.0,6.0,8.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,15.5,15.0
2021-02-01,OKC,False,False,W,23,11.0,7.0,4.0,0.0,1.0,2.0,5.0,6.0,0.833,1.0,2.0,0.5,0.0,0.0,0.0,12.4,25.0
2021-02-03,OKC,False,False,L,31,6.0,4.0,0.0,0.0,1.0,3.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,-0.3,-20.0
2021-02-04,MEM,False,True,W,31,19.0,7.0,2.0,1.0,2.0,1.0,7.0,9.0,0.778,2.0,3.0,0.667,3.0,3.0,1.0,19.6,30.0
2021-02-06,SAS,True,False,L,24,4.0,5.0,1.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,2.2,-4.0
2021-02-08,CHA,False,False,L,29,13.0,4.0,1.0,1.0,1.0,1.0,5.0,7.0,0.714,0.0,1.0,0.0,3.0,4.0,0.75,12.3,-17.0
2021-02-09,NOP,False,True,L,29,13.0,7.0,2.0,0.0,0.0,1.0,6.0,9.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,11.2,-22.0
2021-02-11,MIA,True,False,L,35,16.0,7.0,2.0,1.0,0.0,0.0,7.0,11.0,0.636,0.0,1.0,0.0,2.0,2.0,1.0,15.2,-2.0
2021-02-13,NYK,False,False,L,27,9.0,4.0,2.0,0.0,0.0,1.0,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,4.0,-24.0
2021-02-15,WAS,False,False,L,40,18.0,6.0,4.0,2.0,0.0,1.0,8.0,12.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,18.8,-1.0
2021-02-17,PHI,False,False,L,33,19.0,6.0,4.0,3.0,0.0,1.0,7.0,11.0,0.636,1.0,3.0,0.333,4.0,6.0,0.667,19.1,1.0
2021-02-22,CHI,True,False,L,31,12.0,8.0,2.0,3.0,0.0,1.0,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,0.0,13.3,-17.0
2021-02-24,CLE,False,False,L,30,8.0,7.0,1.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,0.0,0.0,2.0,2.0,1.0,5.0,-6.0
2021-02-26,TOR,False,False,L,23,8.0,4.0,1.0,0.0,0.0,0.0,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,5.1,-18.0
2021-02-28,MEM,True,False,L,24,14.0,4.0,0.0,1.0,1.0,2.0,4.0,6.0,0.667,0.0,1.0,0.0,6.0,7.0,0.857,11.1,-25.0
2021-03-01,CLE,True,True,L,30,5.0,4.0,2.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,4.1,1.0
2021-03-03,BKN,True,False,L,32,12.0,10.0,1.0,2.0,0.0,2.0,5.0,10.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,11.1,-7.0
2021-03-11,SAC,False,False,L,30,16.0,4.0,1.0,1.0,0.0,0.0,8.0,11.0,0.727,0.0,2.0,0.0,0.0,2.0,0.0,12.0,-11.0
2021-03-12,UTA,False,True,L,32,7.0,6.0,0.0,2.0,0.0,2.0,3.0,13.0,0.231,1.0,5.0,0.2,0.0,0.0,0.0,-0.3,-20.0
2021-03-14,BOS,True,False,L,25,9.0,6.0,0.0,4.0,1.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,13.2,-7.0
2021-03-16,ATL,True,False,L,35,25.0,6.0,6.0,1.0,1.0,2.0,9.0,19.0,0.474,4.0,7.0,0.571,3.0,4.0,0.75,20.6,-7.0
2021-03-17,GSW,True,True,L,27,2.0,5.0,2.0,3.0,0.0,2.0,1.0,9.0,0.111,0.0,3.0,0.0,0.0,0.0,0.0,-1.6,-6.0
2021-03-19,DET,True,False,L,32,12.0,3.0,3.0,4.0,1.0,0.0,5.0,8.0,0.625,0.0,2.0,0.0,2.0,2.0,1.0,15.7,-3.0
2021-03-21,OKC,True,False,L,33,8.0,9.0,0.0,0.0,1.0,3.0,2.0,6.0,0.333,2.0,4.0,0.5,2.0,4.0,0.5,4.2,10.0
2021-03-22,TOR,True,True,W,40,22.0,6.0,5.0,2.0,0.0,0.0,8.0,9.0,0.889,3.0,4.0,0.75,3.0,6.0,0.5,25.0,24.0
2021-03-24,CHA,True,False,L,24,9.0,4.0,5.0,0.0,0.0,0.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,8.5,-3.0
2021-03-26,MIN,False,False,L,39,10.0,7.0,2.0,2.0,2.0,2.0,4.0,7.0,0.571,0.0,3.0,0.0,2.0,2.0,1.0,10.8,-2.0
