date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-11-20,SAC,True,False,W,6,6.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,4.6,1.0
2025-12-07,POR,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2025-12-15,LAC,False,False,W,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-3.0
2025-12-17,MIN,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-7.0
2025-12-22,OKC,False,False,L,6,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0
2025-12-23,UTA,False,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,PHX,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2026-02-04,SAC,False,False,W,23,2.0,4.0,5.0,3.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.9,-5.0
2026-02-06,POR,False,False,L,20,5.0,1.0,1.0,3.0,0.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,3.8,-8.0
2026-02-07,POR,False,True,L,30,8.0,1.0,1.0,6.0,0.0,2.0,3.0,9.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,7.5,-1.0
2026-02-09,GSW,False,False,L,22,17.0,2.0,1.0,2.0,0.0,3.0,8.0,10.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,12.7,0.0
2026-02-11,DEN,False,False,L,22,9.0,3.0,2.0,2.0,1.0,0.0,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,7.1,2.0
2026-02-20,UTA,True,False,W,31,11.0,5.0,2.0,2.0,1.0,4.0,4.0,9.0,0.444,2.0,4.0,0.5,1.0,4.0,0.25,6.7,8.0
2026-02-21,MIA,False,True,L,22,0.0,3.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.0,-7.0
2026-02-23,SAC,True,False,L,22,4.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.4,5.0
2026-02-27,DAL,False,False,W,23,8.0,3.0,1.0,1.0,1.0,0.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,6.8,3.0
2026-03-01,IND,False,False,W,23,4.0,2.0,1.0,0.0,3.0,3.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,0.7,12.0
2026-03-04,POR,True,False,L,21,13.0,1.0,1.0,1.0,0.0,2.0,5.0,8.0,0.625,3.0,4.0,0.75,0.0,0.0,0.0,7.4,-5.0
2026-03-07,LAC,True,False,L,25,4.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,1.0
2026-03-09,BKN,False,False,L,31,7.0,6.0,2.0,2.0,3.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,10.3,-7.0
2026-03-10,PHI,False,True,L,27,7.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,3.2,-18.0
2026-03-12,DAL,True,False,L,31,8.0,4.0,6.0,2.0,0.0,1.0,3.0,11.0,0.273,1.0,4.0,0.25,1.0,2.0,0.5,6.7,5.0
2026-03-13,DET,False,True,L,23,3.0,3.0,2.0,2.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,1.0,2.0,0.5,4.2,1.0
2026-03-16,CHI,False,False,L,26,3.0,6.0,2.0,1.0,1.0,2.0,1.0,6.0,0.167,1.0,2.0,0.5,0.0,0.0,0.0,2.1,-9.0
2026-03-28,CHI,True,False,W,30,17.0,2.0,2.0,1.0,0.0,2.0,8.0,12.0,0.667,0.0,1.0,0.0,1.0,1.0,1.0,12.4,1.0
2026-03-30,PHX,True,False,L,37,14.0,3.0,2.0,2.0,0.0,4.0,5.0,11.0,0.455,1.0,5.0,0.2,3.0,4.0,0.75,7.8,-32.0
2026-04-01,NYK,True,False,L,23,7.0,4.0,0.0,3.0,0.0,4.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,3.7,-15.0
2026-04-03,TOR,True,False,L,14,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,6.0,0.333,-3.0,-13.0
2026-04-08,DEN,False,False,L,33,9.0,3.0,7.0,0.0,0.0,1.0,4.0,12.0,0.333,1.0,4.0,0.25,0.0,2.0,0.0,5.0,-30.0
2026-04-10,UTA,False,False,L,48,13.0,15.0,14.0,2.0,0.0,10.0,6.0,13.0,0.462,0.0,2.0,0.0,1.0,2.0,0.5,11.4,-46.0
2026-04-12,HOU,False,False,L,38,11.0,1.0,11.0,0.0,2.0,3.0,4.0,12.0,0.333,2.0,9.0,0.222,1.0,1.0,1.0,8.2,-32.0
