date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,NYK,True,False,W,13,5.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,6.6,-2.0
2022-10-21,HOU,False,False,W,15,12.0,5.0,0.0,0.0,1.0,1.0,4.0,7.0,0.571,3.0,4.0,0.75,1.0,1.0,1.0,9.5,-4.0
2022-10-22,DAL,False,True,L,22,6.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.2,-8.0
2022-10-24,BKN,True,False,W,11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-4.0
2022-10-27,SAC,False,False,W,30,13.0,9.0,1.0,1.0,0.0,0.0,5.0,6.0,0.833,3.0,4.0,0.75,0.0,0.0,0.0,14.0,24.0
2022-11-04,CHA,True,False,W,19,4.0,9.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,3.7,-9.0
2022-11-06,WAS,True,False,W,16,6.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,4.9,6.0
2022-11-07,BOS,True,True,L,25,6.0,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,4.8,7.0
2022-11-09,SAS,False,False,W,17,6.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,3.2,-12.0
2022-11-11,MIN,True,False,W,12,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.1,1.0
2022-11-13,WAS,False,False,L,26,2.0,5.0,3.0,1.0,1.0,3.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.4,-9.0
2022-11-18,OKC,True,False,W,9,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.5,-2.0
2022-11-20,BKN,False,False,L,29,11.0,4.0,3.0,1.0,0.0,2.0,4.0,12.0,0.333,3.0,9.0,0.333,0.0,0.0,0.0,6.5,-4.0
2022-11-22,SAC,True,False,L,10,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0
2022-11-25,NOP,True,False,W,26,3.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.1,-15.0
2022-11-27,NYK,False,False,W,15,6.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,6.1,-1.0
2022-12-12,ATL,True,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.0
2022-12-15,MIL,True,False,W,12,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.3,-5.0
2022-12-20,DEN,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2022-12-23,PHX,False,False,W,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-4.0
2022-12-27,PHX,True,False,L,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-0.1,7.0
