date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,ORL,True,False,W,22,14.0,10.0,1.0,0.0,3.0,3.0,7.0,13.0,0.538,0.0,0.0,0.0,0.0,4.0,0.0,10.9,7.0
2022-10-21,NYK,False,False,L,23,8.0,10.0,0.0,1.0,0.0,1.0,4.0,8.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,6.2,-12.0
2022-10-22,IND,False,True,L,18,6.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,-8.0
2022-10-25,WAS,False,False,L,23,6.0,8.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,5.8,-9.0
2022-10-26,ATL,True,True,L,21,7.0,9.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,7.8,-2.0
2022-10-28,ATL,True,False,L,23,8.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,3.7,-19.0
2022-10-30,GSW,True,False,W,15,3.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.2,2.0
2022-11-07,OKC,True,False,W,21,7.0,4.0,0.0,0.0,3.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,3.0,6.0,0.5,5.0,-11.0
2022-11-09,BOS,False,False,L,30,10.0,10.0,2.0,1.0,1.0,0.0,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,14.1,-10.0
2022-11-11,NYK,False,False,L,21,1.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.6,-3.0
2022-11-12,BOS,True,True,L,17,2.0,12.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,-9.0
2022-11-14,TOR,True,False,L,19,2.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3,0.0
2022-11-17,LAC,False,False,L,25,8.0,9.0,0.0,0.0,1.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,7.4,6.0
2022-11-18,LAL,False,True,L,22,12.0,8.0,0.0,1.0,1.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,2.0,2.0,1.0,11.8,-6.0
2022-11-20,SAC,False,False,L,27,12.0,8.0,1.0,1.0,0.0,1.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,13.1,-7.0
2022-11-22,DEN,False,False,W,26,4.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.2,14.0
2022-11-23,UTA,False,True,W,27,4.0,7.0,0.0,2.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.0
2022-11-25,PHX,False,False,L,14,4.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,5.2,6.0
2022-11-27,CLE,True,False,L,20,1.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,-10.0
