date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-21,DAL,True,False,W,4,6.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,4.6,-1.0
2021-10-25,DET,True,False,W,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0
2021-10-30,PHI,False,False,L,5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0
2021-11-04,UTA,True,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2021-11-14,MIL,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,1.0
2021-11-15,ORL,True,True,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
2021-11-22,OKC,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2021-12-22,ORL,True,False,L,11,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,4.0,0.5,2.1,-8.0
2021-12-23,PHI,False,True,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2021-12-25,NYK,False,False,L,15,4.0,7.0,0.0,0.0,0.0,2.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.4,7.0
2022-01-09,LAC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2022-01-26,SAC,True,False,W,4,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.6,-6.0
2022-01-28,BOS,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-02-16,ORL,False,False,W,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-7.0
2022-02-26,TOR,True,False,W,3,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0
2022-03-09,MIL,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,MEM,True,False,W,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
2022-03-23,DET,False,False,L,25,11.0,7.0,1.0,1.0,0.0,2.0,5.0,9.0,0.556,0.0,3.0,0.0,1.0,1.0,1.0,8.1,3.0
2022-03-28,IND,False,False,W,17,12.0,1.0,1.0,1.0,1.0,3.0,6.0,8.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,7.3,16.0
2022-04-05,TOR,False,False,L,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-9.0
2022-04-06,WAS,True,True,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2022-04-10,HOU,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2022-10-19,HOU,True,False,W,14,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.8,-1.0
2022-10-21,ORL,True,False,W,12,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.9,-16.0
2022-10-23,CHA,True,False,L,10,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.6,-6.0
2022-10-26,DET,False,False,W,12,5.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.1,0.0
2022-10-28,DET,False,False,W,21,7.0,5.0,2.0,0.0,1.0,0.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,7.9,15.0
2022-10-29,MIL,False,True,L,17,4.0,2.0,2.0,1.0,0.0,0.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,1.3,-3.0
2022-10-31,TOR,False,False,L,11,5.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.4,3.0
2022-11-02,NYK,False,False,W,12,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-5.0
2022-11-05,NOP,True,False,W,15,11.0,4.0,1.0,2.0,0.0,1.0,5.0,7.0,0.714,1.0,3.0,0.333,0.0,0.0,0.0,11.0,4.0
2022-11-07,MIL,True,False,W,22,5.0,8.0,2.0,2.0,1.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,8.0,15.0
2022-11-09,UTA,True,False,L,20,0.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-22.0
2022-11-10,PHI,True,True,W,6,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,8.0
2022-11-12,PHI,False,False,L,11,4.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.3,3.0
2022-11-14,MIL,False,False,W,15,5.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.5,2.0
2022-11-16,BOS,True,False,L,11,7.0,4.0,0.0,1.0,1.0,0.0,3.0,11.0,0.273,0.0,4.0,0.0,1.0,2.0,0.5,3.8,-5.0
2022-11-19,TOR,True,False,W,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-8.0
2022-11-21,CLE,False,False,L,14,8.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,8.6,5.0
2022-11-23,SAC,True,False,W,16,8.0,2.0,1.0,1.0,0.0,0.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,6.6,8.0
2022-11-25,HOU,False,False,L,13,4.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.3,3.0
2022-11-27,MIA,True,False,L,11,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-4.0
2022-12-02,DEN,True,False,W,33,10.0,10.0,4.0,0.0,1.0,0.0,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,12.2,0.0
2022-12-05,OKC,True,False,L,29,7.0,9.0,3.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,6.0,2.0
2022-12-07,NYK,False,False,L,14,6.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.6,-12.0
2022-12-09,BKN,False,False,L,33,2.0,7.0,2.0,0.0,1.0,1.0,1.0,8.0,0.125,0.0,5.0,0.0,0.0,0.0,0.0,-1.2,-8.0
2022-12-11,CHI,True,False,W,15,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.1,-8.0
2022-12-12,MEM,False,True,L,29,14.0,9.0,3.0,1.0,0.0,4.0,4.0,9.0,0.444,2.0,5.0,0.4,4.0,5.0,0.8,11.5,-24.0
2022-12-14,ORL,False,False,L,19,9.0,0.0,1.0,0.0,4.0,1.0,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.0,6.0,-3.0
2022-12-16,CHA,False,False,W,21,4.0,5.0,0.0,0.0,2.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.0
2022-12-19,ORL,True,False,W,12,0.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0
2022-12-21,CHI,True,False,L,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-9.0
2022-12-23,DET,True,False,W,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0
2022-12-27,IND,False,False,L,21,8.0,8.0,5.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,6.0,8.0,0.75,11.6,2.0
2022-12-28,BKN,True,True,L,25,14.0,6.0,0.0,0.0,1.0,1.0,6.0,12.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,9.1,-10.0
2022-12-30,LAL,True,False,L,24,15.0,7.0,0.0,2.0,1.0,0.0,5.0,9.0,0.556,1.0,4.0,0.25,4.0,6.0,0.667,16.3,-11.0
2023-01-02,GSW,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,SAC,False,False,W,4,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.0
2023-01-06,LAL,False,False,L,5,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.2,1.0
2023-01-08,LAC,False,False,W,15,13.0,4.0,0.0,2.0,1.0,1.0,5.0,6.0,0.833,2.0,3.0,0.667,1.0,2.0,0.5,12.9,-1.0
2023-01-11,MIL,True,False,L,15,12.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,5.0,5.0,1.0,10.9,3.0
2023-01-13,IND,False,False,W,14,7.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,6.8,-9.0
2023-01-14,TOR,False,True,W,19,9.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,7.9,-4.0
