date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,SAS,False,False,L,30,10.0,1.0,1.0,1.0,0.0,3.0,3.0,14.0,0.214,1.0,6.0,0.167,3.0,3.0,1.0,-0.8,-13.0
2021-10-22,NYK,True,False,L,32,14.0,7.0,8.0,2.0,0.0,2.0,4.0,17.0,0.235,0.0,6.0,0.0,6.0,6.0,1.0,12.2,-4.0
2021-10-24,NYK,False,False,W,24,11.0,1.0,3.0,1.0,0.0,4.0,3.0,9.0,0.333,1.0,3.0,0.333,4.0,5.0,0.8,3.7,7.0
2021-10-25,MIA,False,True,L,28,15.0,4.0,2.0,1.0,0.0,5.0,5.0,12.0,0.417,4.0,8.0,0.5,1.0,2.0,0.5,4.8,-11.0
2021-10-27,CHA,True,False,L,36,8.0,5.0,4.0,1.0,0.0,4.0,3.0,11.0,0.273,0.0,5.0,0.0,2.0,4.0,0.5,0.8,4.0
2021-10-29,TOR,False,False,L,30,21.0,2.0,4.0,0.0,1.0,3.0,6.0,14.0,0.429,4.0,8.0,0.5,5.0,5.0,1.0,12.7,7.0
2021-10-30,DET,False,True,L,26,10.0,5.0,6.0,2.0,1.0,2.0,3.0,13.0,0.231,0.0,4.0,0.0,4.0,4.0,1.0,8.9,2.0
2021-11-01,MIN,False,False,W,32,15.0,4.0,1.0,0.0,1.0,5.0,5.0,14.0,0.357,1.0,6.0,0.167,4.0,4.0,1.0,3.6,4.0
2021-11-03,BOS,True,False,L,25,10.0,3.0,2.0,1.0,0.0,2.0,4.0,14.0,0.286,1.0,5.0,0.2,1.0,3.0,0.333,2.3,-10.0
2021-11-05,SAS,True,False,L,28,12.0,1.0,3.0,0.0,2.0,5.0,4.0,11.0,0.364,1.0,6.0,0.167,3.0,3.0,1.0,3.5,4.0
2021-11-07,UTA,True,False,W,25,6.0,2.0,5.0,0.0,0.0,4.0,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,-2.0
2021-11-10,BKN,True,False,L,25,7.0,5.0,4.0,0.0,0.0,3.0,2.0,8.0,0.25,0.0,4.0,0.0,3.0,4.0,0.75,2.3,-10.0
2021-11-13,WAS,True,False,L,24,8.0,3.0,2.0,1.0,0.0,3.0,4.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.7,-7.0
2021-11-17,NYK,False,False,W,26,13.0,1.0,4.0,3.0,1.0,2.0,5.0,12.0,0.417,3.0,4.0,0.75,0.0,0.0,0.0,10.6,1.0
2021-11-19,BKN,False,False,L,32,21.0,4.0,3.0,2.0,1.0,2.0,8.0,18.0,0.444,4.0,9.0,0.444,1.0,2.0,0.5,14.8,-4.0
2021-11-20,MIL,False,True,L,25,14.0,6.0,4.0,1.0,0.0,3.0,4.0,15.0,0.267,2.0,7.0,0.286,4.0,5.0,0.8,6.5,-23.0
