date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-11-12,CHA,True,False,W,2,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.7,0.0
2022-11-16,TOR,False,False,L,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.2,-8.0
2022-11-18,WAS,False,False,L,18,4.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,4.0,0.5,4.7,-5.0
2022-11-20,CLE,False,False,L,12,8.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
2022-11-21,MIN,False,True,L,25,10.0,2.0,1.0,1.0,0.0,0.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2022-11-23,WAS,True,False,W,18,6.0,6.0,2.0,2.0,0.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,7.2,8.0
2022-11-25,WAS,True,False,W,12,4.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-10.0
2022-11-27,ATL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2022-12-20,CHI,True,False,L,8,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.2,-2.0
2022-12-31,UTA,False,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-5.0
2023-01-10,OKC,True,False,W,33,12.0,5.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,5.0,5.0,1.0,11.2,0.0
2023-01-12,MIL,True,False,W,21,6.0,4.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,4.9,1.0
2023-01-14,MIL,True,False,W,22,6.0,7.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,6.7,16.0
2023-02-24,MIL,False,False,L,5,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2023-03-11,ORL,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,PHI,False,False,W,5,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-1.0
2023-04-07,WAS,False,True,L,31,12.0,7.0,1.0,1.0,1.0,0.0,4.0,8.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,12.1,18.0
