date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-02-10,HOU,True,False,W,14,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,2.0
2023-02-11,ORL,False,True,W,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-8.0
2023-02-13,DEN,True,False,L,28,10.0,2.0,3.0,3.0,1.0,1.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,11.8,-10.0
2023-02-15,BKN,False,False,L,13,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.4,-5.0
2023-03-12,PHI,False,False,L,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,4.0
2023-11-12,LAL,False,False,L,12,6.0,4.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.7,-3.0
2023-11-14,UTA,False,False,L,17,0.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-8.0,-17.0
2023-11-15,CLE,True,True,L,9,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-1.6,1.0
2023-11-17,LAL,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-19,OKC,True,False,L,16,2.0,2.0,5.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.1,-6.0
2023-11-21,PHX,False,False,L,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0
2024-04-09,MEM,False,False,W,3,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-1.0
2024-04-10,OKC,False,True,L,12,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-4.0
2024-04-14,DET,True,False,W,22,5.0,8.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,4.2,12.0
2025-03-05,DAL,True,False,W,5,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-1.0
2025-03-30,ATL,True,False,L,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0
2025-04-03,PHI,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-04-10,NOP,True,False,W,6,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,2.0
2025-04-13,DET,True,False,W,47,15.0,3.0,7.0,2.0,2.0,5.0,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,13.0,5.0
2025-11-18,POR,False,False,W,3,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.4,-3.0
2025-11-24,HOU,True,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.6,-2.0
2025-11-26,SAC,False,False,W,19,11.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,8.7,-6.0
2025-11-28,OKC,False,False,L,14,9.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,6.6,2.0
2025-11-29,DEN,True,True,L,15,3.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,4.6,7.0
2025-12-01,LAL,False,False,W,23,7.0,1.0,5.0,3.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.1,19.0
2025-12-05,HOU,False,False,L,18,18.0,2.0,1.0,1.0,0.0,0.0,7.0,11.0,0.636,2.0,3.0,0.667,2.0,2.0,1.0,15.4,-3.0
2025-12-08,MIN,False,False,W,12,5.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,11.0
2025-12-10,OKC,False,False,L,28,14.0,2.0,6.0,1.0,1.0,2.0,6.0,9.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,14.6,-8.0
2025-12-14,LAL,True,False,L,6,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-2.0
2025-12-18,GSW,True,False,W,14,4.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,5.2,2.0
2025-12-20,GSW,False,False,L,16,5.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,6.1,-2.0
2025-12-23,LAL,True,False,W,24,14.0,4.0,2.0,0.0,1.0,1.0,7.0,10.0,0.7,0.0,3.0,0.0,0.0,0.0,0.0,12.1,4.0
2025-12-26,NOP,False,False,W,12,3.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,2.0,0.5,0.8,-4.0
2025-12-27,NOP,False,True,W,12,12.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,0.833,2.0,2.0,1.0,0.0,0.0,0.0,10.7,6.0
2025-12-29,WAS,False,False,W,13,2.0,1.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,-1.8,-8.0
2025-12-31,CLE,False,False,L,15,18.0,3.0,4.0,0.0,0.0,0.0,7.0,12.0,0.583,2.0,3.0,0.667,2.0,2.0,1.0,16.9,-4.0
2026-01-02,SAC,True,False,W,23,12.0,6.0,1.0,4.0,0.0,0.0,6.0,9.0,0.667,0.0,2.0,0.0,0.0,1.0,0.0,13.8,20.0
2026-01-04,OKC,True,False,W,9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,-8.0
2026-01-25,MIA,True,False,L,13,5.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,-0.6,-12.0
2026-01-27,BKN,True,False,W,24,10.0,3.0,1.0,1.0,1.0,2.0,5.0,11.0,0.455,0.0,2.0,0.0,0.0,0.0,0.0,4.8,9.0
2026-01-29,DET,True,False,W,20,6.0,2.0,1.0,2.0,0.0,1.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,3.9,15.0
