date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-28,PHI,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2025-11-07,CLE,True,False,L,20,6.0,6.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,4.7,-7.0
2025-11-08,DAL,True,True,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2025-11-21,TOR,False,False,L,9,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,2.5,-2.0
2025-11-25,ATL,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-5.0
2025-12-04,BOS,True,False,L,18,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-30.0
2025-12-06,ATL,True,False,L,16,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.7,1.0
2025-12-12,CLE,True,False,L,29,15.0,8.0,1.0,0.0,2.0,2.0,6.0,7.0,0.857,3.0,4.0,0.75,0.0,0.0,0.0,14.2,-6.0
2025-12-14,IND,False,False,W,14,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-5.0
2025-12-18,SAS,False,False,L,8,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.9,-1.0
2025-12-21,SAS,True,False,L,22,4.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,6.7,6.0
2025-12-26,TOR,True,False,W,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0
2025-12-28,MEM,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2025-12-29,PHX,True,True,L,17,3.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,-0.8,-3.0
2026-01-16,SAC,False,False,L,26,6.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,4.0,0.5,1.9,0.0
2026-01-17,DEN,False,True,L,21,3.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.8,3.0
2026-01-19,LAC,True,False,L,19,1.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.5,-12.0
2026-01-22,DEN,True,False,L,18,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,4.1,2.0
2026-01-24,CHA,False,False,L,29,11.0,6.0,3.0,5.0,2.0,0.0,4.0,9.0,0.444,1.0,5.0,0.2,2.0,2.0,1.0,15.4,12.0
2026-01-27,POR,True,False,W,12,2.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.1,-16.0
2026-01-29,MIL,True,False,W,21,4.0,9.0,0.0,1.0,1.0,1.0,1.0,7.0,0.143,0.0,3.0,0.0,2.0,2.0,1.0,2.5,7.0
2026-01-30,LAL,True,True,L,35,8.0,6.0,2.0,1.0,1.0,2.0,3.0,11.0,0.273,2.0,8.0,0.25,0.0,0.0,0.0,4.4,-15.0
2026-02-01,SAC,True,False,W,16,8.0,6.0,0.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,6.7,2.0
2026-02-05,DET,False,False,W,26,6.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,5.5,8.0
2026-02-07,BKN,False,False,L,45,13.0,1.0,1.0,1.0,2.0,1.0,4.0,12.0,0.333,1.0,6.0,0.167,4.0,4.0,1.0,6.6,-12.0
2026-02-08,MIA,True,True,L,33,12.0,7.0,2.0,1.0,2.0,0.0,5.0,10.0,0.5,1.0,4.0,0.25,1.0,3.0,0.333,12.9,-33.0
2026-02-11,CLE,False,False,L,29,16.0,3.0,2.0,0.0,0.0,1.0,7.0,16.0,0.438,2.0,8.0,0.25,0.0,2.0,0.0,6.9,-22.0
2026-02-20,IND,True,False,W,23,11.0,4.0,2.0,2.0,0.0,0.0,5.0,11.0,0.455,1.0,5.0,0.2,0.0,0.0,0.0,8.7,12.0
2026-02-22,CHA,True,False,L,16,13.0,4.0,1.0,0.0,1.0,0.0,5.0,10.0,0.5,3.0,7.0,0.429,0.0,1.0,0.0,10.2,13.0
2026-02-24,ATL,False,False,L,27,14.0,2.0,1.0,2.0,0.0,1.0,6.0,8.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,11.1,9.0
2026-02-28,TOR,True,False,L,21,10.0,2.0,0.0,0.0,1.0,0.0,4.0,5.0,0.8,2.0,3.0,0.667,0.0,1.0,0.0,8.6,0.0
2026-03-02,HOU,True,False,L,18,7.0,3.0,4.0,1.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,8.9,4.0
2026-03-12,ORL,False,False,L,16,7.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,4.0,0.25,2.0,3.0,0.667,4.5,-1.0
2026-03-14,BOS,False,False,L,24,15.0,6.0,2.0,2.0,0.0,1.0,6.0,11.0,0.545,2.0,6.0,0.333,1.0,4.0,0.25,12.7,12.0
2026-03-16,GSW,True,False,L,16,6.0,3.0,2.0,3.0,0.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-11.0
2026-03-17,DET,True,True,L,18,3.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,4.3,-1.0
2026-03-19,DET,True,False,L,27,9.0,6.0,3.0,3.0,4.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,3.0,0.667,13.9,-14.0
2026-03-21,OKC,True,False,L,26,13.0,5.0,3.0,2.0,0.0,0.0,4.0,9.0,0.444,2.0,5.0,0.4,3.0,4.0,0.75,11.9,-5.0
2026-03-22,NYK,False,True,L,31,5.0,6.0,2.0,3.0,0.0,0.0,2.0,10.0,0.2,1.0,7.0,0.143,0.0,0.0,0.0,4.6,-20.0
2026-03-25,UTA,False,False,W,29,8.0,6.0,2.0,3.0,0.0,3.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,6.7,9.0
2026-03-27,GSW,False,False,L,6,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.6,1.0
2026-03-29,POR,False,False,L,17,8.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,4.0,4.0,1.0,4.3,-1.0
2026-03-30,LAL,False,True,L,27,8.0,5.0,5.0,2.0,0.0,1.0,4.0,11.0,0.364,0.0,4.0,0.0,0.0,0.0,0.0,6.7,-14.0
2026-04-01,PHI,True,False,L,19,7.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,8.3,2.0
2026-04-04,MIA,False,False,L,19,14.0,3.0,1.0,1.0,1.0,0.0,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,11.7,13.0
2026-04-05,BKN,False,True,L,44,20.0,8.0,2.0,0.0,2.0,4.0,7.0,11.0,0.636,2.0,5.0,0.4,4.0,6.0,0.667,13.9,-5.0
2026-04-07,CHI,True,False,L,22,13.0,7.0,1.0,0.0,0.0,2.0,4.0,10.0,0.4,1.0,7.0,0.143,4.0,4.0,1.0,8.4,-4.0
2026-04-09,CHI,True,False,L,28,9.0,6.0,3.0,3.0,0.0,2.0,3.0,12.0,0.25,1.0,7.0,0.143,2.0,3.0,0.667,6.3,-2.0
2026-04-10,MIA,True,True,L,31,7.0,5.0,1.0,2.0,0.0,1.0,2.0,9.0,0.222,1.0,4.0,0.25,2.0,4.0,0.5,3.5,-25.0
2026-04-12,CLE,False,False,L,34,24.0,4.0,3.0,0.0,1.0,1.0,7.0,13.0,0.538,5.0,9.0,0.556,5.0,6.0,0.833,19.9,-10.0
