date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,CLE,True,False,L,16,6.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,5.6,0.0
2024-10-25,PHI,True,False,W,15,12.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,0.8,2.0,3.0,0.667,2.0,4.0,0.5,9.9,4.0
2024-10-26,MIN,False,True,L,19,9.0,6.0,1.0,0.0,0.0,0.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,7.9,4.0
2024-10-28,DEN,True,False,L,12,4.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,2.5,3.0
2024-10-30,CHA,False,False,L,14,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.3,-19.0
2024-11-02,SAC,True,False,W,15,9.0,1.0,3.0,0.0,0.0,0.0,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,8.8,6.0
2024-11-04,DEN,False,False,L,12,5.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,2.2,-6.0
2024-11-06,SAC,False,False,L,16,6.0,2.0,2.0,0.0,0.0,2.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,0.3,0.0
2024-11-09,LAC,False,False,L,14,3.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.4,-3.0
2024-11-10,LAL,False,True,L,13,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3,-1.0
2024-11-12,MIL,False,False,L,12,4.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
2024-11-15,DET,True,False,L,14,9.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,7.7,-27.0
2024-11-16,BOS,False,True,L,11,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.4,-2.0
2024-11-18,IND,True,False,W,11,9.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,6.6,-4.0
2024-11-21,MIN,True,False,W,7,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,13.0
2024-11-24,CLE,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2024-11-25,DET,False,True,L,22,9.0,4.0,1.0,1.0,1.0,0.0,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.0,7.5,20.0
2024-11-27,NOP,False,False,W,22,24.0,1.0,3.0,1.0,1.0,0.0,9.0,11.0,0.818,6.0,8.0,0.75,0.0,0.0,0.0,24.0,-1.0
