date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,WAS,True,False,W,6,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.3,3.0
2023-11-01,BOS,False,False,L,12,8.0,2.0,3.0,0.0,1.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,8.4,-13.0
2023-11-06,SAS,True,False,W,9,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,6.0
2023-11-19,ORL,True,False,L,14,7.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,0.5,0.0,3.0,0.0,1.0,1.0,1.0,4.9,15.0
2023-11-30,MIA,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,MIL,False,False,L,6,3.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.8,2.0
2023-12-15,WAS,False,False,L,13,5.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.2,8.0
2023-12-16,MIN,False,True,L,24,5.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,6.6,-4.0
2023-12-30,NYK,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2024-01-03,MIL,True,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.6,-5.0
2024-01-05,ATL,True,False,W,12,8.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,5.0,0.0
2024-01-06,BOS,True,True,L,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2024-01-15,UTA,False,False,L,26,8.0,4.0,4.0,4.0,2.0,1.0,3.0,11.0,0.273,2.0,5.0,0.4,0.0,0.0,0.0,9.9,-17.0
2024-01-18,SAC,False,False,W,20,15.0,2.0,2.0,0.0,0.0,2.0,6.0,13.0,0.462,3.0,8.0,0.375,0.0,0.0,0.0,8.3,-1.0
2024-01-21,PHX,False,False,L,18,10.0,9.0,1.0,1.0,0.0,1.0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,12.0,3.0
