date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,MIL,True,False,L,4,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,3.7,3.0
2024-10-25,TOR,False,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0
2024-10-27,IND,False,False,W,17,4.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.6,-16.0
2024-10-30,DET,True,False,L,22,12.0,3.0,3.0,0.0,0.0,1.0,3.0,9.0,0.333,0.0,1.0,0.0,6.0,6.0,1.0,9.3,2.0
2024-11-02,MEM,True,False,L,17,19.0,4.0,1.0,1.0,0.0,1.0,8.0,16.0,0.5,2.0,6.0,0.333,1.0,1.0,1.0,12.9,1.0
2024-11-04,PHX,False,False,L,3,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-3.0
2024-11-06,LAC,False,False,L,12,5.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.3,4.0
2024-11-08,LAL,False,False,L,31,18.0,1.0,2.0,1.0,0.0,2.0,6.0,17.0,0.353,4.0,9.0,0.444,2.0,2.0,1.0,8.8,0.0
2024-11-10,CHA,True,False,W,31,27.0,3.0,2.0,0.0,0.0,1.0,10.0,18.0,0.556,3.0,8.0,0.375,4.0,4.0,1.0,18.5,-9.0
2024-11-12,NYK,True,False,L,30,23.0,3.0,2.0,0.0,0.0,2.0,7.0,16.0,0.438,4.0,10.0,0.4,5.0,5.0,1.0,14.9,3.0
2024-11-13,CLE,True,True,L,38,34.0,2.0,10.0,2.0,0.0,3.0,12.0,26.0,0.462,6.0,13.0,0.462,4.0,4.0,1.0,26.8,-11.0
2024-11-15,ORL,False,False,L,31,29.0,1.0,4.0,0.0,0.0,0.0,10.0,17.0,0.588,5.0,10.0,0.5,4.0,4.0,1.0,22.2,13.0
2024-11-18,MIA,False,False,L,37,20.0,4.0,4.0,2.0,0.0,2.0,8.0,16.0,0.5,4.0,9.0,0.444,0.0,0.0,0.0,14.8,-18.0
2024-11-20,MEM,False,False,L,41,20.0,2.0,5.0,0.0,0.0,3.0,6.0,13.0,0.462,3.0,7.0,0.429,5.0,5.0,1.0,14.4,5.0
2024-11-22,BKN,True,False,W,39,30.0,5.0,3.0,2.0,0.0,3.0,11.0,20.0,0.55,6.0,11.0,0.545,2.0,3.0,0.667,22.2,8.0
2024-11-24,LAC,True,False,L,28,18.0,0.0,4.0,0.0,0.0,1.0,3.0,15.0,0.2,2.0,11.0,0.182,10.0,12.0,0.833,9.7,-8.0
2024-11-27,HOU,True,False,L,41,15.0,6.0,1.0,1.0,0.0,3.0,6.0,19.0,0.316,0.0,7.0,0.0,3.0,4.0,0.75,4.2,-10.0
2024-11-30,DET,False,False,W,29,7.0,4.0,0.0,0.0,0.0,2.0,3.0,7.0,0.429,0.0,3.0,0.0,1.0,2.0,0.5,1.3,-7.0
