date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-25,CHI,True,False,L,8,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,-0.5,-5.0
2025-10-27,PHI,False,False,L,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2025-10-29,DET,False,False,L,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-1.0
2025-10-30,CHA,False,True,W,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-2.0
2025-11-01,WAS,False,False,W,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,9.0
2025-11-04,ATL,False,False,L,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2025-11-12,NYK,False,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2025-11-20,LAC,True,False,W,5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.7,10.0
2025-11-22,NYK,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-3.0
2025-11-23,BOS,False,True,L,21,18.0,5.0,2.0,0.0,0.0,0.0,7.0,11.0,0.636,3.0,4.0,0.75,1.0,1.0,1.0,16.0,8.0
2025-11-25,PHI,False,False,W,10,7.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,4.6,3.0
2025-12-03,SAS,True,False,L,16,8.0,5.0,2.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,9.6,9.0
2025-12-05,MIA,True,False,W,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
2025-12-07,NYK,False,False,L,6,8.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,6.3,6.0
2025-12-13,NYK,True,False,L,8,9.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,2.0,0.5,9.1,-2.0
2025-12-18,DEN,False,False,L,19,9.0,1.0,2.0,1.0,0.0,2.0,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,4.2,1.0
2025-12-20,UTA,False,False,W,23,10.0,1.0,3.0,0.0,0.0,1.0,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,4.4,8.0
