date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,NOP,True,False,W,19,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,6.0
2025-10-24,MIA,True,False,L,22,9.0,2.0,8.0,0.0,0.0,3.0,2.0,9.0,0.222,2.0,6.0,0.333,3.0,4.0,0.75,5.5,-6.0
2025-10-25,IND,True,True,W,21,16.0,2.0,6.0,0.0,0.0,0.0,5.0,6.0,0.833,3.0,4.0,0.75,3.0,4.0,0.75,17.0,18.0
2025-10-27,GSW,False,False,L,16,4.0,3.0,4.0,0.0,0.0,1.0,1.0,7.0,0.143,0.0,5.0,0.0,2.0,2.0,1.0,2.6,6.0
2025-10-29,PHX,False,False,W,10,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,-0.4,-15.0
2025-11-02,TOR,False,False,L,8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-8.0
2025-11-05,HOU,True,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2025-11-07,DAL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,UTA,False,False,W,12,0.0,2.0,7.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.1,2.0
2025-12-26,MIL,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,3.0
2025-12-30,PHI,True,False,L,9,5.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,6.1,2.0
2026-01-04,LAL,False,False,L,16,7.0,3.0,5.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,3.0,3.0,1.0,9.1,-8.0
2026-01-06,SAS,True,False,W,16,0.0,1.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-4.3,-10.0
2026-01-07,PHX,True,True,L,21,14.0,3.0,7.0,1.0,1.0,5.0,5.0,8.0,0.625,3.0,4.0,0.75,1.0,2.0,0.5,11.3,-9.0
