date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-28,GSW,True,False,L,24,19.0,3.0,1.0,1.0,1.0,0.0,9.0,11.0,0.818,0.0,1.0,0.0,1.0,3.0,0.333,16.6,0.0
2019-10-31,DEN,True,False,W,9,5.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,-4.0
2019-11-02,OKC,False,False,L,14,4.0,5.0,3.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-4.0
2019-11-04,BKN,False,False,L,16,3.0,5.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1.9,12.0
2019-11-08,TOR,True,False,L,15,4.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0
2019-11-09,CHA,False,True,W,18,9.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,8.6,-2.0
2019-11-11,HOU,True,False,L,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.0
2019-11-14,LAC,True,False,W,13,9.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,7.4,-8.0
2019-11-16,MIA,False,False,L,24,12.0,3.0,0.0,1.0,2.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,4.0
2019-11-17,GSW,True,True,W,32,10.0,10.0,0.0,1.0,3.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,4.0,6.0,0.667,11.0,12.0
2019-11-19,POR,True,False,W,21,9.0,7.0,0.0,2.0,3.0,0.0,3.0,8.0,0.375,0.0,0.0,0.0,3.0,4.0,0.75,11.2,10.0
2019-11-21,PHX,False,False,W,21,7.0,4.0,0.0,1.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,6.0,21.0
2019-11-23,UTA,False,False,L,30,13.0,5.0,1.0,0.0,1.0,2.0,5.0,9.0,0.556,0.0,0.0,0.0,3.0,3.0,1.0,8.4,-6.0
2019-11-24,LAC,False,True,L,29,7.0,3.0,3.0,0.0,0.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,0.25,3.9,1.0
2019-11-27,LAL,True,False,L,21,7.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,4.4,5.0
2019-11-29,OKC,False,False,L,21,11.0,7.0,0.0,2.0,0.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,1.0,2.0,0.5,11.4,-17.0
2019-12-01,OKC,True,False,L,26,9.0,7.0,1.0,1.0,2.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,10.8,12.0
2019-12-03,DAL,True,False,L,26,9.0,8.0,0.0,0.0,0.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,1.0,2.0,0.5,7.3,-11.0
2019-12-05,PHX,True,False,L,33,17.0,5.0,1.0,0.0,5.0,1.0,6.0,8.0,0.75,0.0,0.0,0.0,5.0,7.0,0.714,17.3,5.0
2019-12-07,DAL,False,False,L,25,11.0,5.0,0.0,1.0,0.0,0.0,3.0,7.0,0.429,0.0,0.0,0.0,5.0,6.0,0.833,9.4,-26.0
2019-12-09,DET,True,False,L,21,13.0,3.0,1.0,2.0,0.0,0.0,4.0,7.0,0.571,0.0,1.0,0.0,5.0,8.0,0.625,10.9,-6.0
2019-12-11,MIL,False,False,L,24,12.0,5.0,1.0,2.0,2.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,4.0,5.0,0.8,13.9,-4.0
2019-12-13,PHI,False,False,L,18,7.0,5.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,4.0,0.25,5.6,6.0
2019-12-15,ORL,True,False,L,29,10.0,7.0,3.0,0.0,1.0,2.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,10.6,7.0
2019-12-17,BKN,True,False,L,29,13.0,7.0,1.0,0.0,2.0,0.0,4.0,5.0,0.8,1.0,1.0,1.0,4.0,7.0,0.571,12.9,4.0
2019-12-18,MIN,False,True,W,14,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.7,-6.0
2019-12-20,GSW,False,False,L,20,5.0,6.0,3.0,0.0,2.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,6.3,2.0
2019-12-23,POR,False,False,W,17,4.0,4.0,1.0,0.0,4.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.7,11.0
2019-12-25,DEN,False,False,W,7,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.0
2019-12-28,IND,True,False,W,21,2.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.0
2019-12-29,HOU,True,True,W,3,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.3,6.0
2020-01-03,LAL,False,False,L,14,6.0,3.0,3.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,6.7,-18.0
2020-01-04,SAC,False,True,W,13,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.6,-12.0
2020-01-06,UTA,True,False,L,19,7.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,9.0,0.0
2020-01-08,CHI,True,False,W,24,14.0,12.0,0.0,0.0,4.0,0.0,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,16.2,6.0
2020-01-10,NYK,False,False,W,29,18.0,10.0,1.0,1.0,2.0,1.0,7.0,8.0,0.875,0.0,0.0,0.0,4.0,9.0,0.444,18.3,23.0
2020-01-11,BOS,False,True,L,26,20.0,2.0,1.0,0.0,2.0,1.0,9.0,13.0,0.692,0.0,0.0,0.0,2.0,5.0,0.4,15.0,-27.0
2020-01-13,DET,False,False,W,19,8.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,6.0,0.667,6.9,-8.0
2020-01-16,UTA,True,False,W,13,9.0,5.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,8.3,2.0
2020-01-18,LAC,True,False,L,16,14.0,5.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,8.0,12.0,0.667,15.1,8.0
2020-01-20,MEM,False,False,W,19,5.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,5.3,3.0
2020-01-22,SAS,True,False,L,16,9.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,3.0,1.0,7.9,-10.0
2020-01-24,DEN,True,False,L,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,-0.6,-14.0
2020-01-26,BOS,True,False,W,11,6.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,2.4,3.0
