date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-11-06,POR,False,False,L,8,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0
2021-12-17,MIN,False,False,L,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0
2021-12-21,PHX,True,False,L,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,2.0
2021-12-23,SAS,True,False,L,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2023-03-14,DET,True,False,W,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,-3.0
2023-03-18,SAC,True,False,L,6,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,5.6,8.0
2023-03-22,DEN,True,False,L,4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.3,6.0
2023-04-02,NYK,False,False,L,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,9.0
2023-04-04,MIL,True,False,L,27,17.0,9.0,2.0,2.0,0.0,0.0,5.0,10.0,0.5,3.0,6.0,0.5,4.0,5.0,0.8,16.5,7.0
2023-04-05,ATL,False,True,L,30,14.0,4.0,3.0,1.0,3.0,1.0,5.0,6.0,0.833,2.0,3.0,0.667,2.0,2.0,1.0,16.4,-16.0
2023-04-07,MIA,True,False,W,23,13.0,4.0,2.0,0.0,1.0,2.0,4.0,7.0,0.571,1.0,2.0,0.5,4.0,4.0,1.0,9.8,-18.0
2023-11-26,SAS,True,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-4.0
2023-11-27,LAC,False,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,DET,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2024-01-10,UTA,False,False,L,6,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.3,12.0
2024-01-12,NOP,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-6.0
2024-01-25,NYK,False,False,L,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.2,-3.0
2024-02-02,POR,True,False,W,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2024-02-09,SAC,False,False,L,4,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.3,-1.0
2024-02-22,WAS,True,False,W,4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.8,-4.0
2024-02-23,POR,False,True,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2024-02-25,GSW,False,False,W,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0
