date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,BKN,True,False,W,19,9.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,9.3,0.0
2016-10-27,CHI,False,True,L,20,8.0,1.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,3.5,-6.0
2016-10-29,CHA,False,False,W,13,7.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,4.3,-8.0
2016-11-02,CHI,True,False,W,8,3.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.7,0.0
2016-11-03,CLE,False,True,L,35,19.0,5.0,2.0,3.0,1.0,1.0,8.0,16.0,0.5,3.0,6.0,0.5,0.0,1.0,0.0,15.8,15.0
2016-11-06,DEN,True,False,L,21,4.0,3.0,4.0,0.0,1.0,1.0,1.0,7.0,0.143,0.0,3.0,0.0,2.0,2.0,1.0,2.5,-6.0
2016-11-09,WAS,False,False,L,13,3.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.8,-13.0
2016-11-11,NYK,True,False,W,17,10.0,4.0,0.0,0.0,1.0,0.0,3.0,9.0,0.333,1.0,3.0,0.333,3.0,8.0,0.375,4.0,9.0
2016-11-12,IND,False,True,W,7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-1.0
2016-11-14,NOP,False,False,L,17,8.0,4.0,1.0,2.0,0.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,9.8,-2.0
2016-11-16,DAL,True,False,W,12,4.0,3.0,0.0,1.0,0.0,3.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-2.0
2016-11-18,GSW,True,False,L,23,11.0,1.0,0.0,0.0,1.0,0.0,4.0,9.0,0.444,2.0,6.0,0.333,1.0,2.0,0.5,5.7,8.0
2016-11-19,DET,False,True,W,8,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,3.0,-5.0
2016-11-21,MIN,False,False,W,13,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.2,15.0
2016-11-23,BKN,False,False,W,4,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-2.0
2016-11-25,SAS,True,False,L,6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.1,-5.0
2016-11-28,MIA,False,False,W,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-4.0
2016-11-30,DET,True,False,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2016-12-02,SAC,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-10.0
2016-12-03,PHI,False,True,W,15,4.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.0,2.0
2016-12-05,HOU,False,False,L,19,7.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.5,4.0
2016-12-07,ORL,False,False,W,22,13.0,2.0,1.0,0.0,0.0,3.0,5.0,8.0,0.625,1.0,3.0,0.333,2.0,3.0,0.667,6.5,7.0
2016-12-09,TOR,True,False,L,22,7.0,3.0,0.0,0.0,1.0,0.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.2,6.0
2016-12-11,OKC,False,False,L,18,10.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0
2016-12-14,SAS,False,False,L,11,7.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,5.6,-11.0
2016-12-16,CHA,True,False,W,9,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,-1.0
2016-12-18,MIA,False,False,W,8,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2016-12-20,MEM,False,False,W,11,2.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,-4.0
2016-12-22,IND,False,False,W,18,4.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.0
2016-12-23,OKC,True,True,L,13,5.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,3.9,5.0
2016-12-25,NYK,False,False,W,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-2.0
2016-12-27,MEM,True,False,W,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2016-12-29,CLE,False,False,L,12,6.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0
2016-12-30,MIA,True,True,W,16,6.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,4.7,-8.0
2017-01-03,UTA,True,False,W,13,10.0,3.0,1.0,0.0,1.0,2.0,4.0,6.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,7.3,-10.0
2017-01-06,PHI,True,False,W,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
2017-01-07,NOP,True,True,W,14,0.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,12.0
2017-01-10,TOR,False,False,L,8,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-6.0
