date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-17,CLE,False,False,L,37,14.0,10.0,3.0,0.0,0.0,1.0,5.0,12.0,0.417,1.0,2.0,0.5,3.0,3.0,1.0,11.7,5.0
2017-10-18,MIL,True,True,L,37,8.0,9.0,2.0,1.0,0.0,2.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,5.0,0.4,5.8,-15.0
2017-10-20,PHI,False,False,W,33,15.0,8.0,0.0,0.0,3.0,3.0,3.0,8.0,0.375,0.0,2.0,0.0,9.0,9.0,1.0,11.7,-4.0
2017-10-24,NYK,True,False,W,31,22.0,4.0,2.0,4.0,2.0,3.0,9.0,15.0,0.6,4.0,6.0,0.667,0.0,0.0,0.0,18.9,10.0
2017-10-26,MIL,False,False,W,28,12.0,2.0,3.0,1.0,0.0,2.0,3.0,6.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,10.3,8.0
2017-10-28,MIA,False,False,W,31,20.0,5.0,0.0,0.0,0.0,0.0,6.0,9.0,0.667,2.0,2.0,1.0,6.0,7.0,0.857,17.6,2.0
2017-10-30,SAS,True,False,W,35,7.0,11.0,2.0,0.0,3.0,2.0,2.0,7.0,0.286,2.0,4.0,0.5,1.0,2.0,0.5,6.1,10.0
2017-11-01,SAC,True,False,W,26,12.0,4.0,2.0,0.0,0.0,2.0,4.0,7.0,0.571,1.0,2.0,0.5,3.0,4.0,0.75,8.9,23.0
2017-11-03,OKC,False,False,W,30,13.0,6.0,3.0,0.0,0.0,4.0,4.0,10.0,0.4,2.0,3.0,0.667,3.0,4.0,0.75,7.5,4.0
2017-11-05,ORL,False,False,W,27,13.0,4.0,3.0,1.0,0.0,0.0,5.0,8.0,0.625,2.0,4.0,0.5,1.0,2.0,0.5,11.7,6.0
2017-11-06,ATL,False,True,W,32,21.0,8.0,1.0,1.0,2.0,0.0,7.0,13.0,0.538,3.0,5.0,0.6,4.0,4.0,1.0,19.8,15.0
2017-11-08,LAL,True,False,W,9,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,5.3,-1.0
2017-11-10,CHA,True,False,W,31,16.0,2.0,1.0,0.0,0.0,2.0,6.0,12.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,7.3,5.0
2017-11-12,TOR,True,False,W,33,13.0,7.0,0.0,0.0,0.0,2.0,6.0,15.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,4.2,2.0
2017-11-14,BKN,False,False,W,30,19.0,4.0,0.0,3.0,1.0,1.0,6.0,9.0,0.667,2.0,3.0,0.667,5.0,6.0,0.833,18.6,5.0
2017-11-16,GSW,True,False,W,27,12.0,4.0,0.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,8.0,9.0,0.889,9.3,-18.0
2017-11-18,ATL,False,False,W,29,14.0,7.0,0.0,4.0,2.0,1.0,5.0,11.0,0.455,1.0,3.0,0.333,3.0,3.0,1.0,13.6,-4.0
2017-11-20,DAL,False,False,W,38,15.0,9.0,1.0,1.0,1.0,1.0,6.0,11.0,0.545,0.0,2.0,0.0,3.0,4.0,0.75,12.2,15.0
2017-11-22,MIA,False,False,L,34,18.0,7.0,4.0,1.0,1.0,1.0,5.0,11.0,0.455,3.0,4.0,0.75,5.0,5.0,1.0,17.9,4.0
2017-11-24,ORL,True,False,W,22,11.0,2.0,0.0,1.0,2.0,0.0,4.0,7.0,0.571,3.0,4.0,0.75,0.0,0.0,0.0,10.7,13.0
2017-11-25,IND,False,True,W,38,11.0,2.0,0.0,0.0,0.0,1.0,4.0,10.0,0.4,1.0,5.0,0.2,2.0,3.0,0.667,3.6,14.0
2017-11-27,DET,True,False,L,35,10.0,3.0,4.0,0.0,1.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,2.0,2.0,1.0,8.1,-13.0
2017-11-30,PHI,True,False,W,28,15.0,2.0,2.0,2.0,0.0,0.0,6.0,11.0,0.545,2.0,3.0,0.667,1.0,3.0,0.333,12.5,7.0
2017-12-02,PHX,True,False,W,27,15.0,6.0,2.0,2.0,2.0,1.0,6.0,8.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,17.0,8.0
2017-12-04,MIL,True,False,W,33,17.0,6.0,0.0,0.0,0.0,1.0,5.0,6.0,0.833,4.0,5.0,0.8,3.0,4.0,0.75,14.8,8.0
2017-12-06,DAL,True,False,W,33,17.0,10.0,0.0,1.0,0.0,0.0,5.0,11.0,0.455,2.0,3.0,0.667,5.0,6.0,0.833,14.5,16.0
2017-12-08,SAS,False,False,L,36,20.0,8.0,0.0,2.0,0.0,0.0,6.0,11.0,0.545,2.0,4.0,0.5,6.0,6.0,1.0,19.1,-7.0
2017-12-10,DET,False,False,W,30,11.0,4.0,0.0,0.0,1.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,8.2,12.0
2017-12-11,CHI,False,True,L,29,4.0,10.0,1.0,1.0,1.0,0.0,1.0,7.0,0.143,0.0,4.0,0.0,2.0,4.0,0.5,3.3,-3.0
2017-12-13,DEN,True,False,W,28,15.0,4.0,2.0,0.0,1.0,1.0,6.0,9.0,0.667,1.0,1.0,1.0,2.0,3.0,0.667,12.6,4.0
2017-12-15,UTA,True,False,L,26,7.0,4.0,2.0,0.0,0.0,1.0,1.0,6.0,0.167,1.0,3.0,0.333,4.0,4.0,1.0,3.2,-7.0
2017-12-16,MEM,False,True,W,34,19.0,10.0,1.0,2.0,2.0,0.0,7.0,13.0,0.538,2.0,2.0,1.0,3.0,3.0,1.0,21.8,21.0
