date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2014-11-29,DAL,True,False,L,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2014-12-01,SAS,True,False,L,13,4.0,3.0,0.0,1.0,1.0,0.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,2.0,0.0,2.4,-3.0
2014-12-03,MIN,False,False,W,9,3.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,3.5,10.0
2014-12-05,OKC,True,False,L,12,2.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-4.0
2014-12-06,DET,False,True,W,9,4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,1.2,-9.0
2014-12-10,ATL,False,False,L,16,10.0,3.0,1.0,1.0,1.0,0.0,5.0,7.0,0.714,0.0,1.0,0.0,0.0,2.0,0.0,9.6,3.0
2014-12-12,BKN,False,False,L,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.5,-16.0
2014-12-13,MEM,True,True,L,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.3,4.0
2014-12-15,BOS,True,False,L,11,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-3.0
2014-12-19,CHA,True,False,L,11,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,5.0
2014-12-21,ORL,False,False,W,16,6.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,4.0,4.0,1.0,6.3,16.0
2014-12-23,MIA,False,False,W,26,11.0,7.0,0.0,0.0,3.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,4.0,7.0,0.571,9.9,25.0
2014-12-26,POR,False,False,L,25,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.7,-4.0
2014-12-27,UTA,False,True,L,20,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,6.5,1.0
2014-12-30,GSW,False,False,L,23,7.0,4.0,1.0,0.0,0.0,2.0,2.0,8.0,0.25,2.0,3.0,0.667,1.0,4.0,0.25,0.5,-18.0
2015-01-02,PHX,False,False,L,24,2.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.8,-2.0
2015-01-03,LAC,False,True,L,16,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.5,-17.0
2015-01-05,CLE,True,False,W,19,7.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,-3.0
2015-01-07,MIL,True,False,L,25,7.0,5.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,8.0,0.875,8.1,-7.0
