date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,CHA,True,False,L,27,4.0,7.0,2.0,2.0,0.0,0.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,1.0,0.0,4.3,-2.0
2022-10-21,IND,False,False,W,21,4.0,5.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.4,2.0
2022-10-22,PHI,False,True,W,10,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-0.6,-9.0
2022-10-24,MIN,False,False,W,23,14.0,4.0,1.0,1.0,0.0,1.0,7.0,9.0,0.778,0.0,2.0,0.0,0.0,0.0,0.0,11.2,13.0
2022-10-26,MIN,False,False,L,28,12.0,1.0,2.0,1.0,1.0,1.0,5.0,13.0,0.385,2.0,6.0,0.333,0.0,0.0,0.0,6.5,2.0
2022-10-28,CHI,True,False,W,31,13.0,6.0,5.0,1.0,1.0,3.0,5.0,8.0,0.625,2.0,4.0,0.5,1.0,2.0,0.5,11.8,4.0
2022-11-02,TOR,True,False,L,10,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.6,-13.0
2022-11-04,LAC,True,False,L,22,6.0,2.0,2.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,4.0,0.0,0.0,0.0,0.0,3.0,-5.0
2022-11-05,DEN,False,True,L,24,5.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0
2022-11-07,DEN,True,False,L,28,2.0,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,4.9,-3.0
2022-11-09,MEM,True,False,L,30,13.0,2.0,0.0,2.0,0.0,2.0,6.0,7.0,0.857,1.0,2.0,0.5,0.0,0.0,0.0,10.3,-6.0
2022-11-11,MIL,True,False,W,30,10.0,7.0,2.0,0.0,1.0,2.0,4.0,7.0,0.571,0.0,2.0,0.0,2.0,2.0,1.0,7.7,22.0
2022-11-14,GSW,False,False,L,25,12.0,7.0,0.0,1.0,0.0,3.0,5.0,13.0,0.385,0.0,3.0,0.0,2.0,3.0,0.667,3.8,-34.0
2022-11-15,POR,False,True,L,27,6.0,4.0,4.0,0.0,2.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,7.1,18.0
2022-11-17,SAC,False,False,L,31,11.0,4.0,5.0,0.0,0.0,3.0,5.0,10.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,6.9,-12.0
2022-11-19,LAC,False,False,L,28,4.0,4.0,2.0,0.0,1.0,7.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-3.1,-24.0
2022-11-20,LAL,False,True,L,26,12.0,6.0,1.0,3.0,0.0,2.0,6.0,14.0,0.429,0.0,3.0,0.0,0.0,1.0,0.0,8.1,-21.0
2022-11-23,NOP,True,False,L,24,12.0,2.0,1.0,0.0,0.0,1.0,6.0,10.0,0.6,0.0,1.0,0.0,0.0,2.0,0.0,5.3,-26.0
2022-11-25,LAL,True,False,L,36,13.0,9.0,5.0,4.0,1.0,2.0,5.0,11.0,0.455,1.0,3.0,0.333,2.0,4.0,0.5,16.2,-17.0
2022-11-26,LAL,True,True,L,14,5.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,3.3,0.0
2022-12-12,CLE,True,False,W,18,2.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,2.0,0.0,-0.0,14.0
2022-12-14,POR,True,False,L,21,4.0,5.0,3.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-2.0
2022-12-17,MIA,True,False,L,16,2.0,4.0,4.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.5,-17.0
2022-12-19,HOU,False,False,W,23,12.0,7.0,2.0,0.0,1.0,2.0,5.0,8.0,0.625,1.0,3.0,0.333,1.0,4.0,0.25,8.6,17.0
2022-12-22,NOP,False,False,L,31,23.0,9.0,6.0,1.0,0.0,2.0,7.0,14.0,0.5,2.0,4.0,0.5,7.0,10.0,0.7,22.7,-14.0
2022-12-23,ORL,False,True,L,26,13.0,9.0,4.0,0.0,2.0,1.0,6.0,14.0,0.429,0.0,3.0,0.0,1.0,1.0,1.0,10.7,-4.0
2022-12-26,UTA,True,False,W,31,6.0,5.0,3.0,1.0,0.0,2.0,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,4.2,-7.0
2022-12-27,OKC,False,True,L,30,16.0,9.0,4.0,1.0,2.0,2.0,7.0,16.0,0.438,0.0,2.0,0.0,2.0,2.0,1.0,14.7,-2.0
