date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-24,LAL,False,False,L,5,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0
2025-10-27,DEN,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2025-11-01,CHA,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,BKN,False,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-4.0
2025-11-05,NYK,False,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-1.0
2025-11-07,UTA,True,False,W,9,6.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5,4.0
2025-11-09,SAC,False,False,W,6,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0
2025-11-14,SAC,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-11-17,DAL,True,False,W,8,6.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.5,-5.0
2025-12-27,BKN,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-12-29,CHI,False,False,W,6,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
2025-12-31,ATL,False,False,L,8,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.0
2026-01-06,MIA,True,False,W,5,6.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0
2026-01-10,CLE,False,False,L,3,6.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,4.0
2026-01-13,MIL,False,False,W,30,13.0,5.0,2.0,1.0,0.0,1.0,6.0,7.0,0.857,0.0,0.0,0.0,1.0,1.0,1.0,13.4,30.0
2026-01-16,HOU,False,False,L,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0
2026-01-17,SAS,False,True,L,23,10.0,8.0,3.0,0.0,2.0,1.0,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,12.7,9.0
2026-01-20,UTA,False,False,L,5,4.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0
2026-01-22,CHI,True,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2026-01-25,GSW,True,False,L,5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,-4.0
2026-01-26,GSW,True,True,W,10,6.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,2.8,-2.0
2026-01-28,DAL,False,False,W,16,9.0,4.0,1.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,10.4,11.0
2026-01-29,OKC,True,True,W,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-10.0
2026-01-31,MEM,False,False,W,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,6.0
2026-02-06,NOP,True,False,L,5,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,-4.0
2026-02-08,LAC,True,False,L,4,4.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.0
2026-02-11,POR,True,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
