date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-03-03,CHA,False,False,L,14,0.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,-7.0
2026-03-15,CLE,False,False,W,15,10.0,3.0,0.0,1.0,0.0,1.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,7.1,10.0
2026-03-16,NOP,False,True,L,18,3.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.3,-19.0
2026-03-23,GSW,True,False,L,12,9.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,7.2,4.0
2026-03-25,DEN,False,False,L,9,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.9,5.0
2026-03-30,MIN,True,False,L,18,8.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,0.286,2.0,6.0,0.333,2.0,2.0,1.0,4.8,3.0
2026-03-31,MIL,False,True,L,28,11.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,0.0,7.6,-5.0
2026-04-03,ORL,True,False,L,19,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-4.0
2026-04-05,LAL,True,False,W,7,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.2,-1.0
2026-04-07,LAC,False,False,L,19,3.0,6.0,0.0,1.0,1.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,2.3,5.0
2026-04-08,PHX,False,True,L,29,23.0,1.0,1.0,0.0,1.0,0.0,8.0,12.0,0.667,5.0,8.0,0.625,2.0,2.0,1.0,17.9,8.0
2026-04-10,SAS,False,False,L,30,12.0,1.0,0.0,1.0,1.0,0.0,4.0,11.0,0.364,4.0,10.0,0.4,0.0,0.0,0.0,7.5,-19.0
2026-04-12,CHI,True,False,W,36,28.0,2.0,4.0,1.0,1.0,1.0,9.0,18.0,0.5,8.0,16.0,0.5,2.0,3.0,0.667,21.5,5.0
