date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-25,NYK,False,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,5.0
2024-11-08,CHA,False,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2024-11-10,NYK,True,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-1.0
2024-11-13,ORL,False,False,L,9,7.0,2.0,0.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.4,-8.0
2024-11-15,MIA,True,False,L,9,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.0
2024-11-18,TOR,False,False,L,8,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.6,-3.0
2024-11-20,HOU,False,False,L,21,6.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,3.2,8.0
2024-11-22,MIL,False,False,L,14,3.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6.4,9.0
2024-11-24,WAS,True,False,W,11,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.4,2.0
2024-11-27,POR,True,False,W,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,-4.0
2024-11-29,DET,True,False,L,5,2.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,3.4,-5.0
2024-12-01,MEM,False,False,L,7,6.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,3.3,-4.0
2024-12-04,BKN,False,False,L,25,12.0,7.0,0.0,0.0,1.0,1.0,4.0,9.0,0.444,4.0,8.0,0.5,0.0,0.0,0.0,8.7,-9.0
2024-12-06,CHI,False,False,W,10,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.6,4.0
2024-12-08,CHA,True,False,L,9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.6,1.0
2024-12-13,PHI,False,False,W,11,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.0,-8.0
2024-12-15,NOP,True,False,W,12,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,2.0
2024-12-22,SAC,False,False,W,8,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,7.0
2024-12-27,BOS,False,False,L,24,0.0,4.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.1,-16.0
2024-12-29,BOS,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2025-01-02,MIA,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2025-01-04,PHX,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,BKN,False,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-2.0
2025-01-08,CHI,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-01-10,GSW,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2025-01-12,CLE,False,False,W,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.0
