date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2012-10-31,IND,True,False,L,23,12.0,10.0,0.0,0.0,1.0,0.0,6.0,15.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,-7.0
2012-11-03,BKN,False,False,L,12,2.0,3.0,2.0,0.0,2.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0
2012-11-04,MIN,True,True,W,23,4.0,4.0,2.0,0.0,1.0,1.0,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0
2012-11-06,OKC,False,False,L,32,18.0,6.0,1.0,0.0,0.0,3.0,6.0,8.0,0.75,0.0,0.0,0.0,6.0,6.0,1.0,15.1,-9.0
2012-11-07,DAL,False,True,L,10,4.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-13.0
2012-11-10,PHI,True,False,L,20,8.0,8.0,1.0,0.0,1.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,9.2,-2.0
2012-11-12,UTA,True,False,L,16,10.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,8.9,-1.0
2012-11-13,IND,False,True,W,22,9.0,8.0,2.0,2.0,0.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,9.0,4.0
2012-11-17,BOS,False,False,L,19,3.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,-3.2,-7.0
2012-11-18,ORL,True,True,W,24,6.0,7.0,0.0,1.0,1.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,6.0,0.333,3.9,-1.0
2012-11-20,PHI,False,False,L,25,11.0,11.0,3.0,0.0,3.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,15.3,7.0
2012-11-21,CHA,False,True,L,35,16.0,10.0,2.0,0.0,1.0,1.0,8.0,11.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0
2012-11-23,DET,False,False,L,31,9.0,6.0,1.0,0.0,2.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,6.7,-7.0
