date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-18,MIA,True,False,W,17,4.0,8.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,6.5,-1.0
2017-10-20,BKN,False,False,L,23,9.0,1.0,3.0,2.0,1.0,4.0,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,7.0,-3.0
2017-10-21,CLE,False,True,W,21,5.0,6.0,0.0,1.0,0.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.2,18.0
2017-10-24,BKN,True,False,W,14,4.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.4,-12.0
2017-10-27,SAS,True,False,W,19,6.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,4.0,4.0,1.0,6.8,18.0
2017-10-30,NOP,False,False,W,15,4.0,7.0,1.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.7,-1.0
2017-11-01,MEM,False,False,W,19,7.0,4.0,1.0,0.0,3.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,8.3,-11.0
2017-11-03,CHI,True,False,L,21,8.0,2.0,1.0,0.0,0.0,1.0,4.0,10.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,2.5,-7.0
2017-11-05,BOS,True,False,L,29,9.0,6.0,0.0,0.0,2.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,0.0,1.0,0.0,6.4,-19.0
2017-11-08,NYK,True,False,W,23,4.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
2017-11-10,PHX,False,False,W,21,11.0,6.0,1.0,1.0,2.0,0.0,3.0,8.0,0.375,1.0,1.0,1.0,4.0,5.0,0.8,11.1,1.0
2017-11-11,DEN,False,True,L,16,2.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-9.0
2017-12-17,DET,False,False,L,17,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-3.6,-13.0
2017-12-20,CHI,False,False,L,14,4.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-7.0
2017-12-26,MIA,False,False,L,16,1.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.9,-7.0
2018-03-02,DET,True,False,W,15,3.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,4.9,-1.0
2018-03-03,MEM,True,True,W,18,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.0
2018-03-05,UTA,False,False,L,18,0.0,3.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.9,0.0
2018-03-07,LAL,False,False,L,14,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-8.0
2018-03-09,SAC,False,False,L,26,6.0,2.0,0.0,2.0,1.0,1.0,2.0,8.0,0.25,2.0,5.0,0.4,0.0,0.0,0.0,3.5,-2.0
2018-03-10,LAC,False,True,L,25,9.0,5.0,1.0,4.0,1.0,0.0,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,10.1,3.0
2018-03-13,SAS,False,False,L,24,7.0,5.0,0.0,0.0,1.0,3.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,2.7,-28.0
2018-03-14,MIL,True,True,W,18,4.0,4.0,1.0,0.0,1.0,1.0,1.0,5.0,0.2,1.0,2.0,0.5,1.0,2.0,0.5,1.7,-5.0
2018-03-16,BOS,True,False,L,25,6.0,2.0,0.0,2.0,2.0,1.0,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,3.5,-5.0
2018-03-20,TOR,True,False,L,28,10.0,5.0,0.0,5.0,2.0,3.0,4.0,7.0,0.571,2.0,2.0,1.0,0.0,1.0,0.0,10.0,-8.0
2018-03-30,CHI,True,False,L,21,4.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,5.8,-5.0
2018-04-01,ATL,False,False,L,20,15.0,4.0,1.0,1.0,0.0,1.0,5.0,11.0,0.455,3.0,6.0,0.5,2.0,2.0,1.0,11.2,7.0
2018-10-17,MIA,True,False,W,18,6.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,4.3,-7.0
