date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,CLE,True,False,L,11,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,5.6,-4.0
2024-10-25,PHI,True,False,W,24,12.0,9.0,5.0,2.0,3.0,2.0,3.0,8.0,0.375,0.0,1.0,0.0,6.0,7.0,0.857,16.7,21.0
2024-10-26,MIN,False,True,L,9,2.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-3.0
2024-10-28,DEN,True,False,L,14,6.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,4.8,2.0
2024-10-30,CHA,False,False,L,25,11.0,4.0,2.0,1.0,2.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,11.7,-9.0
2024-11-01,LAL,True,False,L,21,6.0,6.0,3.0,2.0,0.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,3.0,0.667,7.7,-3.0
2024-11-02,SAC,True,True,W,16,6.0,6.0,1.0,1.0,1.0,3.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,4.7,17.0
2024-11-04,DEN,False,False,L,21,4.0,6.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.8,-4.0
2024-11-06,SAC,False,False,L,18,5.0,5.0,3.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,7.3,4.0
2024-11-09,LAC,False,False,L,9,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-11.0
2024-11-10,LAL,False,True,L,8,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.9,-6.0
2024-11-12,MIL,False,False,L,11,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-11.0
2024-11-15,DET,True,False,L,16,0.0,4.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-6.0
2024-11-16,BOS,False,True,L,17,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.7,-3.0
2024-11-18,IND,True,False,W,13,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-11.0
2024-11-21,MIN,True,False,W,19,6.0,7.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.2,5.0
2024-11-24,CLE,False,False,L,20,13.0,7.0,0.0,1.0,1.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,4.0,4.0,1.0,12.2,1.0
2024-11-25,DET,False,True,L,12,5.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.9,5.0
2024-11-27,NOP,False,False,W,15,4.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,-5.0
2024-11-29,MIA,False,False,L,15,7.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,7.1,-8.0
2024-12-01,MIA,True,False,W,14,3.0,7.0,6.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,6.3,9.0
2024-12-03,IND,True,False,W,15,3.0,5.0,2.0,3.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,5.8,-5.0
2024-12-05,OKC,True,False,L,23,17.0,1.0,1.0,1.0,1.0,2.0,6.0,10.0,0.6,1.0,1.0,1.0,4.0,6.0,0.667,12.3,-28.0
2024-12-07,DAL,True,False,L,21,8.0,7.0,2.0,1.0,2.0,1.0,3.0,7.0,0.429,2.0,2.0,1.0,0.0,0.0,0.0,9.6,-6.0
2024-12-09,NYK,True,False,L,23,6.0,7.0,2.0,0.0,0.0,0.0,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,4.8,-17.0
2024-12-12,MIA,False,False,L,30,4.0,10.0,4.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,7.1,-9.0
2024-12-16,CHI,True,False,L,28,4.0,4.0,1.0,0.0,1.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0
2024-12-19,BKN,True,False,L,30,8.0,6.0,4.0,2.0,0.0,1.0,4.0,11.0,0.364,0.0,2.0,0.0,0.0,0.0,0.0,6.7,-13.0
2024-12-22,HOU,True,False,L,16,3.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,2.4,-6.0
2024-12-23,NYK,False,True,L,23,8.0,4.0,2.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,7.2,-20.0
2024-12-26,MEM,False,False,L,17,2.0,6.0,1.0,2.0,3.0,1.0,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,3.1,-17.0
2024-12-29,ATL,True,False,L,6,4.0,4.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0
