date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-11-06,MEM,False,False,L,22,5.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,2.3,-9.0
2019-11-08,GSW,True,False,W,15,3.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,1.0,1.0,-0.3,-9.0
2019-11-10,DEN,True,False,L,9,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-8.0
2019-11-11,DET,False,True,W,12,3.0,3.0,4.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,1.0,1.0,3.3,1.0
2019-12-23,GSW,False,False,L,22,19.0,2.0,4.0,3.0,0.0,0.0,7.0,13.0,0.538,3.0,6.0,0.5,2.0,2.0,1.0,18.7,8.0
2020-01-02,GSW,True,False,W,15,0.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-8.0
2020-01-17,IND,False,False,L,18,9.0,4.0,3.0,0.0,0.0,0.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,9.7,-3.0
2020-01-18,TOR,True,True,L,21,4.0,3.0,5.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.9,0.0
2020-01-20,DEN,True,False,L,11,0.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.2,-3.0
2020-01-22,CHI,False,False,L,17,5.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,4.6,-7.0
2020-01-24,HOU,True,False,L,24,8.0,2.0,4.0,0.0,0.0,3.0,3.0,6.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,4.6,6.0
