date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,POR,True,False,W,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-7.0
2023-10-31,ORL,True,False,W,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.3,2.0
2023-12-16,NYK,True,False,W,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2024-01-12,MEM,False,False,W,4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-11.0
2024-02-12,MIN,True,False,L,5,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0
2024-03-09,CHI,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,MIN,True,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2024-03-17,ATL,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,OKC,True,False,L,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.4,3.0
2024-11-06,PHI,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,-7.0
2024-11-13,HOU,False,False,L,12,8.0,3.0,1.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,1.0,1.0,1.0,4.6,2.0
2024-11-15,HOU,False,False,L,10,11.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,9.0,10.0,0.9,10.6,-1.0
2024-11-20,ORL,True,False,W,16,8.0,3.0,1.0,2.0,0.0,0.0,3.0,7.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,7.5,3.0
2024-11-22,SAC,True,False,W,13,5.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.0,3.0
2024-11-24,PHI,False,False,W,23,7.0,4.0,3.0,1.0,1.0,2.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.8,-8.0
2024-11-25,BOS,False,True,L,20,10.0,1.0,0.0,1.0,0.0,2.0,4.0,10.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,3.9,-19.0
2024-11-27,WAS,False,False,W,20,15.0,2.0,2.0,0.0,0.0,3.0,7.0,10.0,0.7,1.0,3.0,0.333,0.0,2.0,0.0,9.0,3.0
