date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-24,LAC,True,False,L,21,5.0,2.0,2.0,1.0,0.0,1.0,2.0,13.0,0.154,1.0,7.0,0.143,0.0,0.0,0.0,-1.3,10.0
2019-10-27,OKC,False,False,L,23,6.0,2.0,1.0,1.0,0.0,2.0,1.0,9.0,0.111,1.0,5.0,0.2,3.0,3.0,1.0,0.0,4.0
2019-10-28,NOP,False,True,W,26,13.0,1.0,0.0,2.0,0.0,1.0,4.0,10.0,0.4,3.0,5.0,0.6,2.0,2.0,1.0,6.9,-21.0
2019-10-30,PHX,True,False,L,21,9.0,4.0,2.0,0.0,0.0,1.0,2.0,8.0,0.25,2.0,5.0,0.4,3.0,3.0,1.0,5.0,9.0
2019-11-01,SAS,True,False,L,29,20.0,0.0,1.0,0.0,0.0,1.0,7.0,13.0,0.538,4.0,7.0,0.571,2.0,2.0,1.0,12.2,-8.0
2019-11-02,CHA,True,True,L,31,5.0,1.0,3.0,0.0,0.0,3.0,2.0,9.0,0.222,0.0,2.0,0.0,1.0,1.0,1.0,-3.1,-6.0
2019-11-04,POR,True,False,W,31,16.0,3.0,5.0,0.0,1.0,1.0,3.0,16.0,0.188,2.0,9.0,0.222,8.0,8.0,1.0,9.3,8.0
2019-11-06,HOU,False,False,L,27,8.0,2.0,2.0,1.0,1.0,2.0,2.0,11.0,0.182,2.0,8.0,0.25,2.0,2.0,1.0,2.8,-14.0
2019-11-08,MIN,False,False,L,25,9.0,1.0,0.0,2.0,1.0,2.0,3.0,10.0,0.3,1.0,6.0,0.167,2.0,2.0,1.0,3.8,-4.0
2019-11-09,OKC,False,True,L,35,4.0,3.0,6.0,2.0,0.0,2.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,4.1,-12.0
