date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,UTA,False,False,L,29,4.0,10.0,3.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-16.0
2021-10-22,HOU,False,False,L,20,6.0,2.0,4.0,1.0,1.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,6.3,-21.0
2021-10-24,PHI,True,False,L,34,19.0,8.0,7.0,4.0,0.0,2.0,8.0,13.0,0.615,1.0,2.0,0.5,2.0,3.0,0.667,21.6,-6.0
2021-10-26,GSW,True,False,L,27,7.0,9.0,4.0,1.0,1.0,2.0,3.0,10.0,0.3,1.0,3.0,0.333,0.0,0.0,0.0,6.4,0.0
2021-10-27,LAL,True,True,W,32,18.0,2.0,10.0,1.0,0.0,4.0,7.0,13.0,0.538,2.0,5.0,0.4,2.0,3.0,0.667,15.1,-3.0
2021-10-30,GSW,False,False,L,28,10.0,4.0,6.0,1.0,1.0,1.0,5.0,11.0,0.455,0.0,2.0,0.0,0.0,1.0,0.0,9.2,-14.0
2021-11-01,LAC,False,False,L,35,15.0,5.0,7.0,2.0,2.0,3.0,6.0,15.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,12.1,-9.0
2021-11-04,LAL,False,False,W,32,5.0,8.0,8.0,3.0,1.0,4.0,2.0,9.0,0.222,0.0,2.0,0.0,1.0,2.0,0.5,7.2,8.0
2021-11-07,SAS,True,False,W,27,7.0,7.0,4.0,0.0,0.0,4.0,3.0,10.0,0.3,1.0,6.0,0.167,0.0,0.0,0.0,2.5,-14.0
2021-11-10,NOP,False,False,W,31,7.0,12.0,9.0,1.0,0.0,5.0,3.0,10.0,0.3,1.0,3.0,0.333,0.0,0.0,0.0,7.9,3.0
2021-11-12,SAC,True,False,W,25,7.0,5.0,5.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,1.0,1.0,0.0,0.0,0.0,6.2,0.0
2021-11-14,BKN,True,False,L,25,6.0,5.0,4.0,1.0,0.0,4.0,2.0,10.0,0.2,2.0,7.0,0.286,0.0,0.0,0.0,1.1,-16.0
2021-11-15,MIA,True,True,L,32,6.0,9.0,9.0,1.0,2.0,4.0,3.0,10.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,8.0,-4.0
2021-11-17,HOU,True,False,W,34,14.0,11.0,2.0,0.0,1.0,3.0,7.0,14.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,8.6,1.0
2021-11-19,MIL,False,False,L,32,14.0,12.0,4.0,0.0,0.0,2.0,6.0,12.0,0.5,0.0,3.0,0.0,2.0,4.0,0.5,14.0,-16.0
2021-11-20,BOS,False,True,L,29,15.0,8.0,3.0,1.0,0.0,2.0,5.0,13.0,0.385,4.0,6.0,0.667,1.0,2.0,0.5,11.4,-27.0
2021-11-22,ATL,False,False,L,31,15.0,7.0,8.0,1.0,2.0,3.0,6.0,13.0,0.462,0.0,5.0,0.0,3.0,3.0,1.0,15.8,-13.0
2021-11-24,UTA,True,False,L,34,19.0,7.0,8.0,0.0,0.0,6.0,8.0,15.0,0.533,3.0,4.0,0.75,0.0,0.0,0.0,12.2,0.0
2021-11-26,WAS,True,False,L,29,11.0,7.0,4.0,1.0,0.0,1.0,4.0,12.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,8.7,2.0
2021-11-29,HOU,False,False,L,25,2.0,5.0,7.0,1.0,2.0,2.0,1.0,9.0,0.111,0.0,5.0,0.0,0.0,0.0,0.0,2.1,-7.0
2021-12-06,DET,False,False,W,30,12.0,0.0,5.0,1.0,0.0,4.0,5.0,6.0,0.833,0.0,1.0,0.0,2.0,2.0,1.0,9.5,2.0
2021-12-08,TOR,False,False,W,31,13.0,4.0,8.0,0.0,1.0,5.0,5.0,12.0,0.417,3.0,5.0,0.6,0.0,0.0,0.0,7.9,6.0
2021-12-10,LAL,True,False,L,32,12.0,7.0,7.0,1.0,0.0,3.0,5.0,12.0,0.417,0.0,5.0,0.0,2.0,2.0,1.0,10.2,-14.0
