date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,PHX,False,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-5.0
2020-12-25,LAL,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2020-12-27,LAC,False,False,W,12,4.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.3,2.0
2020-12-30,CHA,True,False,L,13,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2021-01-03,CHI,False,False,L,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2021-01-07,DEN,False,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-4.0
2021-01-09,ORL,True,False,W,15,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,-6.0
2021-01-13,CHA,False,False,W,18,5.0,5.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,2.0,0.0,1.0,4.0,0.25,2.0,17.0
2021-01-15,MIL,False,False,L,19,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-1.0
2021-01-17,CHI,True,False,L,32,4.0,4.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.1,0.0
2021-01-18,TOR,False,True,L,19,4.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-16.0
2021-01-20,IND,False,False,W,23,8.0,6.0,2.0,0.0,0.0,0.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,7.1,3.0
2021-01-22,SAS,False,False,W,17,2.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,3.5,14.0
2021-01-23,HOU,True,True,L,20,6.0,2.0,0.0,1.0,0.0,3.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,1.5,-17.0
2021-01-27,UTA,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-29,UTA,False,False,L,9,7.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6.7,4.0
2021-02-04,GSW,True,False,L,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-6.0
2021-03-11,OKC,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,3.0
2021-03-13,DEN,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2021-03-21,POR,False,False,W,10,4.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,5.0
2021-03-24,MIN,False,False,W,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0
2021-03-26,IND,True,False,L,9,7.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,4.0,-8.0
2021-03-29,OKC,False,False,W,16,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,4.4,-5.0
2021-03-31,BOS,False,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-04-03,WAS,False,False,W,21,4.0,7.0,1.0,2.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,7.1,7.0
2021-04-07,HOU,False,False,L,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-04-08,MIL,True,True,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021-04-12,PHI,True,False,L,4,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-3.0
2021-04-26,SAC,False,False,L,16,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.6,15.0
2021-04-27,GSW,False,True,W,10,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.3,-13.0
2021-04-29,DET,False,False,W,14,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
2021-05-02,SAC,True,False,L,8,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6,7.0
2021-05-04,MIA,False,False,W,24,4.0,4.0,3.0,3.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,8.7,17.0
2021-05-06,BKN,True,False,W,8,4.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,-4.0
2021-05-07,CLE,True,True,W,26,6.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,3.0,0.333,4.9,12.0
2021-05-09,CLE,False,False,W,20,2.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0
2021-05-11,MEM,False,False,L,12,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-15.0
2021-05-12,NOP,True,True,W,6,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.8,-5.0
2021-05-16,MIN,False,False,L,17,8.0,2.0,1.0,1.0,0.0,0.0,4.0,8.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,5.9,2.0
2021-10-21,ATL,False,False,L,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-26,HOU,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2021-10-29,DEN,False,False,L,17,0.0,7.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,10.0
2021-11-02,MIA,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2021-11-03,SAS,False,True,W,6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
2021-11-08,NOP,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-10,CHI,False,False,L,2,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,4.0
2021-11-19,PHX,False,False,L,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,7.0
2021-11-29,CLE,True,False,L,8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
2021-12-01,NOP,False,False,W,5,4.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
2021-12-03,NOP,True,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0
2021-12-07,BKN,True,False,L,7,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-8.0
2021-12-08,MEM,False,True,W,10,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.8,-7.0
2021-12-10,IND,False,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-7.0
2021-12-12,OKC,False,False,W,18,8.0,5.0,2.0,1.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,1.0,2.0,0.5,8.8,6.0
2021-12-13,CHA,True,True,W,21,7.0,6.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.4,13.0
2021-12-15,LAL,True,False,L,10,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.9,9.0
2021-12-27,POR,False,False,W,26,9.0,4.0,10.0,2.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,3.0,3.0,1.0,12.9,15.0
2021-12-29,SAC,False,False,L,28,4.0,3.0,3.0,1.0,2.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,5.6,-14.0
2021-12-31,SAC,False,False,W,26,8.0,2.0,1.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,3.1,12.0
2022-01-02,OKC,False,False,W,17,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.6,14.0
2022-01-03,DEN,True,True,W,17,6.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-1.0
2022-01-05,GSW,True,False,W,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,5.0
2022-01-07,HOU,False,False,W,25,17.0,5.0,2.0,2.0,0.0,0.0,6.0,7.0,0.857,1.0,1.0,1.0,4.0,5.0,0.8,19.0,-3.0
2022-01-09,CHI,True,False,W,22,18.0,6.0,1.0,0.0,0.0,1.0,8.0,10.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,14.9,9.0
2022-01-12,NYK,False,False,L,11,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.8,-3.0
2022-01-14,MEM,False,False,W,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,6.0
2022-01-15,ORL,True,True,W,25,7.0,4.0,2.0,1.0,0.0,2.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,5.2,7.0
2022-01-17,OKC,True,False,W,18,4.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,0.0,0.6,-9.0
2022-01-19,TOR,True,False,W,7,5.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.4,-4.0
2022-01-20,PHX,True,True,L,11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.0
2022-01-23,MEM,True,False,W,15,4.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,5.4,4.0
2022-01-25,GSW,False,False,L,22,4.0,2.0,3.0,2.0,0.0,0.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,3.5,-25.0
