date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-20,DAL,False,False,L,29,6.0,5.0,2.0,1.0,0.0,3.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,2.2,3.0
2018-10-22,IND,True,False,W,24,12.0,4.0,0.0,3.0,0.0,2.0,5.0,13.0,0.385,1.0,6.0,0.167,1.0,1.0,1.0,7.1,8.0
2018-10-24,TOR,False,False,L,27,10.0,11.0,1.0,0.0,1.0,2.0,4.0,14.0,0.286,2.0,4.0,0.5,0.0,0.0,0.0,5.7,-7.0
2018-10-26,MIL,True,False,L,29,4.0,4.0,1.0,1.0,0.0,0.0,2.0,10.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,1.5,-27.0
2018-10-29,LAL,True,False,W,30,17.0,4.0,3.0,3.0,1.0,0.0,6.0,13.0,0.462,1.0,5.0,0.2,4.0,4.0,1.0,16.5,1.0
2018-10-31,UTA,True,False,W,37,10.0,4.0,1.0,2.0,2.0,2.0,4.0,5.0,0.8,0.0,1.0,0.0,2.0,3.0,0.667,9.4,12.0
2018-11-02,GSW,False,False,L,25,15.0,5.0,1.0,1.0,0.0,2.0,4.0,10.0,0.4,1.0,2.0,0.5,6.0,7.0,0.857,10.4,-4.0
2018-11-04,POR,False,False,L,30,6.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0,0.25,1.0,3.0,0.333,1.0,2.0,0.5,1.6,-19.0
2018-11-05,LAC,False,True,L,20,7.0,1.0,2.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.1,-1.0
2018-11-07,LAL,False,False,L,12,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.9,-12.0
2018-11-09,SAC,False,False,L,27,6.0,2.0,1.0,0.0,0.0,2.0,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,0.0,-5.0
2018-11-12,BKN,True,False,W,20,8.0,4.0,1.0,0.0,1.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,1.0,2.0,0.5,5.1,4.0
2018-11-14,NOP,True,False,W,17,11.0,5.0,1.0,3.0,0.0,1.0,4.0,9.0,0.444,3.0,5.0,0.6,0.0,0.0,0.0,9.7,15.0
2018-11-16,POR,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2018-11-24,CHI,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-11-28,SAS,True,False,W,10,12.0,2.0,2.0,1.0,0.0,0.0,4.0,7.0,0.571,3.0,4.0,0.75,1.0,2.0,0.5,10.1,2.0
2018-12-05,CHA,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2018-12-08,POR,False,False,L,26,8.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,6.1,7.0
2018-12-10,GSW,False,False,L,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.7,-2.0
2018-12-12,SAC,False,False,L,6,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-2.0
2018-12-15,PHX,False,False,L,4,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.3,-3.0
2018-12-17,SAC,True,False,W,28,10.0,3.0,3.0,2.0,1.0,1.0,4.0,9.0,0.444,1.0,3.0,0.333,1.0,2.0,0.5,8.0,33.0
2018-12-19,DET,True,False,L,31,7.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,5.0,6.0,0.833,6.4,9.0
2018-12-21,SAS,False,False,L,26,8.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,4.0,5.0,0.8,6.5,-19.0
2018-12-23,OKC,False,False,W,25,9.0,2.0,2.0,3.0,1.0,1.0,3.0,10.0,0.3,1.0,4.0,0.25,2.0,5.0,0.4,5.9,0.0
2018-12-26,CHI,False,False,W,14,2.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.1,12.0
2018-12-28,ATL,True,False,L,9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.4,-13.0
2018-12-30,MIA,False,False,W,24,7.0,6.0,3.0,0.0,1.0,0.0,1.0,7.0,0.143,0.0,3.0,0.0,5.0,8.0,0.625,4.3,2.0
2018-12-31,NOP,False,True,L,19,6.0,2.0,1.0,2.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,5.2,-22.0
2019-01-02,BOS,False,False,L,24,3.0,3.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.5,-1.0
2019-01-04,ORL,True,False,W,33,8.0,5.0,5.0,0.0,0.0,2.0,2.0,9.0,0.222,0.0,3.0,0.0,4.0,4.0,1.0,4.7,12.0
2019-01-06,LAL,True,False,W,34,8.0,2.0,0.0,1.0,3.0,2.0,3.0,7.0,0.429,1.0,4.0,0.25,1.0,2.0,0.5,4.0,30.0
2019-01-08,OKC,False,False,W,37,9.0,1.0,1.0,0.0,1.0,0.0,3.0,9.0,0.333,1.0,5.0,0.2,2.0,3.0,0.667,4.0,-2.0
2019-01-11,DAL,True,False,L,23,15.0,2.0,1.0,1.0,0.0,2.0,5.0,8.0,0.625,4.0,6.0,0.667,1.0,2.0,0.5,10.5,3.0
