date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2009-10-30,MIL,True,False,W,7,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-4.0
2009-11-03,BOS,True,False,L,13,5.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.4,-12.0
2009-11-09,PHX,True,False,L,15,8.0,3.0,2.0,2.0,0.0,1.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,8.6,11.0
2009-11-11,NJN,False,False,W,4,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.2,-2.0
2009-11-13,UTA,True,False,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,0.0
2009-11-14,CHI,False,True,L,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-9.0
2009-11-20,MEM,True,False,L,5,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.2,-6.0
2009-11-24,WAS,False,False,L,10,11.0,6.0,1.0,2.0,1.0,0.0,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,15.2,10.0
2009-11-25,BOS,False,True,L,34,10.0,3.0,6.0,0.0,0.0,4.0,4.0,13.0,0.308,0.0,3.0,0.0,2.0,4.0,0.5,1.2,-7.0
2009-11-27,ATL,True,False,L,25,2.0,1.0,5.0,2.0,0.0,0.0,1.0,8.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,1.4,-12.0
2009-11-29,SAS,False,False,L,18,6.0,2.0,1.0,2.0,0.0,2.0,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.2,10.0
2009-11-30,DAL,False,True,L,25,8.0,0.0,4.0,0.0,0.0,4.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,2.7,-5.0
2009-12-02,OKC,False,False,L,37,15.0,3.0,2.0,2.0,0.0,2.0,6.0,11.0,0.545,3.0,6.0,0.5,0.0,0.0,0.0,10.4,-7.0
2009-12-11,HOU,True,False,L,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,-0.1,-11.0
