date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-27,MEM,False,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0
2023-10-29,OKC,False,False,W,8,8.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,6.7,4.0
2023-10-30,UTA,True,True,W,6,4.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.6,1.0
2023-11-01,MIN,False,False,L,16,5.0,0.0,0.0,1.0,2.0,0.0,2.0,7.0,0.286,1.0,6.0,0.167,0.0,1.0,0.0,2.9,2.0
2023-11-04,CHI,True,False,W,9,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,-8.0
2023-11-06,NOP,True,False,W,19,21.0,2.0,1.0,0.0,0.0,1.0,8.0,13.0,0.615,5.0,9.0,0.556,0.0,1.0,0.0,14.6,-7.0
2023-11-08,GSW,True,False,W,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-12.0
2023-11-12,HOU,False,False,L,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.5,-5.0
2023-11-17,NOP,False,False,L,9,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.5,-16.0
2023-11-19,CLE,False,False,L,20,7.0,2.0,1.0,0.0,1.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,4.0,8.0
2023-11-20,DET,False,True,W,15,4.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,2.5,-8.0
2023-11-22,ORL,False,False,L,17,7.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,4.0,-5.0
2023-11-24,HOU,False,False,L,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-15.0
2023-11-26,SAS,True,False,W,19,10.0,1.0,4.0,3.0,0.0,1.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,9.5,7.0
2023-11-27,LAC,False,True,W,19,9.0,3.0,1.0,0.0,1.0,1.0,3.0,8.0,0.375,3.0,5.0,0.6,0.0,0.0,0.0,5.5,9.0
2023-11-29,HOU,True,False,W,13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.2,-2.0
2023-12-01,PHX,False,False,W,18,11.0,3.0,0.0,0.0,1.0,0.0,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,0.0,7.1,0.0
2023-12-02,SAC,False,True,L,12,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,2.6,-7.0
2023-12-06,LAC,False,False,L,13,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.3,-9.0
2023-12-08,HOU,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-15.0
2023-12-11,ATL,False,False,W,28,22.0,1.0,2.0,5.0,0.0,2.0,8.0,16.0,0.5,6.0,11.0,0.545,0.0,0.0,0.0,18.3,-2.0
2023-12-12,CHI,False,True,W,23,16.0,6.0,3.0,1.0,0.0,2.0,4.0,9.0,0.444,2.0,5.0,0.4,6.0,8.0,0.75,13.0,12.0
2023-12-14,BKN,True,False,W,20,8.0,4.0,1.0,0.0,0.0,0.0,3.0,11.0,0.273,2.0,6.0,0.333,0.0,0.0,0.0,3.4,5.0
2023-12-16,OKC,True,False,L,15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.1,8.0
2023-12-18,DAL,True,False,W,21,12.0,3.0,2.0,1.0,0.0,0.0,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,9.9,9.0
2023-12-20,TOR,False,False,W,14,7.0,1.0,2.0,2.0,0.0,0.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,6.9,1.0
2023-12-22,BKN,False,False,W,11,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-3.6,-10.0
2023-12-23,CHA,False,True,W,16,10.0,1.0,1.0,1.0,0.0,1.0,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,6.0,-4.0
2023-12-25,GSW,True,False,W,8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,-4.0
2023-12-28,MEM,True,False,W,25,12.0,3.0,2.0,0.0,1.0,1.0,5.0,13.0,0.385,2.0,8.0,0.25,0.0,0.0,0.0,5.3,6.0
2023-12-29,OKC,True,True,L,12,10.0,1.0,0.0,0.0,0.0,3.0,3.0,7.0,0.429,1.0,4.0,0.25,3.0,4.0,0.75,2.0,-15.0
2024-01-01,CHA,True,False,W,13,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-14.0
2024-01-04,GSW,False,False,W,9,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7,-6.0
2024-02-09,SAC,False,False,L,20,7.0,3.0,2.0,1.0,0.0,2.0,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,0.0,3.5,-18.0
2024-02-12,MIL,False,False,L,7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.3,3.0
2024-02-22,WAS,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2024-02-23,POR,False,True,W,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-7.0
2024-02-25,GSW,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-02-28,SAC,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,3.0
2024-03-09,UTA,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
2024-03-15,SAS,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-03-25,MEM,True,False,W,22,14.0,2.0,1.0,0.0,0.0,2.0,5.0,11.0,0.455,2.0,7.0,0.286,2.0,2.0,1.0,6.8,12.0
2024-03-27,PHX,True,False,L,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.3,-8.0
2024-03-29,MIN,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.0
2024-03-31,CLE,True,False,W,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,4.0
2024-04-04,LAC,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
