date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2014-10-29,DET,True,False,W,13,5.0,7.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.9,1.0
2014-11-01,OKC,False,False,L,6,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-2.0
2014-11-03,SAC,True,False,L,8,3.0,5.0,0.0,0.0,1.0,3.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,-1.3,-1.0
2014-11-05,SAC,False,False,L,13,6.0,5.0,2.0,0.0,2.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,3.9,7.0
2014-11-07,CLE,True,False,L,17,10.0,4.0,0.0,1.0,0.0,2.0,5.0,6.0,0.833,0.0,0.0,0.0,0.0,2.0,0.0,7.2,10.0
2014-11-12,POR,True,False,L,7,6.0,5.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,5.2,5.0
2014-11-14,IND,False,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-4.0
2014-11-21,NOP,True,False,W,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-4.0
2014-11-28,PHX,True,False,W,6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2014-12-10,MIA,True,False,W,5,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.7,-4.0
2014-12-13,HOU,False,False,L,18,9.0,5.0,1.0,2.0,3.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,3.0,6.0,0.5,7.4,7.0
2014-12-14,SAS,True,True,L,18,10.0,8.0,1.0,1.0,1.0,3.0,3.0,7.0,0.429,0.0,0.0,0.0,4.0,5.0,0.8,7.3,-11.0
2014-12-17,HOU,True,False,L,17,6.0,8.0,0.0,2.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.2,17.0
2014-12-19,LAC,True,False,W,17,8.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,8.2,8.0
