date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,CHI,True,False,W,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-3.0
2024-10-27,POR,False,False,L,4,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-11-19,DAL,False,False,L,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-7.0
2024-11-20,CLE,False,True,L,18,2.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
2024-12-01,NYK,False,False,L,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
2025-01-08,POR,True,False,L,6,4.0,4.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0
2025-01-17,UTA,True,False,W,4,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-11.0
2025-01-20,UTA,True,False,W,15,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.8,14.0
2025-01-24,MEM,False,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0
2025-01-25,CHA,False,True,L,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-14.0
2025-01-31,BOS,True,False,L,18,7.0,4.0,1.0,1.0,1.0,1.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6.6,0.0
2025-02-03,DEN,False,False,L,27,5.0,11.0,4.0,0.0,1.0,1.0,1.0,5.0,0.2,1.0,2.0,0.5,2.0,2.0,1.0,8.1,-12.0
2025-02-05,DEN,False,False,L,30,10.0,9.0,1.0,1.0,2.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,11.4,-17.0
2025-02-08,SAC,False,False,L,17,6.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,-22.0
2025-02-10,OKC,False,False,L,32,8.0,9.0,2.0,0.0,3.0,2.0,3.0,9.0,0.333,1.0,4.0,0.25,1.0,1.0,1.0,7.1,-39.0
2025-02-12,SAC,True,False,L,14,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-3.0
2025-02-13,SAC,True,True,W,27,13.0,5.0,2.0,2.0,3.0,2.0,5.0,6.0,0.833,1.0,2.0,0.5,2.0,2.0,1.0,15.0,22.0
2025-02-21,DAL,False,False,L,21,9.0,5.0,1.0,0.0,1.0,2.0,3.0,6.0,0.5,0.0,2.0,0.0,3.0,3.0,1.0,6.1,1.0
2025-02-23,SAS,True,False,W,21,19.0,6.0,1.0,0.0,1.0,1.0,8.0,9.0,0.889,1.0,2.0,0.5,2.0,2.0,1.0,16.9,17.0
2025-02-25,SAS,True,False,W,18,8.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,5.8,12.0
2025-02-27,PHX,False,False,W,36,17.0,10.0,1.0,0.0,0.0,0.0,7.0,13.0,0.538,3.0,7.0,0.429,0.0,0.0,0.0,14.8,4.0
2025-02-28,PHX,False,True,L,22,2.0,5.0,1.0,0.0,0.0,2.0,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,-2.6,-9.0
2025-03-02,UTA,False,False,W,20,6.0,5.0,1.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,2.0,0.0,5.7,-6.0
2025-03-04,LAL,False,False,L,18,5.0,4.0,3.0,0.0,1.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,6.4,-5.0
2025-03-06,HOU,True,False,L,21,6.0,6.0,3.0,1.0,2.0,1.0,2.0,9.0,0.222,0.0,3.0,0.0,2.0,4.0,0.5,4.6,-8.0
2025-03-08,HOU,False,False,L,23,11.0,7.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,12.9,-13.0
2025-03-09,MEM,True,True,L,26,13.0,11.0,1.0,1.0,1.0,1.0,5.0,7.0,0.714,2.0,4.0,0.5,1.0,2.0,0.5,13.6,11.0
2025-03-11,LAC,True,False,W,20,15.0,4.0,1.0,0.0,2.0,0.0,6.0,7.0,0.857,1.0,1.0,1.0,2.0,2.0,1.0,15.8,10.0
2025-03-13,ORL,True,False,L,26,8.0,6.0,1.0,0.0,2.0,2.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-30.0
2025-03-15,SAS,False,False,L,27,12.0,11.0,0.0,0.0,0.0,4.0,6.0,10.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,6.7,2.0
2025-03-17,DET,True,False,L,20,7.0,7.0,0.0,2.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,9.3,-17.0
2025-03-19,MIN,False,False,W,19,5.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,3.6,7.0
2025-03-21,MIN,False,False,L,20,8.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,2.0,4.0,0.5,7.2,-10.0
2025-03-23,DET,False,False,L,16,8.0,11.0,0.0,0.0,0.0,3.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,4.6,11.0
2025-03-24,PHI,True,True,W,23,19.0,8.0,3.0,0.0,1.0,0.0,7.0,11.0,0.636,3.0,4.0,0.75,2.0,2.0,1.0,18.1,22.0
2025-03-28,GSW,True,False,L,20,10.0,3.0,2.0,1.0,1.0,1.0,5.0,7.0,0.714,0.0,1.0,0.0,0.0,0.0,0.0,9.3,-8.0
2025-03-30,CHA,True,False,W,23,10.0,5.0,3.0,0.0,1.0,0.0,4.0,9.0,0.444,0.0,4.0,0.0,2.0,2.0,1.0,9.2,11.0
2025-04-02,LAC,False,False,L,18,10.0,5.0,2.0,2.0,0.0,1.0,5.0,8.0,0.625,0.0,1.0,0.0,0.0,1.0,0.0,8.3,-13.0
2025-04-04,LAL,False,False,L,21,15.0,6.0,2.0,1.0,0.0,0.0,6.0,7.0,0.857,1.0,2.0,0.5,2.0,2.0,1.0,16.3,-1.0
2025-04-06,MIL,True,False,L,19,11.0,5.0,1.0,0.0,2.0,0.0,5.0,11.0,0.455,1.0,5.0,0.2,0.0,0.0,0.0,9.3,-11.0
2025-04-08,BKN,False,False,L,26,17.0,4.0,1.0,1.0,2.0,3.0,8.0,11.0,0.727,0.0,2.0,0.0,1.0,2.0,0.5,12.2,18.0
2025-04-10,MIL,False,False,L,30,15.0,10.0,0.0,1.0,0.0,1.0,6.0,12.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,10.8,-16.0
2025-10-27,BOS,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-9.0
