date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-12-01,LAC,True,False,W,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2025-12-18,BKN,False,False,W,8,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.4,-4.0
2025-12-19,BOS,False,True,L,36,17.0,6.0,4.0,0.0,0.0,1.0,5.0,13.0,0.385,5.0,8.0,0.625,2.0,2.0,1.0,14.3,3.0
2025-12-21,NYK,False,False,L,12,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-0.3,-6.0
2025-12-23,TOR,True,False,L,28,7.0,2.0,0.0,1.0,0.0,2.0,2.0,5.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,2.3,-7.0
2025-12-26,ATL,False,False,W,16,8.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,8.3,1.0
2025-12-27,IND,True,True,W,22,4.0,3.0,2.0,3.0,0.0,1.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.3,11.0
2025-12-29,DEN,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
2026-01-01,DET,False,False,W,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,11.0
2026-01-03,MIN,True,False,L,17,3.0,4.0,3.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,3.2,5.0
2026-01-04,NOP,True,True,W,16,3.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,3.2,-10.0
2026-01-06,MIN,False,False,L,5,5.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,4.0,0.0
2026-01-10,IND,False,False,L,9,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.8,2.0
2026-01-11,OKC,False,True,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
2026-01-15,BOS,True,False,L,27,12.0,5.0,8.0,0.0,0.0,3.0,3.0,4.0,0.75,3.0,4.0,0.75,3.0,4.0,0.75,12.5,-6.0
2026-01-17,OKC,True,False,W,27,3.0,5.0,7.0,0.0,0.0,0.0,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,0.0,2.5,4.0
2026-01-19,GSW,False,False,L,14,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,-4.0
2026-01-20,SAC,False,True,W,17,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.5,0.0
2026-01-22,POR,False,False,L,11,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.1,-18.0
2026-01-24,UTA,False,False,W,17,12.0,5.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,11.6,7.0
2026-01-25,PHX,False,True,W,23,7.0,6.0,3.0,2.0,1.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,10.9,6.0
2026-01-28,ORL,True,False,L,20,2.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.1,-6.0
2026-01-29,CHI,False,True,W,13,0.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8,1.0
2026-01-31,CHI,True,False,L,27,6.0,3.0,5.0,1.0,0.0,3.0,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,2.7,2.0
2026-02-01,CHI,True,True,W,19,4.0,1.0,9.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,1.0,0.0,4.5,6.0
2026-02-03,ATL,True,False,L,16,5.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,6.3,-16.0
2026-02-08,WAS,False,False,W,26,22.0,3.0,6.0,2.0,1.0,1.0,8.0,10.0,0.8,6.0,6.0,1.0,0.0,0.0,0.0,23.8,27.0
2026-02-09,UTA,True,True,L,32,20.0,3.0,1.0,0.0,0.0,2.0,7.0,12.0,0.583,6.0,10.0,0.6,0.0,0.0,0.0,14.8,-10.0
2026-02-11,NOP,False,False,W,25,11.0,3.0,4.0,0.0,0.0,1.0,3.0,7.0,0.429,1.0,5.0,0.2,4.0,4.0,1.0,9.2,-3.0
2026-02-20,ATL,False,False,W,17,4.0,5.0,3.0,2.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,7.5,6.0
2026-02-21,MEM,True,True,W,23,12.0,3.0,5.0,0.0,0.0,2.0,4.0,6.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,10.2,12.0
2026-02-24,MIL,False,False,L,10,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-9.0
2026-02-26,PHI,False,False,L,17,3.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-7.0
2026-02-28,HOU,True,False,W,12,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,7.0
2026-03-03,BKN,True,False,W,22,9.0,1.0,5.0,1.0,0.0,2.0,2.0,4.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,10.2,17.0
2026-03-05,BKN,True,False,W,21,11.0,6.0,3.0,2.0,0.0,4.0,4.0,9.0,0.444,3.0,7.0,0.429,0.0,0.0,0.0,7.8,20.0
2026-03-06,CHA,False,True,W,13,6.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,4.0,0.25,3.0,4.0,0.75,4.6,-10.0
2026-03-08,DET,True,False,W,22,12.0,2.0,0.0,1.0,0.0,2.0,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,7.2,-9.0
2026-03-10,WAS,True,False,W,30,5.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,8.5,10.0
2026-03-12,MIL,True,False,W,35,18.0,7.0,2.0,1.0,1.0,2.0,6.0,12.0,0.5,5.0,11.0,0.455,1.0,1.0,1.0,15.2,18.0
2026-03-14,ORL,True,False,L,18,3.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.5,-3.0
2026-03-17,CHA,False,False,L,15,6.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,4.6,1.0
2026-03-19,LAL,True,False,L,16,7.0,2.0,3.0,1.0,0.0,0.0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,7.2,3.0
2026-03-21,HOU,False,False,L,15,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,-5.0
2026-03-23,SAS,True,False,L,22,8.0,6.0,5.0,2.0,1.0,0.0,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,13.8,-3.0
2026-03-25,CLE,False,False,W,14,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.5,12.0
2026-03-27,CLE,False,False,L,19,14.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,2.0,5.0,0.4,6.0,6.0,1.0,12.2,7.0
2026-03-29,IND,False,False,L,13,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,3.7,-8.0
