date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2011-12-26,MEM,True,False,W,14,6.0,6.0,1.0,2.0,0.0,1.0,2.0,9.0,0.222,1.0,5.0,0.2,1.0,4.0,0.25,4.0,0.0
2011-12-28,LAC,True,False,W,20,2.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.7,10.0
2011-12-29,HOU,False,True,L,25,8.0,4.0,0.0,1.0,0.0,0.0,3.0,7.0,0.429,0.0,3.0,0.0,2.0,4.0,0.5,6.5,1.0
2011-12-31,UTA,True,False,W,15,7.0,6.0,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,1.0,0.0,6.0,-15.0
2012-01-02,MIN,False,False,L,17,6.0,3.0,1.0,2.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,6.6,-2.0
2012-01-04,GSW,True,False,W,8,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.3,-1.0
2012-01-05,DAL,True,True,W,19,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.9,-5.0
2012-01-07,DEN,True,False,W,20,6.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2.0
2012-01-08,OKC,False,True,L,34,13.0,10.0,2.0,2.0,0.0,1.0,6.0,10.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,14.6,-4.0
2012-01-10,MIL,False,False,L,33,19.0,3.0,2.0,4.0,1.0,0.0,9.0,12.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,21.2,-5.0
2012-01-11,HOU,True,True,W,38,11.0,8.0,0.0,0.0,2.0,1.0,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,7.8,13.0
2012-01-13,POR,True,False,W,35,11.0,5.0,1.0,2.0,0.0,2.0,5.0,9.0,0.556,1.0,1.0,1.0,0.0,1.0,0.0,8.9,1.0
2012-01-15,PHX,True,False,W,33,12.0,8.0,1.0,1.0,1.0,2.0,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,10.8,9.0
2012-01-17,MIA,False,False,L,31,12.0,6.0,1.0,1.0,0.0,0.0,5.0,12.0,0.417,2.0,5.0,0.4,0.0,0.0,0.0,10.3,-9.0
2012-01-18,ORL,False,True,W,24,2.0,3.0,2.0,1.0,1.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-4.0
2012-01-20,SAC,True,False,L,21,4.0,5.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,5.6,-6.0
2012-01-21,HOU,False,True,L,39,8.0,11.0,0.0,1.0,1.0,2.0,4.0,13.0,0.308,0.0,1.0,0.0,0.0,0.0,0.0,5.1,-9.0
2012-01-23,NOH,False,False,W,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2012-01-25,ATL,True,False,W,30,8.0,5.0,1.0,2.0,0.0,1.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,7.1,9.0
2012-01-27,MIN,False,False,L,21,2.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-5.0
2012-01-29,DAL,False,False,L,24,6.0,6.0,1.0,0.0,0.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.8,-10.0
2012-01-30,MEM,False,True,W,32,12.0,10.0,1.0,2.0,1.0,1.0,6.0,11.0,0.545,0.0,0.0,0.0,0.0,1.0,0.0,13.3,4.0
2012-02-01,HOU,True,False,W,8,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,2.0,0.5,0.5,-15.0
2012-02-02,NOH,True,True,W,12,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-4.0
2012-02-04,OKC,True,False,W,31,15.0,6.0,5.0,1.0,1.0,0.0,5.0,7.0,0.714,3.0,3.0,1.0,2.0,2.0,1.0,18.3,15.0
2012-02-06,MEM,False,False,W,28,4.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,1.0,2.0,0.5,1.4,-4.0
2012-02-08,PHI,False,False,W,23,2.0,3.0,0.0,2.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.1,8.0
2012-02-11,NJN,False,False,W,27,5.0,8.0,0.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,9.9,4.0
2012-02-14,DET,False,False,W,19,11.0,4.0,1.0,2.0,1.0,3.0,4.0,6.0,0.667,2.0,3.0,0.667,1.0,1.0,1.0,9.2,-7.0
2012-02-15,TOR,False,True,W,15,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-5.0
2012-02-18,LAC,False,False,W,18,4.0,3.0,3.0,1.0,2.0,0.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,5.2,4.0
2012-02-20,UTA,False,False,W,30,4.0,8.0,0.0,2.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,6.9,5.0
2012-02-21,POR,False,True,L,43,24.0,10.0,1.0,5.0,1.0,2.0,9.0,14.0,0.643,2.0,4.0,0.5,4.0,6.0,0.667,24.8,-21.0
2012-02-23,DEN,False,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2012-03-02,CHA,True,False,W,17,10.0,5.0,0.0,3.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,6.0,6.0,1.0,11.2,10.0
2012-03-04,DEN,True,False,L,23,13.0,6.0,1.0,1.0,1.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,8.0,9.0,0.889,13.7,5.0
2012-03-07,NYK,True,False,W,25,10.0,6.0,0.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,13.2,-5.0
2012-03-09,LAC,True,False,L,20,10.0,6.0,1.0,0.0,0.0,2.0,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,8.3,-6.0
2012-03-12,WAS,True,False,W,27,7.0,7.0,0.0,2.0,0.0,0.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,8.9,15.0
2012-03-14,ORL,True,False,W,31,12.0,6.0,2.0,2.0,0.0,0.0,4.0,5.0,0.8,2.0,2.0,1.0,2.0,2.0,1.0,14.5,19.0
2012-03-16,OKC,False,False,W,39,15.0,5.0,2.0,3.0,0.0,2.0,5.0,9.0,0.556,2.0,4.0,0.5,3.0,4.0,0.75,15.0,4.0
2012-03-17,DAL,False,True,L,30,5.0,5.0,2.0,2.0,0.0,1.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,5.1,-10.0
2012-03-21,MIN,True,False,W,38,16.0,9.0,1.0,1.0,1.0,0.0,6.0,10.0,0.6,1.0,2.0,0.5,3.0,4.0,0.75,16.1,12.0
2012-03-23,DAL,True,False,W,27,12.0,8.0,0.0,1.0,1.0,0.0,6.0,8.0,0.75,0.0,2.0,0.0,0.0,0.0,0.0,13.7,0.0
2012-03-24,NOH,False,True,W,25,8.0,7.0,0.0,1.0,2.0,0.0,3.0,12.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,6.9,-2.0
2012-03-25,PHI,True,True,W,32,11.0,10.0,2.0,1.0,0.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,12.1,5.0
2012-03-27,PHX,False,False,W,32,14.0,7.0,1.0,1.0,0.0,1.0,6.0,11.0,0.545,1.0,3.0,0.333,1.0,1.0,1.0,11.5,4.0
2012-03-28,SAC,False,True,W,33,19.0,9.0,2.0,2.0,0.0,3.0,8.0,11.0,0.727,3.0,4.0,0.75,0.0,0.0,0.0,18.4,14.0
2012-03-31,IND,True,False,W,24,5.0,2.0,2.0,2.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,4.5,11.0
2012-04-03,CLE,False,False,W,19,8.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,0.429,0.0,2.0,0.0,2.0,2.0,1.0,9.1,6.0
2012-04-04,BOS,False,True,W,18,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.0
2012-04-06,NOH,True,False,W,21,6.0,4.0,1.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0
2012-04-08,UTA,True,False,W,27,6.0,4.0,2.0,1.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.9,6.0
2012-04-09,UTA,False,True,L,26,7.0,5.0,2.0,1.0,1.0,1.0,3.0,8.0,0.375,0.0,2.0,0.0,1.0,1.0,1.0,5.8,5.0
2012-04-11,LAL,True,False,L,18,2.0,5.0,1.0,0.0,2.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.4,-8.0
2012-04-12,MEM,True,True,W,18,6.0,5.0,1.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,6.5,-4.0
2012-04-14,PHX,True,False,W,24,14.0,5.0,2.0,2.0,0.0,3.0,5.0,6.0,0.833,3.0,3.0,1.0,1.0,1.0,1.0,14.5,24.0
2012-04-16,GSW,False,False,W,16,7.0,7.0,2.0,1.0,0.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,8.9,11.0
2012-04-17,LAL,False,True,W,18,3.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.7,1.0
2012-04-18,SAC,False,True,W,27,13.0,5.0,4.0,2.0,0.0,0.0,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,13.9,20.0
2012-04-20,LAL,True,False,W,19,8.0,4.0,1.0,2.0,0.0,0.0,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,8.4,13.0
2012-04-22,CLE,True,False,W,32,11.0,7.0,0.0,1.0,0.0,2.0,3.0,8.0,0.375,1.0,4.0,0.25,4.0,6.0,0.667,6.9,-1.0
2012-04-23,POR,True,True,W,19,2.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.0,17.0
2012-04-25,PHX,False,False,W,17,10.0,3.0,2.0,1.0,0.0,1.0,4.0,8.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,7.5,-4.0
2012-10-31,NOH,False,False,W,34,19.0,7.0,1.0,5.0,0.0,2.0,6.0,13.0,0.462,3.0,6.0,0.5,4.0,4.0,1.0,16.5,12.0
2012-11-01,OKC,True,True,W,32,6.0,4.0,1.0,5.0,0.0,4.0,2.0,8.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,2.9,1.0
2012-11-03,UTA,True,False,W,32,13.0,5.0,3.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,14.1,25.0
2012-11-05,IND,True,False,W,25,9.0,4.0,1.0,1.0,0.0,1.0,3.0,9.0,0.333,0.0,2.0,0.0,3.0,3.0,1.0,6.2,6.0
2012-11-07,LAC,False,False,L,23,4.0,4.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,2.9,-9.0
2012-11-09,SAC,False,False,W,31,11.0,9.0,1.0,1.0,2.0,2.0,3.0,7.0,0.429,1.0,2.0,0.5,4.0,5.0,0.8,10.7,7.0
2012-11-10,POR,False,True,W,23,10.0,3.0,1.0,3.0,0.0,3.0,5.0,6.0,0.833,0.0,1.0,0.0,0.0,0.0,0.0,7.8,8.0
2012-11-13,LAL,False,False,W,26,7.0,4.0,2.0,1.0,0.0,2.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.8,1.0
2012-11-15,NYK,True,False,L,33,16.0,9.0,0.0,2.0,0.0,1.0,6.0,12.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,14.9,-11.0
2012-12-21,NOH,True,False,W,20,8.0,2.0,1.0,2.0,1.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,7.5,9.0
2012-12-23,DAL,True,False,W,26,17.0,4.0,2.0,5.0,0.0,0.0,6.0,11.0,0.545,3.0,7.0,0.429,2.0,2.0,1.0,19.7,28.0
2012-12-26,TOR,True,False,W,24,9.0,10.0,2.0,3.0,0.0,3.0,4.0,8.0,0.5,0.0,3.0,0.0,1.0,1.0,1.0,9.0,17.0
2012-12-28,HOU,True,False,W,27,2.0,5.0,0.0,2.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,4.1,5.0
2012-12-30,DAL,False,False,W,28,5.0,7.0,1.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,5.5,14.0
2012-12-31,BKN,True,True,W,23,10.0,3.0,2.0,1.0,0.0,0.0,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,11.4,28.0
2013-01-02,MIL,False,False,W,24,4.0,5.0,0.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.3,-4.0
2013-01-03,NYK,False,True,L,30,7.0,3.0,2.0,0.0,0.0,0.0,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,0.0,4.9,-7.0
2013-01-05,PHI,True,False,W,27,2.0,9.0,1.0,1.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,3.9,17.0
2013-01-07,NOH,False,False,L,31,10.0,3.0,1.0,1.0,1.0,2.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,8.3,-6.0
2013-01-09,LAL,True,False,W,33,11.0,3.0,2.0,2.0,1.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,1.0,1.0,1.0,10.9,-12.0
2013-01-11,MEM,False,False,L,39,6.0,2.0,1.0,2.0,0.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,4.7,-12.0
2013-01-13,MIN,True,False,W,30,9.0,4.0,0.0,1.0,0.0,1.0,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,8.3,0.0
2013-01-16,MEM,True,False,W,23,13.0,4.0,3.0,2.0,2.0,2.0,5.0,6.0,0.833,3.0,3.0,1.0,0.0,0.0,0.0,15.1,5.0
2013-01-18,GSW,True,False,W,28,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,-4.0
2013-01-19,ATL,False,True,W,34,14.0,5.0,1.0,2.0,1.0,0.0,4.0,8.0,0.5,2.0,5.0,0.4,4.0,4.0,1.0,13.7,2.0
2013-01-21,PHI,False,False,W,35,16.0,7.0,0.0,2.0,0.0,1.0,6.0,13.0,0.462,2.0,5.0,0.4,2.0,4.0,0.5,11.6,12.0
2013-01-25,DAL,False,False,W,28,10.0,8.0,2.0,4.0,0.0,1.0,2.0,8.0,0.25,2.0,4.0,0.5,4.0,4.0,1.0,12.0,21.0
2013-01-26,PHX,True,True,W,30,7.0,6.0,2.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,7.5,4.0
2013-01-30,CHA,True,False,W,34,18.0,5.0,0.0,2.0,1.0,0.0,7.0,10.0,0.7,4.0,5.0,0.8,0.0,0.0,0.0,16.8,24.0
2013-02-02,WAS,True,False,W,33,10.0,11.0,0.0,1.0,1.0,1.0,3.0,9.0,0.333,1.0,4.0,0.25,3.0,3.0,1.0,8.5,19.0
2013-02-06,MIN,False,False,W,31,19.0,10.0,1.0,2.0,1.0,0.0,7.0,13.0,0.538,2.0,3.0,0.667,3.0,3.0,1.0,18.3,14.0
2013-02-08,DET,False,False,L,26,16.0,5.0,1.0,3.0,1.0,0.0,6.0,13.0,0.462,2.0,6.0,0.333,2.0,3.0,0.667,14.4,-14.0
2013-02-10,BKN,False,False,W,26,9.0,3.0,1.0,3.0,0.0,1.0,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,9.2,16.0
2013-02-11,CHI,False,True,W,44,26.0,4.0,0.0,1.0,0.0,0.0,11.0,18.0,0.611,1.0,3.0,0.333,3.0,6.0,0.5,18.8,24.0
2013-02-13,CLE,False,False,W,33,13.0,10.0,2.0,1.0,4.0,4.0,5.0,10.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,12.6,-2.0
2013-02-19,SAC,False,False,W,31,15.0,2.0,1.0,1.0,0.0,1.0,4.0,11.0,0.364,2.0,5.0,0.4,5.0,6.0,0.833,9.0,4.0
2013-02-22,GSW,False,False,L,39,10.0,6.0,3.0,0.0,1.0,0.0,3.0,8.0,0.375,0.0,3.0,0.0,4.0,4.0,1.0,9.0,-10.0
2013-02-24,PHX,False,False,W,33,16.0,9.0,2.0,3.0,1.0,1.0,5.0,13.0,0.385,1.0,4.0,0.25,5.0,6.0,0.833,14.5,-2.0
2013-02-27,PHX,True,False,L,42,15.0,1.0,4.0,3.0,0.0,1.0,4.0,10.0,0.4,1.0,4.0,0.25,6.0,9.0,0.667,11.9,-5.0
2013-03-01,SAC,True,False,W,30,14.0,4.0,4.0,2.0,0.0,2.0,5.0,7.0,0.714,0.0,0.0,0.0,4.0,4.0,1.0,15.1,29.0
2013-03-03,DET,True,False,W,26,14.0,6.0,2.0,1.0,1.0,2.0,6.0,10.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,11.9,32.0
2013-03-06,CHI,True,False,W,32,14.0,7.0,2.0,1.0,1.0,1.0,6.0,11.0,0.545,0.0,1.0,0.0,2.0,2.0,1.0,12.5,9.0
2013-03-08,POR,True,False,L,32,16.0,6.0,0.0,0.0,0.0,1.0,7.0,14.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,10.6,-3.0
2013-03-11,OKC,True,False,W,35,17.0,4.0,1.0,3.0,0.0,0.0,8.0,17.0,0.471,1.0,4.0,0.25,0.0,0.0,0.0,12.8,-4.0
2013-03-14,DAL,True,False,W,34,12.0,6.0,3.0,0.0,1.0,1.0,5.0,14.0,0.357,1.0,5.0,0.2,1.0,1.0,1.0,8.6,13.0
2013-03-16,CLE,True,False,W,33,24.0,13.0,4.0,2.0,2.0,1.0,8.0,16.0,0.5,1.0,2.0,0.5,7.0,8.0,0.875,25.5,25.0
2013-03-20,GSW,True,False,W,33,9.0,4.0,0.0,0.0,1.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,5.4,4.0
2013-03-22,UTA,True,False,W,43,21.0,8.0,0.0,2.0,2.0,2.0,9.0,14.0,0.643,3.0,4.0,0.75,0.0,0.0,0.0,19.8,12.0
2013-03-24,HOU,False,False,L,30,12.0,6.0,1.0,0.0,0.0,0.0,4.0,8.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,10.1,2.0
