date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-27,OKC,False,False,L,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.6,-4.0
2024-10-28,WAS,True,True,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-10-30,WAS,False,False,L,15,8.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,8.8,-4.0
2024-11-01,SAC,True,False,L,29,14.0,3.0,3.0,1.0,1.0,1.0,5.0,9.0,0.556,4.0,8.0,0.5,0.0,0.0,0.0,12.2,-2.0
2024-11-03,NOP,False,False,W,22,6.0,2.0,1.0,2.0,0.0,2.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,3.2,-3.0
2024-11-04,BOS,True,True,L,21,6.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,8.9,-4.0
2024-11-06,NYK,True,False,W,13,7.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,2.9,-1.0
2024-11-08,DET,False,False,L,7,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-15.0
2024-11-09,CHI,True,True,L,19,4.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.9,-5.0
2024-11-12,BOS,False,False,W,32,7.0,2.0,8.0,0.0,0.0,2.0,3.0,13.0,0.231,1.0,6.0,0.167,0.0,0.0,0.0,2.9,-6.0
2024-11-15,WAS,True,False,W,15,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,12.0
2024-11-17,POR,False,False,L,17,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.6,11.0
2024-12-21,MEM,True,False,L,23,5.0,1.0,4.0,0.0,0.0,3.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.1,-4.0
2024-12-23,MIN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0
2024-12-28,MIA,True,False,W,14,5.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.2,-9.0
2024-12-29,TOR,False,True,W,16,9.0,1.0,2.0,2.0,0.0,1.0,3.0,8.0,0.375,3.0,6.0,0.5,0.0,0.0,0.0,7.3,-10.0
2025-01-15,CHI,False,False,W,38,27.0,6.0,6.0,4.0,0.0,1.0,10.0,18.0,0.556,4.0,7.0,0.571,3.0,3.0,1.0,26.6,29.0
2025-01-27,MIN,False,False,L,35,13.0,3.0,7.0,2.0,0.0,3.0,4.0,12.0,0.333,3.0,9.0,0.333,2.0,2.0,1.0,10.2,-7.0
2025-01-28,HOU,True,True,L,22,7.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,3.3,-14.0
2025-01-30,CLE,False,False,L,16,2.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.2,-13.0
2025-02-01,IND,False,False,L,14,4.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.2,-13.0
2025-02-03,DET,False,False,W,13,2.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.2,13.0
2025-02-05,SAS,True,False,L,12,5.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.0,3.0
2025-02-07,MIL,True,False,W,19,3.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,2.7,14.0
2025-02-28,OKC,True,False,L,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-1.0
2025-03-03,MEM,False,False,W,3,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.3,-5.0
2025-03-08,IND,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2025-03-10,PHI,True,False,W,31,7.0,2.0,6.0,0.0,0.0,1.0,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,0.0,3.1,15.0
2025-04-05,NYK,True,False,L,6,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1,11.0
2025-04-10,BKN,False,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2025-04-13,ORL,True,False,W,37,15.0,11.0,15.0,5.0,0.0,3.0,7.0,20.0,0.35,1.0,7.0,0.143,0.0,0.0,0.0,18.4,5.0
2025-10-22,TOR,True,False,L,9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-11.0
2025-10-24,ORL,False,False,W,11,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.7,-7.0
2025-10-25,OKC,True,True,L,12,5.0,1.0,1.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,-0.6,1.0
2025-10-27,CHI,False,False,L,5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
2025-10-29,BKN,False,False,W,14,3.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.1,10.0
2025-10-31,IND,False,False,W,17,11.0,3.0,7.0,1.0,0.0,0.0,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,0.0,15.1,4.0
2025-11-04,ORL,True,False,W,11,4.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,5.0,-1.0
2025-11-07,TOR,True,False,L,20,7.0,3.0,3.0,2.0,1.0,1.0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,8.6,-5.0
2025-11-08,LAL,True,True,W,36,14.0,2.0,7.0,1.0,0.0,1.0,5.0,15.0,0.333,4.0,8.0,0.5,0.0,0.0,0.0,10.2,20.0
2025-11-10,LAC,False,False,W,24,5.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.4,-8.0
