date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-22,LAC,True,False,L,33,19.0,5.0,2.0,0.0,2.0,2.0,7.0,10.0,0.7,3.0,6.0,0.5,2.0,2.0,1.0,16.3,-4.0
2022-10-23,GSW,False,True,L,38,16.0,4.0,0.0,1.0,0.0,2.0,6.0,14.0,0.429,4.0,10.0,0.4,0.0,0.0,0.0,8.4,2.0
2022-10-27,MEM,True,False,L,39,18.0,6.0,0.0,0.0,0.0,2.0,7.0,15.0,0.467,3.0,8.0,0.375,1.0,1.0,1.0,10.9,-10.0
2022-10-29,MIA,True,False,W,36,22.0,1.0,3.0,0.0,2.0,5.0,8.0,13.0,0.615,3.0,7.0,0.429,3.0,4.0,0.75,12.9,2.0
2022-10-31,CHA,False,False,W,32,12.0,4.0,2.0,1.0,1.0,1.0,5.0,15.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,6.8,15.0
2022-11-02,MIA,False,False,L,27,7.0,4.0,3.0,1.0,2.0,2.0,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,6.6,7.0
2022-11-05,ORL,False,False,W,24,3.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,-0.6,-12.0
2022-11-07,GSW,False,False,L,27,6.0,7.0,2.0,2.0,0.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,6.2,-4.0
2022-11-09,CLE,True,False,W,33,14.0,3.0,1.0,2.0,1.0,1.0,5.0,10.0,0.5,4.0,7.0,0.571,0.0,0.0,0.0,10.7,-7.0
2022-11-11,LAL,False,False,W,26,2.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-0.6,15.0
2022-11-13,GSW,True,False,W,37,21.0,4.0,0.0,3.0,0.0,2.0,8.0,15.0,0.533,5.0,9.0,0.556,0.0,0.0,0.0,14.3,16.0
2022-11-15,BKN,True,False,W,12,4.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.5,3.0
2022-11-20,DET,True,False,W,35,13.0,2.0,1.0,0.0,0.0,2.0,4.0,10.0,0.4,1.0,6.0,0.167,4.0,5.0,0.8,6.5,9.0
2022-11-22,MEM,False,False,W,24,2.0,3.0,2.0,0.0,0.0,0.0,1.0,8.0,0.125,0.0,4.0,0.0,0.0,0.0,0.0,-1.3,2.0
2022-11-23,ATL,False,True,L,21,4.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,-0.7,0.0
