date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2013-10-30,TOR,False,False,L,16,4.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,-2.5,-19.0
2013-11-01,MIL,True,False,L,14,4.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.8,-15.0
2013-11-03,DET,False,False,L,26,15.0,8.0,0.0,2.0,0.0,3.0,6.0,11.0,0.545,0.0,1.0,0.0,3.0,3.0,1.0,9.9,-3.0
2013-11-04,MEM,False,True,L,25,4.0,4.0,0.0,0.0,0.0,4.0,1.0,8.0,0.125,0.0,1.0,0.0,2.0,2.0,1.0,-5.2,7.0
2013-11-06,UTA,True,False,W,29,14.0,8.0,3.0,1.0,0.0,2.0,6.0,14.0,0.429,0.0,3.0,0.0,2.0,2.0,1.0,10.5,10.0
2013-11-08,ORL,False,False,W,22,8.0,6.0,0.0,0.0,0.0,3.0,4.0,13.0,0.308,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,1.0
2013-11-09,MIA,False,True,W,23,7.0,8.0,4.0,0.0,1.0,1.0,3.0,9.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,6.0,-4.0
2013-11-11,ORL,True,False,W,26,16.0,7.0,5.0,1.0,1.0,2.0,7.0,9.0,0.778,2.0,3.0,0.667,0.0,0.0,0.0,16.6,1.0
2013-11-13,CHA,True,False,L,33,6.0,11.0,4.0,0.0,0.0,4.0,1.0,4.0,0.25,0.0,2.0,0.0,4.0,4.0,1.0,5.3,-11.0
2013-11-15,POR,True,False,L,16,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.1,-5.0
2013-11-16,MIN,False,True,L,14,6.0,2.0,1.0,0.0,1.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,3.7,-16.0
2013-11-19,HOU,False,False,L,22,9.0,8.0,1.0,3.0,1.0,1.0,4.0,11.0,0.364,1.0,2.0,0.5,0.0,0.0,0.0,9.1,-1.0
2013-11-20,SAS,False,True,L,37,8.0,8.0,3.0,0.0,0.0,2.0,2.0,9.0,0.222,0.0,2.0,0.0,4.0,4.0,1.0,4.2,-1.0
2013-11-22,IND,True,False,L,12,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.0
2013-12-13,NYK,True,False,W,14,4.0,4.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.2,8.0
2013-12-16,MIN,True,False,W,13,9.0,4.0,1.0,0.0,0.0,3.0,2.0,3.0,0.667,2.0,2.0,1.0,3.0,4.0,0.75,5.0,2.0
2013-12-18,DET,True,False,L,7,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.1,-5.0
2013-12-21,WAS,True,False,L,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,1.0
