date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,HOU,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2018-10-27,UTA,True,False,L,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,14.0
2018-11-01,POR,False,False,L,3,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.7,4.0
2018-11-07,CHI,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2018-11-10,PHX,True,False,W,5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,-2.0
2018-11-28,WAS,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2018-12-10,BOS,False,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2018-12-19,MIL,False,False,L,7,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-6.0
2018-12-21,LAL,False,False,L,11,2.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0
2018-12-29,HOU,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-2.0
2019-01-07,MEM,True,False,W,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-3.0
2019-01-09,CLE,True,False,W,7,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,2.7,-14.0
2019-01-24,OKC,False,False,L,18,2.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.1,9.0
2019-01-26,SAS,True,False,L,6,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,9.0
2019-01-29,HOU,False,False,W,30,8.0,16.0,1.0,0.0,1.0,1.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,2.0,0.0,10.7,2.0
2019-01-30,DEN,True,True,L,38,21.0,8.0,3.0,0.0,2.0,2.0,8.0,14.0,0.571,5.0,9.0,0.556,0.0,0.0,0.0,17.1,-1.0
2019-02-02,SAS,False,False,L,30,12.0,8.0,3.0,0.0,0.0,1.0,5.0,7.0,0.714,2.0,4.0,0.5,0.0,0.0,0.0,11.0,7.0
2019-02-04,IND,True,False,L,35,8.0,8.0,5.0,2.0,1.0,1.0,3.0,13.0,0.231,2.0,8.0,0.25,0.0,0.0,0.0,7.3,-4.0
2019-02-06,CHI,False,False,W,36,12.0,7.0,2.0,0.0,2.0,0.0,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,11.0,-3.0
2019-02-08,MIN,True,False,W,37,19.0,6.0,2.0,0.0,1.0,1.0,6.0,10.0,0.6,4.0,7.0,0.571,3.0,3.0,1.0,16.9,8.0
2019-02-09,MEM,False,True,L,37,10.0,13.0,7.0,0.0,1.0,0.0,4.0,10.0,0.4,1.0,6.0,0.167,1.0,2.0,0.5,14.9,-1.0
2019-02-12,ORL,True,False,L,32,2.0,7.0,0.0,1.0,0.0,2.0,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,-2.2,-21.0
2019-02-14,OKC,True,False,W,34,9.0,12.0,4.0,1.0,1.0,1.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,12.8,3.0
2019-02-22,IND,False,False,L,33,6.0,5.0,1.0,1.0,0.0,2.0,2.0,10.0,0.2,2.0,7.0,0.286,0.0,0.0,0.0,-0.6,-4.0
2019-02-23,LAL,True,True,W,34,11.0,7.0,5.0,3.0,0.0,1.0,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,12.4,-1.0
2019-02-25,PHI,True,False,L,26,4.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.5,-7.0
2019-02-27,LAL,False,False,L,24,2.0,3.0,0.0,2.0,0.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-0.1,4.0
2019-03-01,PHX,False,False,W,28,6.0,8.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.4,-1.0
2019-03-02,DEN,False,True,W,29,7.0,5.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,6.6,-10.0
2019-03-04,UTA,False,False,W,34,7.0,7.0,3.0,2.0,0.0,0.0,2.0,7.0,0.286,2.0,4.0,0.5,1.0,2.0,0.5,9.5,7.0
2019-03-06,UTA,True,False,L,35,12.0,6.0,2.0,1.0,0.0,0.0,5.0,11.0,0.455,2.0,7.0,0.286,0.0,0.0,0.0,9.3,8.0
2019-03-08,TOR,True,False,L,29,9.0,5.0,4.0,5.0,0.0,3.0,3.0,9.0,0.333,3.0,6.0,0.5,0.0,0.0,0.0,10.2,-19.0
2019-03-10,ATL,False,False,L,30,9.0,2.0,1.0,1.0,2.0,0.0,3.0,11.0,0.273,1.0,6.0,0.167,2.0,2.0,1.0,5.8,-13.0
2019-03-12,MIL,True,False,L,24,5.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,-10.0
2019-03-15,POR,True,False,L,30,3.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,3.3,-8.0
2019-03-16,PHX,True,True,L,27,10.0,2.0,3.0,1.0,0.0,1.0,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,6.7,-8.0
