date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-11-17,SAS,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2022-12-07,MIL,False,False,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
2022-12-13,PHI,False,False,L,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,6.0
2023-01-11,HOU,True,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,3.0
2023-01-13,HOU,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-05,NOP,False,False,L,16,10.0,4.0,2.0,2.0,1.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,2.0,3.0,0.667,13.0,0.0
2023-02-06,HOU,False,True,W,3,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.7,2.0
2023-02-10,DAL,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-11.0
2023-02-14,PHX,False,False,L,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,0.0
2023-03-06,NOP,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-03-18,WAS,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-8.0
2023-03-20,UTA,False,False,L,4,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,-3.0
2023-03-21,BOS,True,True,L,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-2.0
2023-04-04,NOP,False,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
2023-04-07,GSW,True,False,L,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.6,2.0
2023-04-09,DEN,False,False,L,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-0.8,-6.0
2023-10-25,UTA,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-11-04,HOU,False,False,L,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,0.0
2023-11-06,HOU,False,False,L,14,15.0,2.0,1.0,1.0,0.0,0.0,5.0,7.0,0.714,4.0,6.0,0.667,1.0,4.0,0.25,13.2,10.0
2023-11-08,POR,True,False,W,21,4.0,4.0,0.0,3.0,0.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,2.0,3.0,0.667,3.7,-4.0
2023-11-10,OKC,True,False,W,31,8.0,4.0,2.0,0.0,3.0,1.0,2.0,8.0,0.25,1.0,7.0,0.143,3.0,4.0,0.75,5.7,4.0
2023-11-13,CLE,True,False,W,12,2.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-11-15,LAL,False,False,W,9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,6.0
2023-11-17,SAS,False,False,W,10,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,-1.0
2023-11-19,DAL,False,False,W,9,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,9.0
2023-11-28,GSW,True,False,W,6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0
2023-12-02,DEN,True,False,W,8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-14.0
2023-12-04,NOP,True,False,L,8,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,4.6,-1.0
2023-12-08,PHX,False,False,W,17,10.0,2.0,0.0,0.0,0.0,2.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,4.8,-2.0
2023-12-11,BKN,True,False,W,15,3.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,2.9,-10.0
2023-12-12,LAC,False,True,L,12,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.1,5.0
2023-12-14,OKC,True,False,W,28,17.0,6.0,3.0,1.0,1.0,0.0,6.0,8.0,0.75,5.0,7.0,0.714,0.0,0.0,0.0,18.2,10.0
