date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-01-27,DAL,True,False,W,6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-1.0
2016-02-10,PHX,False,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,-7.0
2016-02-19,POR,False,False,L,9,2.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-5.0
2016-02-20,LAC,False,True,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-10.0
2016-02-25,ORL,False,False,W,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-10-25,SAS,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2016-10-28,NOP,False,False,W,7,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.6,13.0
2016-10-30,PHX,False,False,W,3,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-1.2,-4.0
2016-11-01,POR,False,False,W,8,2.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-10.0
2016-11-03,OKC,True,False,W,11,4.0,6.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0
2016-11-04,LAL,False,True,L,13,11.0,5.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,10.0,-2.0
2016-11-07,NOP,True,False,W,9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,3.0
2016-11-09,DAL,True,False,W,11,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,4.9,4.0
2016-11-10,DEN,False,True,W,6,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-2.0
2016-11-13,PHX,True,False,W,7,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8,6.0
2016-11-19,MIL,False,False,W,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-16.0
2016-11-21,IND,False,False,W,10,1.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,4.1,7.0
2016-11-23,LAL,True,False,W,7,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.9,16.0
2016-11-25,LAL,False,False,W,13,6.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.0
2016-11-26,MIN,True,True,W,18,6.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,9.0,8.0
2016-12-01,HOU,True,False,L,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2016-12-03,PHX,True,False,W,7,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.9,5.0
2016-12-05,IND,True,False,W,14,2.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.8,7.0
2016-12-07,LAC,False,False,W,5,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,-4.0
2016-12-08,UTA,False,True,W,3,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0
2016-12-11,MIN,False,False,W,18,4.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.0
2016-12-13,NOP,False,False,W,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-2.0
2016-12-15,NYK,True,False,W,15,5.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,6.9,-2.0
2016-12-17,POR,True,False,W,12,4.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.2,9.0
2016-12-20,UTA,True,False,W,9,0.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2,-4.0
2016-12-22,BKN,False,False,W,18,4.0,6.0,5.0,1.0,1.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.3,14.0
2016-12-25,CLE,False,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0
2016-12-30,DAL,True,False,W,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-7.0
2017-01-04,POR,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-3.0
2017-01-12,DET,True,False,W,4,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-4.0
2017-01-16,CLE,True,False,W,9,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.9,-10.0
2017-01-18,OKC,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.0
2017-01-20,HOU,False,False,W,11,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,-5.0
2017-01-22,ORL,False,False,W,6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-13.0
2017-01-28,LAC,True,False,W,12,4.0,4.0,2.0,1.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.6,3.0
2017-02-01,CHA,True,False,W,9,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,-0.9,-9.0
2017-02-02,LAC,False,True,W,13,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.9,2.0
2017-02-04,SAC,False,False,L,12,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.7,-4.0
2017-02-08,CHI,True,False,W,14,10.0,4.0,0.0,0.0,0.0,1.0,5.0,6.0,0.833,0.0,0.0,0.0,0.0,1.0,0.0,7.2,12.0
2017-02-10,MEM,False,False,W,12,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,4.0
2017-02-11,OKC,False,True,W,11,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.6,5.0
2017-02-13,DEN,False,False,L,16,3.0,6.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,4.6,5.0
2017-02-15,SAC,True,False,W,16,5.0,2.0,1.0,4.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,7.5,-11.0
2017-02-25,BKN,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2017-02-27,PHI,False,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-2.0
2017-03-08,BOS,True,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,0.0
2017-03-10,MIN,False,False,L,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2017-03-11,SAS,False,True,L,17,2.0,4.0,2.0,0.0,0.0,1.0,1.0,8.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-13.0
2017-03-16,ORL,True,False,W,7,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-6.0
2017-03-20,OKC,False,False,W,5,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.0
2017-03-21,DAL,False,True,W,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0
2017-03-24,SAC,True,False,W,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2017-04-04,MIN,True,False,W,4,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-2.0
2017-10-17,HOU,True,False,L,8,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.4,-7.0
2017-10-27,WAS,True,False,W,12,9.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.2,4.0
2017-11-04,DEN,False,False,W,14,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.1,2.0
