date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2012-11-10,HOU,False,False,L,9,4.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.9,7.0
2012-11-14,PHI,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2012-11-18,BOS,True,False,W,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,1.0
2013-02-01,CLE,True,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0
2013-02-19,MEM,True,False,L,9,6.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.4,10.0
2013-02-22,IND,False,False,L,24,10.0,3.0,0.0,1.0,1.0,1.0,1.0,7.0,0.143,1.0,1.0,1.0,7.0,9.0,0.778,5.5,1.0
2013-02-23,IND,True,True,L,26,9.0,2.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,5.4,-1.0
2013-02-25,ATL,True,False,L,23,4.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.2,6.0
2013-03-03,SAS,False,False,L,16,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-2.7,-13.0
2013-03-08,DAL,True,False,L,20,14.0,5.0,1.0,1.0,0.0,1.0,6.0,12.0,0.5,2.0,5.0,0.4,0.0,1.0,0.0,9.0,1.0
2013-03-10,LAC,False,False,L,19,9.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,0.4,0.0,3.0,0.0,5.0,6.0,0.833,7.5,-14.0
2013-03-11,UTA,False,True,L,25,12.0,1.0,0.0,0.0,1.0,0.0,4.0,7.0,0.571,4.0,5.0,0.8,0.0,0.0,0.0,8.5,-12.0
2013-03-13,GSW,False,False,L,21,4.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,2.5,11.0
2013-03-16,POR,False,False,L,12,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,-6.0
2013-03-18,BKN,True,False,L,21,6.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.1,-12.0
2013-03-23,CHA,False,False,W,16,6.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,4.7,10.0
2013-03-26,MIN,True,False,L,23,10.0,0.0,0.0,1.0,0.0,1.0,5.0,10.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,4.6,-10.0
2013-03-29,TOR,True,False,L,8,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.3,10.0
2013-03-31,CHI,False,False,L,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0
2013-04-01,TOR,False,True,W,25,11.0,4.0,0.0,0.0,0.0,1.0,5.0,6.0,0.833,1.0,2.0,0.5,0.0,0.0,0.0,7.8,16.0
2013-04-03,BOS,False,False,L,23,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.2,-3.0
2013-04-06,MIN,False,False,L,26,7.0,3.0,4.0,2.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,6.7,4.0
2013-04-07,CHI,True,True,W,33,10.0,3.0,2.0,2.0,0.0,0.0,4.0,7.0,0.571,2.0,2.0,1.0,0.0,0.0,0.0,9.4,19.0
2013-04-10,CLE,False,False,W,21,6.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-21.0
2013-04-12,CHA,True,False,W,26,9.0,3.0,4.0,0.0,1.0,1.0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,7.6,22.0
2013-04-15,PHI,True,False,W,16,10.0,2.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,1.0,1.0,1.0,5.8,-6.0
2013-04-17,BKN,False,False,L,25,10.0,7.0,2.0,2.0,0.0,1.0,3.0,9.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,9.4,4.0
2013-10-30,NYK,False,False,L,19,2.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-3.9,-2.0
2013-11-01,BOS,False,False,W,27,13.0,1.0,2.0,2.0,0.0,0.0,5.0,8.0,0.625,0.0,1.0,0.0,3.0,3.0,1.0,11.5,23.0
2013-11-02,TOR,True,True,L,19,8.0,1.0,0.0,2.0,1.0,0.0,4.0,9.0,0.444,0.0,1.0,0.0,0.0,2.0,0.0,3.9,-1.0
